,food,female,fish,communication,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
caboose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabriolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcycle,0.0,0.0,0.0,0.0,0.0,0.0004383029372400147,0.0003632972857707533,0.0,0.0,0.0,0.0003632972857707533,0.0,0.0,8.960750067550164e-05
cab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowplow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pushcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
van,0.0,0.0,0.0,0.0,0.0,0.00022397807325850034,0.00016923941093099795,0.0,0.0,0.0,0.00016923941093099795,0.0,0.0,4.3265915009268935e-05
dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tricycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tractor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boxcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limousine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dumper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gondola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automobile,0.0,0.0,0.0,0.0,0.0,0.0007626145862913463,0.0005964337340865902,0.0,0.0,0.0,0.0005964337340865902,0.0,0.0,0.0001504216964972713
scrambler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trolley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.0,0.0,0.00017785029337383874,0.00014785617272634278,0.0,0.0,0.0,0.00014785617272634278,0.0,0.0,3.6427895294348025e-05
locomotive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stroller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrier,0.0,0.0,0.0,0.0,0.0,0.008982047094010895,0.006605299459643705,0.0,0.007284359215916625,0.0,0.006605299459643705,0.0,0.0,0.002267461940708841
clarence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
railcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cruiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carriage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cart,0.0,0.0,0.0,0.0,0.0,0.0004718072902292518,0.000399147162406117,0.0,0.0,0.0,0.000399147162406117,0.0,0.0,9.770012423396046e-05
lorry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forklift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oriole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat,0.0,0.0,0.0,0.0,0.0,0.0,0.0022052891540710238,0.002005635200234109,0.0,0.0,0.0022049413697574865,0.0,0.0018352730814021102,0.0006347029850357485
nightingale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
falcon,0.0,0.0,0.0,0.0,0.0,0.0,0.002769145300262617,0.0,0.0,0.002396833273395309,0.0027662136323862514,0.0,0.0025091736782118955,0.0008031819910966209
tit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cock,0.0,0.0,0.0,0.0,0.0,0.0,0.0251298885254701,0.0,0.0,0.015759196473613422,0.02511343000086035,0.0,0.016678381975098744,0.006360068998080202
canary,0.0,0.0,0.0,0.0,0.0,0.0,0.0027794541588870504,0.0,0.0,0.0020555767953923222,0.0027809644144985795,0.0,0.0026483015067933166,0.0007895612981208669
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.01793825864169017,0.0,0.0,0.0,0.017911458087912207,0.0,0.018193912316988234,0.004157202234353124
sparrow,0.0,0.0,0.0,0.0,0.0,0.0,0.011680593593787269,0.0,0.0,0.008723864784514418,0.011621085612313025,0.0,0.009697623369505236,0.003209474412316919
hawk,0.0,0.0,0.0,0.0,0.0,0.0,0.001184061437546312,0.0,0.0,0.0010305851856302608,0.0011827811259592467,0.0,0.0010306159845946117,0.0003406187487484947
marabou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pigeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gnat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drosophila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angel,0.0,0.0,0.0,0.0,0.0,0.0,0.0005963192733598921,0.0,0.0,0.0,0.0005962195189658167,0.0,0.0,9.173375325582376e-05
mosquito,0.0,0.0,0.0,0.0,0.0,0.0,0.07271879928735785,0.0,0.0,0.0,0.0723831467156967,0.0,0.06242033985967539,0.015963252758671533
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albatross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
archaeopteryx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0004656875985766146,0.0,0.0,0.000436792099886868,0.0004652959952618192,0.0,0.0003995841685053862,0.00013595075863312987
stilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.0,0.0,0.0,0.0,0.0,0.0,0.0002005557650771503,0.0,0.0,0.0,0.00020047068390526728,0.0,0.00017640625307967223,4.441790015862229e-05
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.003235903717159903,0.0,0.0,0.002607080039005735,0.003232661478592987,0.0,0.0029237410273529655,0.0009230297124701224
skylark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheldrake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gadfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peregrine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0015162655358170539,0.0,0.0,0.001530798779180607,0.0015132173258410905,0.0,0.0014421729937540528,0.0004617272795840619
spoonbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weaver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mealybug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dragonfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0003133179028946397,0.0,0.0,0.00030469703628449325,0.00031296961809082626,0.00046515676300380965,0.0002892941636647087,0.0001296488833798829
hobby,0.0,0.0,0.0,0.0,0.0,0.0,0.002460747404098816,0.0,0.0,0.002330150396678044,0.002460747404098816,0.0,0.0024672515690423733,0.0007476074441475423
merle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worker,0.0,0.0,0.0,0.0,0.0,0.0,0.0027235722143259485,0.0,0.0,0.0,0.0027235722143259485,0.0,0.0026973710734896324,0.0006265011924724254
sitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
copper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admiral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diver,0.0,0.0,0.0,0.0,0.0,0.0,0.0016840729709511047,0.0,0.0,0.0015667500670753513,0.0016840729709511047,0.0,0.001549748683738113,0.0004988188225165904
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0023073909922139077,0.0,0.0,0.0,0.0023073909922139077,0.0,0.00232155353932751,0.000533564271058102
viceroy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
queen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parachute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pen,0.0,0.0,0.0,0.0,0.0,0.0,0.0002510607384767792,0.0,0.0,0.000248136064856103,0.0002510607384767792,0.0,0.00025110033733350323,7.702752916485882e-05
platypus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monarch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soldier,0.0,0.0,0.0,0.0,0.0,0.0,0.00042895388189406964,0.0,0.0,0.0,0.00042895388189406964,0.0,0.0004262446854787985,9.878095763591828e-05
