,food,communication,cutlery,no-cat,vehicle,all,relation,tool,object,measure,animal,weapon,mean
button,0.0,0.0,0.0,0.0,0.0,0.0025826487588924856,0.0,0.0,0.0025826487588924856,0.0,0.0,0.0,0.00043044145981541425
rafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plywood,0.0,0.0,0.0,0.0,0.0,0.00784170254351683,0.0,0.0,0.00784170254351683,0.0,0.0,0.0,0.0013069504239194717
tray,0.0,0.0,0.0,0.0,0.0,0.0020858923578490245,0.0,0.0,0.0020858923578490245,0.0,0.0,0.0,0.00034764872630817077
rake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barrel,0.0,0.0,0.0,0.0,0.0,6.385356491840494e-05,0.0,0.0,6.385356491840494e-05,9.489845946413124e-05,0.0,0.0,1.8550465775078426e-05
club,0.0,0.0,0.0,0.0,0.0,0.0015487199462987527,0.0018461172269097015,0.0,0.0015487199462987527,0.0,0.0,0.0,0.0004119630932922672
armrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floorboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trestle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window,0.0,0.0,0.0,0.0,0.0,0.003100730392291041,0.0,0.0,0.003100730392291041,0.003483329705880865,0.0,0.0,0.0008070658742052456
lumber,0.0,0.0,0.0,0.0,0.0,0.0003460749946543845,0.0,0.0,0.0003460749946543845,0.0,0.0,0.0,5.767916577573075e-05
chair,0.0,0.0,0.0,0.0,0.0,0.004799850139737248,0.0,0.0,0.004799850139737248,0.0,0.0,0.0,0.0007999750232895414
truss,0.0,0.0,0.0,0.0,0.0,0.002075510677202707,0.0,0.0,0.002075510677202707,0.0,0.0,0.0,0.00034591844620045117
mop,0.0,0.0,0.0,0.0,0.0,0.04016040751162564,0.0,0.0,0.04016040751162564,0.0,0.0,0.0,0.006693401251937607
deck,0.0,0.0,0.0,0.0,0.0,0.004250649992478454,0.0,0.0,0.004250649992478454,0.0,0.0,0.0,0.0007084416654130756
roof,0.0,0.0,0.0,0.0,0.0,0.0075050299938649884,0.0,0.0,0.0075050299938649884,0.0,0.0,0.0,0.0012508383323108314
rod,0.0,0.0,0.0,0.0,0.0,0.00035764407936663095,0.0,0.0,0.00035764407936663095,0.0005452589181162417,0.0,0.00040018115288793674,0.0001383940191447867
dowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toothpick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clock,0.0,0.0,0.0,0.0,0.0,0.0006496085562671609,0.0,0.0,0.0006496085562671609,0.0,0.0,0.0,0.00010826809271119349
spindle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puppet,0.0,0.0,0.0,0.0,0.0,0.0011342294429874788,0.0,0.0,0.0011342294429874788,0.0,0.0,0.0,0.00018903824049791313
railing,0.0,0.0,0.0,0.0,0.0,0.008355112321673772,0.0,0.0,0.008355112321673772,0.0,0.0,0.0,0.001392518720278962
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hutch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oar,0.0,0.0,0.0,0.0,0.0,0.014373030897820183,0.0,0.0,0.014373030897820183,0.0,0.0,0.0,0.002395505149636697
bridge,0.0,0.0,0.0,0.0,0.0,0.0012517592435275953,0.0016700015894661033,0.0,0.0012517592435275953,0.0,0.0,0.0,0.0003477933397101078
spade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paddle,0.0,0.0,0.0,0.0,0.0,0.0012927422974843283,0.0,0.0,0.0012927422974843283,0.0,0.0,0.0,0.0002154570495807214
bookcase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladder,0.0,0.0,0.0,0.0,0.0,0.0032705700674100792,0.0,0.0,0.0032705700674100792,0.0,0.0,0.0,0.0005450950112350132
violin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stool,0.0,0.0,0.0,0.0,0.0,0.0017857213603310333,0.002036555439450551,0.0,0.0017857213603310333,0.0,0.0,0.0,0.00046733318000938474
girder,0.0,0.0,0.0,0.0,0.0,0.006171659382750223,0.0,0.0,0.006171659382750223,0.0,0.0,0.0,0.0010286098971250372
rudder,0.0,0.0,0.0,0.0,0.0,0.001985764071184311,0.0,0.0,0.001985764071184311,0.0,0.0,0.0,0.0003309606785307185
wood,0.0,0.0,0.0,0.0,0.0,0.00666408223612591,0.008640837005393335,0.0,0.00666408223612591,0.0,0.0,0.0,0.0018307501231370961
ladle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corkscrew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hardboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fence,0.0,0.0,0.0,0.0,0.0,0.0033945723753048794,0.0,0.0,0.0033945723753048794,0.0,0.0,0.0,0.0005657620625508132
plough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brush,0.0,0.0,0.0,0.0,0.0,0.005334524845750465,0.0,0.0,0.005334524845750465,0.0,0.0,0.0,0.0008890874742917441
rope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor,0.0,0.0,0.0,0.0,0.0,0.001612013711779051,0.0,0.0,0.001612013711779051,0.0,0.0,0.0,0.0002686689519631752
cushion,0.0,0.0,0.0,0.0,0.0,0.0010094057844916892,0.0,0.0,0.0010094057844916892,0.0,0.0,0.0,0.00016823429741528152
saxophone,0.0,0.0,0.0,0.0,0.0,0.0013458614510594288,0.0,0.0,0.0013458614510594288,0.0,0.0,0.0,0.00022431024184323814
cymbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuselage,0.0,0.0,0.0,0.0,0.0,0.0015258883880770726,0.0,0.0,0.0015258883880770726,0.0,0.0,0.0,0.00025431473134617877
trumpet,0.0,0.0,0.0,0.0,0.0,0.001971308822579388,0.0,0.0,0.001971308822579388,0.0,0.0,0.0,0.000328551470429898
sword,0.0,0.0,0.0,0.0,0.0,0.0013594968395695324,0.0,0.0,0.0013594968395695324,0.0,0.0,0.0012922650583329308,0.0003342715614559996
windshield,0.0,0.0,0.0,0.0,0.0,0.0011573279743071934,0.0,0.0,0.0011573279743071934,0.0,0.0,0.0,0.00019288799571786557
pulley,0.0,0.0,0.0,0.0,0.0,0.011010773920548486,0.0,0.0,0.011010773920548486,0.0,0.0,0.0,0.001835128986758081
cannon,0.0,0.0,0.0,0.0,0.0,0.001799461642191081,0.0,0.0,0.001799461642191081,0.0,0.0,0.001766839157078808,0.0004471468701217475
laptop,0.0,0.0,0.0,0.0,0.0,0.0010375500597126028,0.0,0.0,0.0010375500597126028,0.0,0.0,0.0,0.00017292500995210047
washtub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strap,0.0,0.0,0.0,0.0,0.0,0.0036455324455726885,0.0,0.0,0.0036455324455726885,0.0,0.0,0.0,0.0006075887409287814
trowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
screw,0.0,0.0,0.0,0.0,0.0,0.0017003392819923521,0.0,0.0,0.0017003392819923521,0.0,0.0,0.0,0.0002833898803320587
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bagpipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
