context,n_pos,total_pos,n_neg,total_neg
dozens,7,16,0,16
america,7,16,1,16
coast,7,16,0,16
geese,7,16,0,16
lunch,7,16,0,16
lose,7,16,0,16
powers,7,16,0,16
shoulder,7,16,0,16
tan,7,16,0,16
action,7,16,0,16
valley,7,16,0,16
brian,7,16,0,16
carcasses,7,16,0,16
distinctive,7,16,0,16
portions,7,16,1,16
minutes,7,16,0,16
against,7,16,1,16
wing,7,16,1,16
self,7,16,1,16
held,7,16,0,16
finish,7,16,2,16
menu,7,16,1,16
asian,7,16,0,16
lee,7,16,0,16
nicely,7,16,0,16
hall,7,16,1,16
resort,7,16,0,16
june,7,16,0,16
journey,7,16,0,16
creatures,7,16,0,16
evident,7,16,0,16
transfer,7,16,0,16
announcement,7,16,0,16
asks,7,16,0,16
worst,7,16,0,16
accompanying,7,16,1,16
types,7,16,0,16
canadian,7,16,0,16
changes,7,16,1,16
significant,7,16,0,16
follow,7,16,0,16
questions,7,16,1,16
similarly,7,16,1,16
none,7,16,1,16
sign,7,16,1,16
trying,7,16,1,16
fry,7,16,0,16
reduce,7,16,0,16
shape,7,16,1,16
caribbean,7,16,0,16
mask,7,16,0,16
chances,7,16,0,16
separate,7,16,0,16
signature,7,16,0,16
voices,7,16,0,16
assumed,7,16,0,16
principal,7,16,0,16
lawn,7,16,1,16
eighth,7,16,0,16
fabulous,7,16,0,16
rolling,7,16,0,16
resist,7,16,0,16
kilometres,7,16,0,16
fail,7,16,0,16
economic,7,16,0,16
economy,7,16,0,16
hens,7,16,0,16
ends,7,16,1,16
annual,7,16,1,16
tastes,7,16,1,16
community,7,16,1,16
schedule,7,16,1,16
matter,7,16,1,16
island,7,16,0,16
lady,7,16,1,16
ban,7,16,0,16
ducks,7,16,0,16
breast,7,16,0,16
turkey,7,16,0,16
ate,7,16,0,16
detected,7,16,0,16
hearts,7,16,0,16
guests,7,16,0,16
crossing,7,16,0,16
am,7,16,1,16
americans,7,16,2,16
appearance,7,16,1,16
rely,7,16,0,16
door,7,16,0,16
challenge,7,16,0,16
seem,7,16,1,16
enter,7,16,0,16
race,7,16,0,16
joe,6,16,0,16
deputy,6,16,0,16
dutch,6,16,0,16
jeff,6,16,0,16
group,6,16,1,16
manufacturer,6,16,0,16
nesting,6,16,0,16
51,6,16,0,16
north,6,16,0,16
baby,6,16,1,16
heron,6,16,0,16
snake,6,16,0,16
125,6,16,0,16
suspect,6,16,0,16
protected,6,16,1,16
birds,6,16,1,16
owner,6,16,1,16
h5n1,6,16,0,16
pairs,6,16,0,16
have,6,16,1,16
for,6,16,1,16
there,6,16,2,16
one,6,16,2,16
year,6,16,2,16
worldwide,6,16,0,16
migration,6,16,0,16
agreement,6,16,0,16
associate,6,16,1,16
ralph,6,16,0,16
legged,6,16,1,16
author,6,16,0,16
built,6,16,1,16
flies,6,16,1,16
member,6,16,1,16
justice,6,16,1,16
seen,6,16,1,16
owned,6,16,1,16
foundation,6,16,0,16
aircraft,6,16,1,16
watched,6,16,1,16
owl,6,16,0,16
hold,6,16,1,16
officer,6,16,1,16
learned,6,16,1,16
25,6,16,2,16
case,6,16,1,16
stop,6,16,1,16
hospital,6,16,2,16
well,6,16,2,16
fly,6,16,1,16
makes,6,16,1,16
after,6,16,2,16
we,6,16,1,16
17,6,16,1,16
legendary,6,16,0,16
maker,6,16,0,16
conference,6,16,0,16
topped,6,16,1,16
solution,6,16,0,16
total,6,16,0,16
spokeswoman,6,16,0,16
charges,6,16,0,16
lie,6,16,1,16
meals,6,16,0,16
provided,6,16,0,16
proposed,6,16,0,16
fifth,6,16,0,16
programs,6,16,0,16
foreign,6,16,0,16
delivery,6,16,1,16
design,6,16,0,16
myth,6,16,1,16
leads,6,16,0,16
crews,6,16,0,16
shrink,6,16,1,16
crowded,6,16,0,16
law,6,16,1,16
representatives,6,16,0,16
refrigerator,6,16,1,16
restaurant,6,16,0,16
joint,6,16,0,16
attack,6,16,0,16
77,6,16,0,16
900,6,16,0,16
37,6,16,0,16
arriving,6,16,0,16
elegant,6,16,0,16
leaders,6,16,0,16
steak,6,16,1,16
probably,6,16,1,16
put,6,16,2,16
possibly,6,16,1,16
winning,6,16,1,16
returned,6,16,1,16
eastern,6,16,0,16
victory,6,16,1,16
guide,6,16,1,16
presence,6,16,1,16
preparing,6,16,1,16
30,6,16,1,16
team,6,16,1,16
air,6,16,1,16
appears,6,16,1,16
debut,6,16,1,16
away,6,16,2,16
referring,6,16,1,16
town,6,16,1,16
high,6,16,1,16
sheep,6,16,1,16
exception,6,16,1,16
extended,6,16,1,16
extremely,6,16,1,16
upcoming,6,16,1,16
image,6,16,1,16
complaining,6,16,1,16
special,6,16,1,16
common,6,16,1,16
1994,6,16,1,16
commercial,6,16,1,16
country,6,16,1,16
whole,6,16,2,16
our,6,16,1,16
since,6,16,1,16
honey,6,16,2,16
court,6,16,1,16
whether,6,16,2,16
water,6,16,3,16
officials,6,16,0,16
guy,6,16,1,16
monday,6,16,1,16
tells,6,16,2,16
later,6,16,1,16
behind,6,16,2,16
calls,6,16,1,16
quail,6,16,1,16
led,6,16,1,16
manager,6,16,1,16
48,6,16,2,16
include,6,16,1,16
but,6,16,1,16
and,6,16,1,16
plant,6,16,0,16
morning,6,16,1,16
ground,6,16,0,16
dark,6,16,0,16
con,6,16,0,16
sixth,6,16,0,16
sage,6,16,0,16
fast,6,16,0,16
root,6,16,0,16
hudson,6,16,1,16
1963,6,16,0,16
suspected,6,16,0,16
gap,6,16,0,16
canyon,6,16,0,16
changing,6,16,0,16
dramatically,6,16,1,16
meet,6,16,0,16
good,6,16,1,16
woods,6,16,0,16
looks,6,16,0,16
berry,6,16,0,16
had,6,16,1,16
they,6,16,1,16
necks,6,16,0,16
accident,6,16,0,16
mounted,6,16,0,16
fell,6,16,0,16
with,6,16,1,16
carrying,6,16,0,16
bus,6,16,0,16
using,6,16,1,16
vessel,6,16,0,16
chairman,6,16,0,16
falling,6,16,0,16
tied,6,16,0,16
loaded,6,16,0,16
15,6,16,1,16
creek,6,16,0,16
nbc,6,16,0,16
tons,6,16,0,16
broke,6,16,1,16
crew,6,16,1,16
place,6,16,3,16
stern,6,16,0,16
played,6,16,1,16
john,6,16,1,16
raised,6,16,1,16
found,6,16,1,16
williams,6,16,0,16
march,6,16,0,16
state,6,16,1,16
aboard,6,16,1,16
capable,6,16,0,16
placed,6,16,0,16
producer,6,16,0,16
mary,6,16,0,16
knows,6,16,1,16
mass,6,16,1,16
apartment,6,16,1,16
driving,6,16,1,16
100,6,16,1,16
tour,6,16,0,16
rise,6,16,0,16
killing,6,16,1,16
occurred,6,16,0,16
several,6,16,1,16
75,6,16,1,16
block,6,16,0,16
winner,6,16,0,16
hang,6,16,0,16
declined,6,16,0,16
ordered,6,16,0,16
send,6,16,0,16
comment,6,16,1,16
remembers,6,16,0,16
ruled,6,16,1,16
legend,6,16,0,16
better,6,16,1,16
aim,6,16,0,16
power,6,16,1,16
wolf,6,16,0,16
seal,6,16,1,16
tears,6,16,1,16
migratory,6,16,0,16
sat,6,16,0,16
noting,6,16,0,16
notorious,6,16,0,16
jackson,6,16,1,16
lying,6,16,1,16
79,6,16,1,16
bones,6,16,1,16
35,6,16,1,16
walked,6,16,1,16
same,6,16,1,16
perhaps,6,16,1,16
japan,6,16,0,16
missed,6,16,0,16
60,6,16,2,16
deer,6,16,0,16
los,6,16,1,16
pass,6,16,0,16
delayed,6,16,1,16
leg,6,16,1,16
sitting,6,16,1,16
larger,6,16,1,16
happy,6,16,0,16
five,6,16,3,16
leaning,6,16,0,16
states,6,16,1,16
resident,6,16,1,16
flocks,6,16,0,16
figure,6,16,0,16
grabbed,6,16,1,16
notion,6,16,1,16
beijing,6,16,0,16
arranged,6,16,0,16
april,6,16,0,16
combined,6,16,0,16
assigned,6,16,1,16
anchor,6,16,0,16
serve,6,16,2,16
leader,6,16,1,16
letter,6,16,0,16
go,6,16,1,16
dressed,6,16,1,16
prove,6,16,1,16
bit,6,16,1,16
producing,6,16,0,16
control,6,16,1,16
pair,6,16,1,16
yard,6,16,0,16
article,6,16,0,16
steps,6,16,0,16
hill,6,16,1,16
highest,6,16,0,16
ross,6,16,0,16
offer,6,16,0,16
1982,6,16,0,16
replaced,6,16,1,16
chamber,6,16,0,16
reader,6,16,0,16
globe,6,16,0,16
calif,6,16,1,16
sweeping,6,16,1,16
cuts,6,16,1,16
rates,6,16,0,16
segments,6,16,0,16
poses,6,16,0,16
record,6,16,0,16
latter,6,16,0,16
park,6,16,1,16
short,6,16,2,16
sized,6,16,1,16
performance,6,16,1,16
28,6,16,1,16
return,6,16,1,16
britain,6,16,1,16
must,6,16,1,16
transporting,6,16,0,16
counterpart,6,16,1,16
launched,6,16,1,16
problem,6,16,1,16
won,6,16,1,16
offering,6,16,0,16
severely,6,16,0,16
generated,6,16,1,16
narrow,6,16,0,16
intelligence,6,16,1,16
rose,6,16,1,16
hungry,6,16,0,16
issues,6,16,0,16
revealed,6,16,1,16
crush,6,16,0,16
teams,6,16,0,16
clearing,6,16,1,16
continuing,6,16,1,16
consortium,6,16,0,16
spin,6,16,0,16
solve,6,16,0,16
essence,6,16,0,16
elaborate,6,16,1,16
destination,6,16,0,16
whom,6,16,0,16
argument,6,16,0,16
wetlands,6,16,0,16
80s,6,16,0,16
addition,6,16,1,16
active,6,16,0,16
98,6,16,0,16
tried,6,16,1,16
carcass,6,16,1,16
tube,6,16,0,16
confined,6,16,1,16
factor,6,16,0,16
opens,6,16,1,16
breasts,6,16,0,16
juice,6,16,1,16
beginning,6,16,1,16
king,6,16,2,16
62,6,16,0,16
concerns,6,16,1,16
perfectly,6,16,1,16
greatest,6,16,1,16
plus,6,16,1,16
today,6,16,1,16
chefs,6,16,1,16
pounds,6,16,0,16
lamb,6,16,0,16
wants,6,16,1,16
passage,6,16,0,16
ranging,6,16,1,16
achieved,6,16,1,16
porch,6,16,0,16
11th,6,16,0,16
generations,6,16,1,16
110,6,16,1,16
random,6,16,0,16
chest,6,16,0,16
tricky,6,16,0,16
absence,6,16,0,16
weak,6,16,1,16
wave,6,16,1,16
naked,6,16,1,16
vast,6,16,1,16
attacked,6,16,0,16
murders,6,16,0,16
produce,6,16,0,16
bitter,6,16,0,16
nearest,6,16,1,16
ministry,6,16,0,16
package,6,16,1,16
retained,6,16,0,16
replacing,6,16,1,16
terms,6,16,1,16
hope,6,16,0,16
contention,6,16,1,16
successful,6,16,1,16
denial,6,16,1,16
drama,6,16,1,16
slip,6,16,0,16
evolution,6,16,0,16
sleep,6,16,0,16
expand,6,16,1,16
excess,6,16,1,16
differently,6,16,0,16
italy,6,16,0,16
samples,6,16,0,16
46,6,16,1,16
planning,6,16,1,16
route,6,16,1,16
win,6,16,0,16
spots,6,16,1,16
claim,6,16,1,16
grand,6,16,1,16
confident,6,16,1,16
secretary,6,16,0,16
substitute,6,16,1,16
favorites,6,16,1,16
label,6,16,0,16
celebrated,6,16,1,16
registered,6,16,0,16
cape,6,16,0,16
decide,6,16,1,16
cooked,6,16,1,16
chicken,6,16,2,16
roasted,6,16,1,16
producers,6,16,1,16
95,6,16,0,16
glazed,6,16,0,16
stirring,6,16,0,16
game,6,16,2,16
kong,6,16,0,16
prepare,6,16,0,16
wraps,6,16,1,16
wrapped,6,16,1,16
mexican,6,16,0,16
choose,6,16,0,16
korea,6,16,0,16
stomach,6,16,0,16
kilometers,6,16,1,16
meets,6,16,0,16
positive,6,16,0,16
fourth,6,16,1,16
avoiding,6,16,1,16
settle,6,16,0,16
dove,6,16,0,16
reality,6,16,1,16
recognize,6,16,0,16
brooks,6,16,0,16
brushed,6,16,1,16
australia,6,16,0,16
broad,6,16,0,16
shorter,6,16,0,16
rid,6,16,0,16
liberty,6,16,0,16
holy,6,16,0,16
effectively,6,16,0,16
tragic,6,16,0,16
score,6,16,0,16
headed,6,16,1,16
islands,6,16,0,16
majority,6,16,0,16
spending,6,16,1,16
wounded,6,16,0,16
middle,5,16,0,16
oriental,5,16,0,16
rights,5,16,0,16
nests,5,16,0,16
walter,5,16,0,16
division,5,16,1,16
david,5,16,1,16
parent,5,16,0,16
violations,5,16,0,16
tracked,5,16,0,16
editor,5,16,1,16
droppings,5,16,0,16
supposedly,5,16,0,16
on,5,16,1,16
york,5,16,1,16
little,5,16,1,16
past,5,16,0,16
breeding,5,16,1,16
flu,5,16,0,16
urged,5,16,0,16
has,5,16,1,16
executive,5,16,1,16
drop,5,16,2,16
brought,5,16,2,16
who,5,16,2,16
13,5,16,2,16
no,5,16,1,16
its,5,16,1,16
pearl,5,16,0,16
1997,5,16,1,16
pink,5,16,1,16
interim,5,16,1,16
completing,5,16,0,16
provide,5,16,1,16
that,5,16,1,16
jim,5,16,0,16
fear,5,16,1,16
wooden,5,16,1,16
certainly,5,16,1,16
taken,5,16,1,16
discovered,5,16,2,16
moves,5,16,1,16
instead,5,16,1,16
fully,5,16,1,16
play,5,16,1,16
news,5,16,1,16
33,5,16,2,16
welcome,5,16,1,16
18,5,16,1,16
inc,5,16,1,16
lived,5,16,2,16
worked,5,16,2,16
come,5,16,2,16
been,5,16,2,16
bolstered,5,16,0,16
conduct,5,16,1,16
lethal,5,16,1,16
manufacture,5,16,0,16
tourist,5,16,1,16
contributing,5,16,1,16
champagne,5,16,1,16
lots,5,16,1,16
mention,5,16,1,16
mess,5,16,0,16
capt,5,16,0,16
capacity,5,16,0,16
breakfast,5,16,1,16
lighting,5,16,0,16
stretch,5,16,1,16
strategy,5,16,0,16
massive,5,16,0,16
proving,5,16,0,16
flattened,5,16,1,16
forcing,5,16,0,16
except,5,16,1,16
extends,5,16,1,16
feast,5,16,0,16
pace,5,16,0,16
hosts,5,16,0,16
greek,5,16,1,16
school,5,16,1,16
scott,5,16,1,16
scenario,5,16,0,16
etched,5,16,0,16
crunch,5,16,1,16
lawyer,5,16,1,16
damages,5,16,0,16
jack,5,16,1,16
donor,5,16,0,16
drum,5,16,0,16
journal,5,16,0,16
rhythm,5,16,1,16
attitude,5,16,1,16
visited,5,16,1,16
assistant,5,16,1,16
andy,5,16,0,16
anderson,5,16,0,16
arrives,5,16,1,16
victorian,5,16,0,16
warning,5,16,1,16
adopt,5,16,0,16
full,5,16,1,16
theater,5,16,1,16
number,5,16,1,16
public,5,16,1,16
chain,5,16,1,16
strain,5,16,1,16
written,5,16,1,16
ceo,5,16,1,16
bringing,5,16,1,16
grocery,5,16,1,16
increasing,5,16,1,16
impressive,5,16,1,16
figured,5,16,0,16
code,5,16,1,16
dozen,5,16,1,16
promoting,5,16,0,16
cherry,5,16,1,16
iran,5,16,0,16
beaten,5,16,1,16
presidential,5,16,1,16
fix,5,16,1,16
israel,5,16,0,16
experts,5,16,1,16
wondered,5,16,1,16
many,5,16,1,16
eagle,5,16,0,16
landed,5,16,1,16
late,5,16,1,16
francisco,5,16,1,16
result,5,16,2,16
kinds,5,16,1,16
non,5,16,1,16
studio,5,16,1,16
content,5,16,1,16
pig,5,16,1,16
55,5,16,1,16
packed,5,16,2,16
overnight,5,16,1,16
warned,5,16,1,16
workers,5,16,1,16
1950s,5,16,1,16
contact,5,16,1,16
visit,5,16,1,16
sessions,5,16,1,16
parts,5,16,1,16
extinct,5,16,1,16
customer,5,16,1,16
setting,5,16,1,16
world,5,16,1,16
parents,5,16,1,16
appeal,5,16,1,16
ordinary,5,16,1,16
bound,5,16,1,16
attempt,5,16,1,16
encountered,5,16,1,16
agent,5,16,1,16
commercials,5,16,1,16
pizza,5,16,0,16
body,5,16,1,16
board,5,16,1,16
700,5,16,1,16
followed,5,16,1,16
delicious,5,16,1,16
hour,5,16,2,16
give,5,16,1,16
ill,5,16,0,16
could,5,16,1,16
serves,5,16,2,16
police,5,16,2,16
shortly,5,16,2,16
saying,5,16,2,16
stand,5,16,2,16
movie,5,16,2,16
fact,5,16,2,16
born,5,16,2,16
question,5,16,2,16
although,5,16,2,16
looked,5,16,2,16
professor,5,16,2,16
among,5,16,2,16
appeared,5,16,2,16
mother,5,16,0,16
giant,5,16,1,16
leaves,5,16,0,16
end,5,16,1,16
jonathan,5,16,1,16
dance,5,16,1,16
plants,5,16,1,16
especially,5,16,1,16
eye,5,16,1,16
murray,5,16,0,16
en,5,16,0,16
silver,5,16,0,16
oak,5,16,0,16
script,5,16,0,16
starred,5,16,0,16
lavender,5,16,0,16
lays,5,16,0,16
increased,5,16,0,16
itself,5,16,1,16
eats,5,16,0,16
mile,5,16,0,16
bruce,5,16,1,16
start,5,16,1,16
laced,5,16,1,16
step,5,16,1,16
throat,5,16,0,16
gray,5,16,1,16
hit,5,16,2,16
providing,5,16,2,16
be,5,16,2,16
atop,5,16,1,16
prosecutor,5,16,0,16
bob,5,16,1,16
charles,5,16,0,16
tom,5,16,1,16
pieces,5,16,0,16
ridge,5,16,0,16
campbell,5,16,0,16
shore,5,16,0,16
driver,5,16,0,16
an,5,16,1,16
perched,5,16,0,16
trucks,5,16,0,16
about,5,16,1,16
piece,5,16,0,16
20,5,16,1,16
shot,5,16,1,16
saw,5,16,1,16
contract,5,16,0,16
swan,5,16,0,16
weighing,5,16,0,16
out,5,16,1,16
hook,5,16,0,16
largest,5,16,0,16
72,5,16,0,16
hung,5,16,0,16
second,5,16,2,16
nearby,5,16,1,16
debbie,5,16,0,16
actor,5,16,0,16
gigantic,5,16,0,16
star,5,16,1,16
television,5,16,0,16
shipped,5,16,0,16
reserve,5,16,0,16
are,5,16,2,16
partnership,5,16,0,16
cage,5,16,1,16
california,5,16,1,16
banner,5,16,0,16
extinction,5,16,0,16
pad,5,16,0,16
so,5,16,2,16
free,5,16,2,16
series,5,16,1,16
attorney,5,16,1,16
examine,5,16,0,16
drive,5,16,1,16
completely,5,16,1,16
inspection,5,16,1,16
tuesday,5,16,1,16
reached,5,16,1,16
children,5,16,1,16
famous,5,16,2,16
office,5,16,2,16
sunday,5,16,1,16
also,5,16,2,16
47,5,16,0,16
chick,5,16,0,16
claimed,5,16,1,16
rain,5,16,1,16
elizabeth,5,16,0,16
filed,5,16,0,16
fire,5,16,1,16
chan,5,16,0,16
vehicles,5,16,0,16
observed,5,16,1,16
fallen,5,16,1,16
lives,5,16,1,16
men,5,16,1,16
finally,5,16,1,16
area,5,16,2,16
never,5,16,1,16
may,5,16,2,16
classic,5,16,1,16
tours,5,16,1,16
passes,5,16,1,16
researcher,5,16,1,16
reporter,5,16,1,16
harry,5,16,1,16
victims,5,16,0,16
review,5,16,1,16
linda,5,16,1,16
western,5,16,1,16
belly,5,16,0,16
dramatic,5,16,1,16
sudden,5,16,0,16
bodies,5,16,1,16
survived,5,16,2,16
change,5,16,1,16
breaking,5,16,1,16
teeth,5,16,0,16
harbor,5,16,1,16
miles,5,16,0,16
steve,5,16,1,16
broken,5,16,2,16
service,5,16,1,16
42,5,16,1,16
briefly,5,16,1,16
veteran,5,16,0,16
mayor,5,16,0,16
victim,5,16,0,16
remains,5,16,0,16
relationship,5,16,1,16
ms,5,16,2,16
suit,5,16,1,16
created,5,16,0,16
consultant,5,16,1,16
language,5,16,1,16
finishing,5,16,2,16
thieves,5,16,1,16
nancy,5,16,1,16
risk,5,16,1,16
turns,5,16,1,16
faces,5,16,0,16
gallons,5,16,0,16
january,5,16,0,16
destroyed,5,16,1,16
lightning,5,16,1,16
launch,5,16,0,16
joseph,5,16,1,16
defend,5,16,0,16
clubhouse,5,16,0,16
rear,5,16,1,16
buck,5,16,0,16
collision,5,16,0,16
tie,5,16,1,16
charged,5,16,0,16
panic,5,16,0,16
protest,5,16,1,16
2002,5,16,0,16
partially,5,16,1,16
bracing,5,16,0,16
communications,5,16,1,16
poised,5,16,0,16
uncle,5,16,1,16
lock,5,16,0,16
location,5,16,0,16
twin,5,16,0,16
shy,5,16,0,16
36,5,16,0,16
brothers,5,16,0,16
refuge,5,16,0,16
