,relation,object,cold,food,all,measure,communication,mean,median
steam,0.006755540292473988,0.0,0.0,0.0,0.006287898566764923,0.0,0.0,0.0018633484084627015,0.0
dust,0.006500372277141358,0.0,0.0,0.0,0.005902291004397266,0.0,0.0,0.0017718090402198035,0.0
lava,0.004274930679388672,0.0,0.0,0.0,0.0038918668167131965,0.0,0.0,0.0011666853565859812,0.0
fire,0.0007231996604504809,0.0005752440375272121,0.0,0.0,0.0005913779180801482,0.0,0.0009182317001911208,0.00040115047374985165,0.00048819725563853183
glass,0.0,0.007694580343960344,0.0,0.0,0.0071536762224703,0.008005827006946558,0.0,0.0032648690819110293,0.0016324345409555146
cream,0.0,0.004916008261041883,0.0,0.007622006278000532,0.004868257684692947,0.0,0.0,0.0024866103176764804,0.0012433051588382402
toilet,0.0,0.005430537171436725,0.0,0.0,0.004940843513171498,0.0,0.0,0.0014816258120868891,0.0
berry,0.0,0.0003742466319741178,0.0,0.0007881300389189585,0.00032445634534014953,0.0,0.0,0.00021240471660474654,0.00010620235830237327
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eggshell,0.0,0.010026859212084625,0.0,0.0,0.010579968120664049,0.0,0.0,0.0029438324761069533,0.0
shelf,0.0,0.0023486177760188866,0.0,0.0,0.0020700662854825007,0.0,0.0,0.0006312405802144839,0.0
snowdrift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0033805704198198346,0.0,0.0,0.0030334664507303375,0.0,0.0,0.0009162909815071674,0.0
freezer,0.0,0.021655139419345135,0.0,0.0,0.01993693733860992,0.0,0.0,0.0059417252511364356,0.0
balloon,0.0,0.003908683031464783,0.0,0.0,0.0036863060937032356,0.0,0.0,0.0010849984464525741,0.0
toe,0.0,0.0005434574947321471,0.0,0.0,0.000513418595202938,0.0,0.0,0.000150982298562155,0.0
fridge,0.0,0.062369968304291215,0.0,0.0,0.05892764107683711,0.0,0.0,0.01732822991158976,0.0
snowbank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kettle,0.0,0.014703325782374219,0.0,0.0,0.014359982344477404,0.01502462083651781,0.0,0.006298275566195633,0.0031491377830978164
permafrost,0.0,0.005891431624749915,0.0,0.0,0.005584650221904521,0.0,0.0,0.0016394402638077767,0.0
iceberg,0.0,0.003160467406157976,0.0,0.003908200233107993,0.0030536727759000255,0.0,0.0,0.001446048630737999,0.0007230243153689995
ice,0.0,0.031845084942566396,0.0,0.042176524683433976,0.029448686178363458,0.0,0.0,0.014781470829194834,0.007390735414597417
finger,0.0,0.0028333727991721736,0.0,0.0,0.0027103594538610562,0.002875840476322327,0.0,0.001202796104193651,0.0006013980520968255
candle,0.0,0.005997213195315704,0.0,0.0,0.0057143233948459445,0.006802444682539302,0.0,0.0026448544675287075,0.0013224272337643537
nose,0.0,0.004866573138960079,0.0,0.0,0.004436281558504349,0.00516049639406003,0.005892522814932862,0.0029079819866367597,0.0036721317725705543
shoe,0.0,0.00042042108721806413,0.0,0.0,0.0003855845346985415,0.0,0.0,0.0001151436602738008,0.0
mug,0.0,0.006418621380359924,0.0,0.0,0.0060173268498027515,0.007082307536606208,0.0,0.0027883222523955547,0.0013941611261977774
puddle,0.0,0.013687928281126291,0.0,0.0,0.012325973939810752,0.0,0.0,0.0037162717458481495,0.0
bottle,0.0,0.008903199522354587,0.0,0.0,0.008454008596741655,0.010107722942996838,0.0,0.003923561580299011,0.0019617807901495055
snow,0.0,0.047701501939387665,0.0,0.0,0.045768473941274514,0.0,0.0,0.013352853697237455,0.0
can,0.0,0.005443911626364306,0.0,0.0,0.005329789028409814,0.0056777075467303205,0.006013181397524133,0.003209227085575511,0.004269508056992662
pavement,0.0,0.021122323475113447,0.0,0.0,0.020963653295233798,0.0,0.0,0.006012282395763892,0.0
fireplace,0.0,0.00830730488241869,0.0,0.0,0.008031202112709522,0.0,0.0,0.002334072427875459,0.0
surface,0.0,0.008796548848828297,0.0,0.0,0.008471273904274951,0.0,0.0,0.0024668318218718926,0.0
hair,0.0,0.0011882045012829412,0.0,0.0,0.0011279617024764087,0.0012517799104801274,0.0,0.0005097065877484968,0.0002548532938742484
growler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.0,0.0023024409010932115,0.0,0.0032830426426937254,0.0022204413477177162,0.0,0.0,0.0011151321273578077,0.0005575660636789038
toaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basement,0.0,0.01045411546969496,0.0,0.0,0.008969286438758222,0.0,0.0,0.0027747717012075973,0.0
pillow,0.0,0.0041154056123830305,0.0,0.0,0.00395907202774368,0.0,0.0,0.0011534968057323872,0.0
atmosphere,0.0,0.009631901913431287,0.0,0.0,0.00935179012638586,0.01055771794788144,0.0,0.004220201426814084,0.002110100713407042
bathtub,0.0,0.015287603468561672,0.0,0.0,0.014397414657576454,0.0,0.0,0.004240716875162589,0.0
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lip,0.0,0.001305350672355269,0.0,0.0,0.0012843701614707564,0.0,0.0,0.0003699601191180036,0.0
heat,0.0,0.02367200932659404,0.0,0.0,0.02363296118528027,0.024864697181856955,0.0,0.010309952527675895,0.0051549762638379475
jungle,0.0,0.0006337985483683442,0.0,0.0,0.0006556041545495632,0.0,0.0,0.00018420038613112963,0.0
foot,0.0,0.0010120651138673337,0.0,0.0,0.0009769751264327193,0.0010584012318265367,0.001224423008044146,0.0006102663543101052,0.0007936207403714123
outfit,0.0,0.0050186885248753,0.0,0.0,0.0050627992674603306,0.0,0.0,0.0014402125417622331,0.0
cheesecloth,0.0,0.005853730218875186,0.0,0.0,0.005510437928345662,0.0,0.0,0.0016234525924601212,0.0
tile,0.0,0.009087366961946184,0.0,0.0,0.008897250209122924,0.0,0.0,0.002569231024438444,0.0
bath,0.0,0.02351055410468658,0.0,0.0,0.024429654444153313,0.02413439622185825,0.0,0.010296372110099733,0.0051481860550498665
heating,0.0,0.011262085716768577,0.0,0.0,0.01074289519210178,0.0,0.0,0.0031435687012671934,0.0
vinyl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
people,0.0,0.0,0.003035265879084363,0.0,0.0030371963674113937,0.0,0.0,0.000867494606642251,0.0
icicle,0.0,0.0,0.013154182338320908,0.0,0.014767018005457485,0.0,0.0,0.003988742906254056,0.0
sky,0.0,0.0,0.007656245683190003,0.0,0.007936778840768361,0.0,0.0,0.0022275749319940518,0.0
slime,0.0,0.0,0.013424289545959912,0.0,0.016015040891888526,0.0,0.0,0.0042056186339783485,0.0
snowfall,0.0,0.0,0.040665037618398875,0.0,0.041761298772492045,0.0,0.0,0.011775190912984417,0.0
river,0.0,0.0,0.0024639645631580834,0.0,0.0024905391007091753,0.0,0.0,0.0007077862376953227,0.0
flame,0.0,0.0,0.0016550943723088437,0.0,0.0013904792517223368,0.0,0.0,0.0004350819462901686,0.0
tummy,0.0,0.0,0.00164699796462871,0.0,0.0019943588924194464,0.0,0.0,0.0005201938367211652,0.0
lightning,0.0,0.0,0.0008782337530297651,0.0,0.0008055441663461381,0.0,0.0,0.00024053970276798615,0.0
hatred,0.0,0.0,0.001138477563275828,0.0,0.0008373112134658172,0.0,0.0,0.0002822555395345207,0.0
pie,0.0,0.0,0.0,0.0032242341688135407,0.0018127121555411073,0.0,0.0,0.0007195637606220925,0.0
sundae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.0,0.0,0.0,0.010278049778778149,0.0063908814834793565,0.0,0.0,0.002381275894608215,0.0
tortilla,0.0,0.0,0.0,0.0026696673777928917,0.001961487826674787,0.0,0.0,0.0006615936006382398,0.0
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
winter,0.0,0.0,0.0,0.0,0.09721612543436348,0.1115870644594451,0.0,0.029829027127686942,0.0
problem,0.0,0.0,0.0,0.0,0.0030362134698884136,0.0,0.003372552977292629,0.0009155380638830061,0.0
idea,0.0,0.0,0.0,0.0,0.007003331352744289,0.0,0.007513452362916549,0.0020738262450944052,0.0
summertime,0.0,0.0,0.0,0.0,0.008289727894692716,0.008362136967337614,0.0,0.0023788378374329047,0.0
