,all,relation,weapon,mammal,no-cat,animal,food,cutlery,object,medication,communication,fish,criminal,vehicle,measure,reptile,tool,mean,median
snake,0.003994829544813898,0.0,0.0,0.0,0.0,0.003904652415762017,0.0,0.0,0.004055150187022251,0.0,0.0,0.0,0.0,0.0,0.0,0.004389775262022297,0.0,0.0009614357299776744,0.0
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,0.002815161966143339,0.0,0.002490537546843623,0.0,0.0,0.0,0.002844702083337352,0.0,0.002959297319631863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003278159396777551,0.0008463446066313958,0.0
club,0.0034510539207497624,0.0036742914071486443,0.0,0.0,0.0,0.0,0.0,0.0,0.003545691539763286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006277080510389231,0.0
traitor,0.008736698492252847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00871947786837181,0.0,0.0,0.0,0.008505074044359393,0.0,0.0,0.0,0.0,0.0015271323767637678,0.0
shotgun,0.01573264042559699,0.0,0.013636994443806958,0.0,0.0,0.0,0.0,0.0,0.016364347918877135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002690234281663593,0.0
sword,0.005147265863431706,0.0,0.00468116537612048,0.0,0.0,0.0,0.0,0.0,0.00541515039892413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000896681272851548,0.0
killer,0.0036591010344669142,0.0,0.0,0.0041598756384521735,0.0,0.0035825538691747288,0.0,0.0,0.003834033365881706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008962096416456189,0.0
racketeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hijacker,0.004595341383484363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004746861611890423,0.0,0.0,0.0,0.005492706360371877,0.0,0.0,0.0,0.0,0.0008726417268086273,0.0
poison,0.007746384631675542,0.0,0.0,0.0,0.008169622022961042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009362356855668579,0.0
weapon,0.014078496744888543,0.0,0.011639213368753959,0.0,0.0,0.0,0.0,0.0,0.01426586605929312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023519750689962133,0.0
attack,0.022273313835411406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01960385735489846,0.0,0.0,0.0,0.0,0.0,0.0,0.002463363011194698,0.0
nightstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
looter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0013351744427010682,0.0,0.0,0.0014773444848820317,0.0,0.001359805976019346,0.0,0.0,0.0013872005985631397,0.0,0.0,0.0,0.0,0.0019080060139476827,0.0,0.0,0.0016399483384995084,0.0005357341090948693,0.0
hippopotamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shaft,0.003757302781749139,0.0,0.0031686423397571,0.0,0.0,0.0,0.0,0.0,0.0038130220350282074,0.0,0.0034605444291869033,0.0,0.0,0.0,0.0,0.0,0.0,0.0008352653873953734,0.0
morphine,0.002628931347787392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029726489118885925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003295047211574108,0.0
bootlegger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
warhead,0.0010036195516899989,0.0011156118453483472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012466067041402035,0.0
tiger,0.004093212387206388,0.0,0.0,0.0037047428401278354,0.0,0.003775359746326017,0.0,0.0,0.004364488776989325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009375178676852685,0.0
grenade,0.012839350738434223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013560745759091986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015529468527956593,0.0
conspirator,0.0006913626284616045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007090568483158188,0.0,0.0,0.0,0.001022431570229772,0.0,0.0,0.0,0.0,0.00014252064982395266,0.0
pentobarbital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pistol,0.012723531964004942,0.0,0.012696075525713241,0.0,0.0,0.0,0.0,0.0,0.013560152437601593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022929270545482224,0.0
virus,0.0033004086406732283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125679058233221,0.0,0.002896660588602274,0.0,0.0,0.0,0.0,0.0,0.0,0.0005483969580887484,0.0
terrorism,0.004741473450595663,0.0,0.0,0.0,0.004627221945619458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005510997291891247,0.0
firearm,0.002585249895755211,0.0,0.0021994842643372277,0.0,0.0,0.0,0.0,0.0,0.002662750601869157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004380873389389174,0.0
raper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scimitar,0.019004993263770954,0.0,0.015751911034766242,0.0,0.0,0.0,0.0,0.0,0.019968924119697865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032191663775432387,0.0
blunderbuss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrow,0.0011573100991973337,0.0,0.0010073987622379098,0.0,0.0,0.0,0.0,0.0,0.0012005151007761046,0.0,0.0009191874835433861,0.0,0.0,0.0,0.0,0.0,0.0,0.000252024202691455,0.0
gun,0.014306489194312731,0.0,0.011835641720130036,0.0,0.0,0.0,0.0,0.0,0.014724624524258097,0.0,0.0,0.0,0.012960925596262754,0.0,0.0,0.0,0.0,0.0031663341785272718,0.0
conspiracy,0.006452919672698826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006404003984837148,0.0,0.0,0.0,0.0,0.0,0.0,0.0007562896269138808,0.0
methamphetamine,0.0018596514685822344,0.0,0.0,0.0,0.0018693663215981957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021935398765767235,0.0
dose,0.002250217277050354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024941488184727348,0.0,0.0,0.0,0.0,0.0023531051330514165,0.0,0.0,0.0004174983075632062,0.0
bow,0.0015651472332548577,0.0,0.0013698230620473016,0.0,0.0,0.0,0.0,0.0,0.0016144400123945465,0.0,0.001427199831172654,0.0,0.0,0.0,0.0,0.0,0.0,0.00035156530228643294,0.0
malaria,0.0020492924669995092,0.0,0.0,0.0,0.0023826007443153215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002606996006655783,0.0
war,0.004918186864351595,0.0,0.0,0.0,0.0050259512963347856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005849493035697871,0.0
mafioso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire,0.02815421216365757,0.03708820907065851,0.0,0.0,0.0,0.0,0.0,0.0,0.028155733811713015,0.0,0.02915443276680995,0.0,0.0,0.0,0.0,0.0,0.0,0.0072089757536964155,0.0
scalpel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thief,0.0037944818851953672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003974936692387839,0.0,0.0,0.0,0.0037176313760787665,0.0,0.0,0.0,0.0,0.0006757088208036454,0.0
venom,0.006396183544173535,0.0,0.0,0.0,0.0055617642741025925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007034086951927134,0.0
punk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torpedo,0.00676618985189574,0.0073924416168285115,0.0,0.0,0.0,0.006071253205235379,0.007840921157829233,0.0,0.006975184608167538,0.0,0.005979069386349711,0.00779026492670996,0.007418204381209992,0.0,0.0,0.0,0.0,0.0033078546549544746,0.0016539273274772373
missile,0.004871839479288514,0.0,0.004745815719282445,0.0,0.0,0.0,0.0,0.0,0.005166505764146035,0.0,0.0,0.0,0.0,0.0070916324977626675,0.0,0.0,0.0,0.0012868113800282152,0.0
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menthol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0005149816683953631,0.0,0.0,0.0,0.0,0.000582895847268033,0.0,0.0,0.0005215885325352676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005306969322349487,0.00012648017531962426,0.0
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
remedy,0.0009191569783084716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010882520695830737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001180828851700909,0.0
crowbar,0.011098294661074369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01158727863354131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013344454879185693,0.0
langur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goat,0.00043988091906418394,0.0,0.0,0.0006556132862858785,0.0,0.0005378011204632443,0.0,0.0,0.0004401952413014599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012197003335969215,0.0
elixir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naproxen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stamper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fork,0.0007028181916231097,0.0,0.0,0.0,0.0,0.0,0.0,0.0011249954183605744,0.0007105373533270498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008589327045506231,0.00019984021575655039,0.0
iodine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar,0.0040919015161998374,0.0,0.0,0.0,0.005018554297639885,0.0,0.0,0.0,0.003924958745636076,0.0,0.005019046388044981,0.0,0.0,0.0,0.006264611990748366,0.0,0.0,0.001430533702251126,0.0
bill,0.002183000506215916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021645248570463607,0.0,0.0024526620739547113,0.0,0.0,0.0,0.002639567259934815,0.0,0.0023972373062636073,0.00069629364725973,0.0
pusher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clipper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glove,0.000697527744491391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007208815165345398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.343583888387827e-05,0.0
slice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aspirin,0.0008591393899402797,0.0010850135289907326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001474379730176687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020109015582986465,0.0
nursing,0.004850774908380776,0.0,0.0,0.0,0.005187670810332929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005904968069831593,0.0
jack,0.00023863011024840961,0.0003497756081088676,0.0,0.0002971174510635152,0.0002541710994778892,0.00028850388893154357,0.0003019077955466991,0.0,0.0002473381710978606,0.0,0.0,0.0003206523303180713,0.0,0.0,0.00036615244936162854,0.0,0.0002993804931713434,0.00017433114101916638,0.0002429841406731351
rod,0.0003968056105697225,0.0,0.0004181917183627003,0.0,0.0,0.0,0.0,0.0,0.00041576987332536973,0.0,0.0,0.0,0.0,0.0,0.0007284378506395758,0.0,0.0,0.00011524735605278636,0.0
cure,0.0033625545234749425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004531079917721111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046433143771741495,0.0
hornbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ointment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buffer,0.0006351246320284127,0.0007754854635593619,0.0,0.0,0.0,0.0,0.0,0.0,0.0006578966950074649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006849651563528056,0.00016196893805576739,0.0
flack,0.00786171905135393,0.0,0.008139456822349388,0.0,0.0,0.0,0.0,0.0,0.008244911780412045,0.0,0.008785389947546159,0.0,0.0,0.0,0.0,0.0,0.0,0.0019430280942153836,0.0
pestle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciprofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penicillin,0.0027921307067308803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039030557516417323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003938344975513302,0.0
tap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dip,0.0008665060762631864,0.0,0.0,0.0,0.0,0.0,0.000996651306031534,0.0,0.0008504700220921635,0.0,0.0,0.0,0.0008828702550792214,0.0,0.0,0.0,0.0,0.0002115586858509474,0.0
file,0.000737961024113334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007299271140116092,0.0,0.0009428323211812973,0.0,0.0,0.0,0.0,0.0,0.0007236066846186171,0.00018437218493675631,0.0
opener,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laxative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crease,0.0008253709773686985,0.0,0.0007422583900017037,0.0,0.0,0.0,0.0,0.0,0.0008485008352061575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014212530603391528,0.0
toad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.00400934039452641,0.0,0.0,0.0,0.0,0.004908671484120334,0.0,0.0,0.003935351697609889,0.0,0.0,0.0,0.0,0.0,0.0,0.006994655243631432,0.0,0.0011675305188169449,0.0
rabbit,0.0038110591521231282,0.00434384991129636,0.0,0.004531065353567766,0.0,0.004156593114187571,0.0039055824652924516,0.0,0.003749449656631807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014410352737117109,0.0
starter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arm,0.0009557279465840654,0.0,0.0009317328042647115,0.0,0.0,0.0,0.0,0.0,0.00097323677458181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016827632502532865,0.0
plane,0.012673608755572087,0.0,0.0,0.0,0.0,0.0,0.0,0.01638219053398256,0.012805004401445396,0.0,0.0,0.0,0.0,0.014577825571590944,0.0,0.0,0.013334874834216779,0.004104323770400457,0.0
businessman,0.014498567901689982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014399792534535438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016999035550720836,0.0
