,all,relation,juicy,mammal,no-cat,animal,food,plant,object,fruit,communication,vegetable,fish,measure,mean,median
citron,0.0031974579865077864,0.0,0.0,0.0,0.0,0.0,0.003145360143944266,0.0026328301535275475,0.0033987471038249063,0.004287979977451098,0.0,0.0,0.0,0.0,0.0011901696689468287,0.0
tamarind,0.22131000233843365,0.0,0.0,0.0,0.0,0.0,0.21302406603974958,0.19818877641304614,0.22530075492625382,0.24325702483139278,0.0,0.0,0.0,0.0,0.07864861603920541,0.0
burger,0.0007851129785376339,0.0,0.0,0.0,0.0,0.0,0.000787805622074098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001123513286151237,0.0
pie,0.004669154219101539,0.0,0.0,0.0,0.0,0.0,0.004505111295822097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006553046796374026,0.0
berry,0.00336880729335683,0.0,0.0,0.0,0.0,0.0,0.003063983957016411,0.0,0.0036111643396917726,0.005396438167070749,0.0,0.0,0.0,0.0,0.0011028852683668403,0.0
shallot,0.04854063835260022,0.0,0.0,0.0,0.0,0.0,0.049225233044769466,0.04898427782338778,0.04982298473555169,0.0,0.0,0.053739503196505924,0.0,0.0,0.017879474082343937,0.0
currant,0.08554166952264451,0.0,0.0,0.0,0.0,0.0,0.08497611151556111,0.07926489174307452,0.08889201258137129,0.09299370002172745,0.0,0.0,0.0,0.0,0.03083345609888421,0.0
ham,0.0012770402516999449,0.0,0.0,0.0,0.0,0.0,0.001233358016286321,0.0,0.0012823455919472,0.0,0.0,0.0,0.0,0.0,0.0002709102757095333,0.0
juice,0.06676020193675043,0.07686815858217717,0.0,0.0,0.0,0.0,0.06447962865876117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014864856369834912,0.0
morello,0.005064051335621923,0.0,0.0,0.0,0.0,0.0,0.004686855826802503,0.003727887302366995,0.005093724117513839,0.006379699248228151,0.0,0.0,0.0,0.0,0.0017823012736095294,0.0
sorbet,0.03595141154973653,0.0,0.0,0.0,0.0,0.0,0.03463521457457671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005041901866022374,0.0
sardine,0.009345756864772832,0.009330321828088909,0.0,0.0,0.0,0.009805009714250947,0.008966370143484842,0.0,0.009322402884470433,0.0,0.0,0.0,0.010826314976752183,0.0,0.004114012600844296,0.0
okra,0.014189537828911417,0.0,0.0,0.0,0.0,0.0,0.014102747394057435,0.01323761072599173,0.014534892452126684,0.014883221143989324,0.0,0.014194959795228487,0.0,0.0,0.006081640667164648,0.0
pumpkin,0.008500764308344434,0.0,0.0,0.0,0.0,0.0,0.008214148597312058,0.007891495284286969,0.008860846938588334,0.0,0.0,0.007710558799371227,0.0,0.0,0.0029412724234216445,0.0
date,0.0005023174911074751,0.0,0.0,0.0,0.0,0.0,0.0004817412022043204,0.0,0.0005153165345712701,0.0006428329596120453,0.0,0.0,0.0,0.0005517973330110179,0.00019242896575043779,0.0
cayenne,0.03674231916926421,0.0,0.0,0.0,0.0,0.0,0.035045389451014104,0.03135725267066607,0.037399608537593644,0.0,0.0,0.03229071785449174,0.0,0.0,0.012345377691644982,0.0
wintergreen,0.008220463117791448,0.0,0.0,0.0,0.0,0.0,0.008231948376405937,0.006909875916708413,0.008653912376096577,0.011077516700387433,0.0,0.0,0.0,0.0,0.003078122606242129,0.0
pomegranate,0.60215935051837,0.0,0.0,0.0,0.0,0.0,0.5793372272214948,0.5833790624850081,0.6150267362495493,0.6583581992083234,0.0,0.0,0.0,0.0,0.21701861254876756,0.0
blackberry,0.002676882081050974,0.0,0.0,0.0,0.0,0.0,0.0025989966927626434,0.0020534915121815166,0.0027630799437827736,0.0033486823390732282,0.0,0.0,0.0,0.0,0.0009600808977750811,0.0
olive,0.06348462317901617,0.06664830279139561,0.0,0.0,0.0,0.0,0.05980307341134305,0.05510364504675537,0.06587941372942585,0.07454084175265517,0.0,0.0,0.0,0.0,0.027532849993613658,0.0
calabash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chutney,0.014994706618382668,0.0,0.0,0.0,0.0,0.0,0.014054067861860763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020749124628745307,0.0
apple,0.0818220763344834,0.0,0.0,0.0,0.0,0.0,0.07916274945177991,0.06310546495771557,0.08610313152168947,0.10817170359364973,0.0,0.0,0.0,0.0,0.02988322327566558,0.0
watermelon,0.16934531526027036,0.0,0.0,0.0,0.0,0.0,0.16712786153671072,0.1544431257407829,0.1717037156368705,0.1732875311226183,0.0,0.0,0.0,0.0,0.05970768209266091,0.0
mandarin,0.0025474747979104466,0.0,0.0,0.0,0.0,0.0,0.002413289161844945,0.002203534748432464,0.0026062959900384876,0.003241599093077229,0.0,0.0,0.0,0.0,0.0009294424136645408,0.0
cherry,0.042572886096032145,0.05196776988461884,0.0,0.0,0.0,0.0,0.04098029073232034,0.038461863685248086,0.043684004401249935,0.047952085037465814,0.0,0.0,0.0,0.0,0.018972778559781085,0.0
mangold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange,0.5017707053126006,0.6298833044451632,0.0,0.0,0.0,0.0,0.48859758873340825,0.4378225326396588,0.5107454595903816,0.5789226586043451,0.0,0.0,0.0,0.0,0.2248387320946827,0.0
kumquat,0.02487814794523713,0.0,0.0,0.0,0.0,0.0,0.023644143665225215,0.0216431349748641,0.025546126396722317,0.029606292025529782,0.0,0.0,0.0,0.0,0.008951274643398467,0.0
salad,0.013542442033515852,0.0,0.0,0.0,0.0,0.0,0.013322230730613616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019189051974378192,0.0
crab,0.004333797274880897,0.0,0.0,0.0,0.0,0.00496338950116,0.004293381726814669,0.0,0.004374043103551812,0.0,0.0,0.0,0.0,0.0,0.001283186543314813,0.0
cranberry,0.5934344310379353,0.0,0.0,0.0,0.0,0.0,0.5789713492633829,0.570146038295075,0.6080295478051492,0.6438201328783322,0.0,0.0,0.0,0.0,0.21388582137713388,0.0
mangosteen,0.16655350581792164,0.0,0.0,0.0,0.0,0.0,0.1587089536564578,0.11949508507009526,0.1696379783116037,0.1702623214381946,0.0,0.0,0.0,0.0,0.05604698887816236,0.0
melon,0.027095363229336703,0.0,0.0,0.0,0.0,0.0,0.026566097297820345,0.023247750011494924,0.027694920375954158,0.031521690179130014,0.0,0.0,0.0,0.0,0.009723272935266867,0.0
pear,0.04371319026907177,0.0,0.0,0.0,0.0,0.0,0.040377051040388835,0.03856785172170167,0.04584409181761656,0.05298815994497419,0.0,0.0,0.0,0.0,0.0158207389138395,0.0
doughnut,0.004219535716851021,0.0,0.0,0.0,0.0,0.0,0.004179520587172702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005999325931445517,0.0
nectarine,0.02018157351987021,0.0,0.0,0.0,0.0,0.0,0.0189857743245385,0.017945876852488985,0.020807765580060415,0.023759905093266413,0.0,0.0,0.0,0.0,0.007262921097873181,0.0
lobster,0.011578781975562936,0.0,0.0,0.0,0.0,0.013839408118580206,0.011405892146410029,0.0,0.011833328058808502,0.0,0.0,0.0,0.0,0.0,0.0034755293070972623,0.0
ginger,0.06983055381739742,0.0,0.0,0.0,0.0,0.0,0.06812330218352446,0.0627135691372541,0.0713279500639088,0.0,0.0,0.0,0.0,0.0,0.019428241085863194,0.0
steak,0.003979782037466552,0.0,0.0,0.0,0.0,0.0,0.003952799722081577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005666129828248663,0.0
mango,0.13569688178500422,0.0,0.0,0.0,0.0,0.0,0.12932803144914332,0.12489437437808777,0.13963171354366588,0.15207825005515616,0.0,0.0,0.0,0.0,0.048687803657932675,0.0
cantaloupe,0.04939975201836756,0.0,0.0,0.0,0.0,0.0,0.04586411213312488,0.044130973485383834,0.05062775553830753,0.059221361132922014,0.0,0.0,0.0,0.0,0.01780313959343613,0.0
anjou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.054991913701753166,0.0,0.0,0.0,0.0,0.0,0.05295183109172116,0.049183471070128326,0.05676860389794956,0.06415125896165427,0.0,0.0,0.0,0.0,0.019860505623086173,0.0
chicken,0.009383529653920142,0.0,0.0,0.0,0.010224712768938143,0.010235623830327868,0.009359479654224998,0.0,0.009628040792769145,0.0,0.0,0.0,0.0,0.0,0.003487956192870021,0.0
pineapple,0.5430567228935945,0.0,0.0,0.0,0.0,0.0,0.5312593744356915,0.49549813971321777,0.5508301035226353,0.5799841100215777,0.0,0.0,0.0,0.0,0.19290203218476548,0.0
beet,0.1023128726816408,0.0,0.0,0.0,0.0,0.0,0.09459205369125212,0.09321213759228122,0.1038218949885266,0.0,0.0,0.09026480957818016,0.0,0.0,0.03458598346656292,0.0
coconut,0.05624444484964333,0.0,0.0,0.0,0.0,0.0,0.053227560803091274,0.05105862469969913,0.058309652278548445,0.06517476354955234,0.0,0.0,0.0,0.0,0.020286789012895323,0.0
dessert,0.008590826124345266,0.0,0.0,0.0,0.0,0.0,0.008484155546166211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012196415478936769,0.0
marang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cob,0.0017791861159387162,0.0,0.0,0.001996874258793977,0.001996874258793977,0.0016468136763328836,0.0,0.0,0.001874058095677615,0.0022197044285799943,0.0,0.0,0.0,0.0,0.0008223936310083689,0.0
maraschino,0.06515633675377089,0.07163870818951733,0.0,0.0,0.0,0.0,0.06585453002722198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014474969640750726,0.0
clementine,0.05653601238446894,0.0,0.0,0.0,0.0,0.0,0.050319411346110725,0.04214001268207841,0.05497633270306743,0.0673265366891743,0.0,0.0,0.0,0.0,0.0193784504146357,0.0
asparagus,0.012206803566581994,0.0,0.0,0.0,0.0,0.0,0.012087854171016871,0.011220243848494169,0.012674465624716866,0.0,0.0,0.012250722743469724,0.0,0.0,0.004317149282448545,0.0
meat,0.00687688791791022,0.0,0.0,0.0,0.0,0.0,0.006693213733960456,0.0,0.007011927424617252,0.0,0.0,0.0,0.0,0.0,0.0014701449340348521,0.0
grape,0.3638749017711549,0.0,0.0,0.0,0.44862599399606334,0.0,0.3483283280562084,0.3250572583228703,0.3691232495730601,0.41621168705646244,0.0,0.0,0.0,0.0,0.16223010134112997,0.0
tomato,0.15971842507009928,0.0,0.0,0.0,0.0,0.0,0.15602653193447613,0.15417049006792197,0.1646571013006447,0.0,0.0,0.1621089822336109,0.0,0.0,0.05690582361476807,0.0
vegetable,0.05401791461510334,0.0,0.0,0.0,0.0,0.0,0.051878598290017626,0.04799300722264985,0.055825703923840474,0.0,0.0,0.04845968440786225,0.0,0.0,0.018441064889962396,0.0
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mulberry,0.03026810456139014,0.0,0.0,0.0,0.0,0.0,0.027880093092991904,0.021903641174413284,0.03102976535778224,0.03386704462767908,0.0,0.0,0.0,0.0,0.010353474915304046,0.0
tangerine,0.3184454543687063,0.0,0.0,0.0,0.0,0.0,0.2859001690097355,0.26253202338043485,0.30583973896533895,0.34050614476789026,0.0,0.0,0.0,0.0,0.10808739503515043,0.0
onion,0.02372490328179516,0.0,0.0,0.0,0.0,0.0,0.02397118163118527,0.023201542072680006,0.024232792126255738,0.0,0.0,0.025021442083927273,0.0,0.0,0.008582275799703103,0.0
papaya,0.10911193036195593,0.0,0.0,0.0,0.0,0.0,0.10371591186497964,0.10399632194991396,0.11262223135456699,0.12132469166039592,0.0,0.0,0.0,0.0,0.039340791942272316,0.0
raspberry,0.04771320449365329,0.0,0.0,0.0,0.0,0.0,0.04582753650356361,0.04395227377238956,0.048820668315852384,0.05269684785321715,0.0564608224940847,0.0,0.0,0.0,0.02110509667376862,0.0
peach,0.048213341592017685,0.0,0.0,0.0,0.05963337920987961,0.0,0.04557533209728351,0.04166073996465278,0.049197238746777304,0.05679924684028491,0.0,0.0,0.0,0.0,0.02150566274649256,0.0
grapefruit,0.6943949881311086,0.0,0.0,0.0,0.0,0.0,0.6849200245785233,0.6462396171970776,0.7015459751087898,0.7180739319869754,0.0,0.0,0.0,0.0,0.24608389550017676,0.0
honeydew,0.013425813574709946,0.0,0.0,0.0,0.0,0.0,0.013372628010437771,0.0,0.013734210374383483,0.014149653524752365,0.0,0.0,0.0,0.0,0.003905878963163112,0.0
rumor,0.0016989097135490826,0.0,0.0019786383583468813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000262682005135426,0.0
corn,0.005231847778479756,0.006910326950373047,0.0,0.0,0.0,0.0,0.0049808305510041515,0.0048587830883431455,0.005444256778430915,0.006803408820637826,0.0,0.0,0.0,0.0,0.00244496099766206,0.0
lime,0.8314111578868233,0.8533125912659886,0.0,0.0,0.0,0.0,0.8247699449770369,0.8189907044237501,0.8375126100397053,0.8500054821434806,0.0,0.0,0.0,0.0,0.3582858921954846,0.0
apricot,0.035643787345914675,0.0,0.0,0.0,0.0,0.0,0.0342843869743785,0.03234499936762344,0.036064909434075365,0.0399152134513314,0.0,0.0,0.0,0.0,0.012732378326665955,0.0
bean,0.004833667206191252,0.0,0.0,0.0,0.0,0.0,0.004695260132631648,0.0043441024044983305,0.004989700776931477,0.005572468803685053,0.0,0.004188344997135897,0.0,0.0,0.0020445388800766897,0.0
squash,0.004178076104511744,0.0,0.0,0.0,0.0,0.0,0.004057354310876073,0.003584614695208244,0.004258973979282524,0.0,0.0,0.004155855111712764,0.0,0.0,0.0014453481572565248,0.0
candy,0.008909527725406046,0.0,0.0,0.0,0.0,0.0,0.008486926489737822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012426038725102762,0.0
sultana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muscat,0.0006490615226141461,0.0010558719771558182,0.0,0.0,0.0,0.0,0.0005822044752769075,0.0005275211429406378,0.0006301881147217708,0.0008888581045699076,0.0,0.0,0.0,0.0,0.0003095503812342277,0.0
pawpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.017918197772503888,0.0,0.0,0.0,0.0,0.0,0.0,0.018413692245371684,0.018344693373654967,0.017940289968520724,0.0,0.0,0.0,0.0,0.0051869195257179465,0.0
cream,0.007280086094011653,0.0,0.0,0.0,0.0,0.0,0.007273179506238051,0.0,0.007213405113384747,0.0,0.0,0.0,0.0,0.0,0.0015547621938310323,0.0
cashews,0.005239381027314337,0.0,0.0055626192270173055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007715714467379744,0.0
acorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.013342970608855509,0.0,0.0,0.0,0.0,0.015008930815254264,0.013067351375511843,0.0,0.013586814878826731,0.0,0.0,0.0,0.0,0.0,0.003929004834174882,0.0
cabbage,0.008341581969842292,0.0,0.0,0.0,0.0,0.0,0.008257771240992544,0.008268005457588599,0.008405499685973511,0.0,0.0,0.009792401525757792,0.0,0.009188922823401818,0.003732441621682611,0.0
mustard,0.04204904735287458,0.0,0.0,0.0,0.0,0.0,0.04197028050020164,0.04003244097084134,0.04109264701382849,0.0,0.0,0.04757410407292018,0.0,0.0,0.015194179993619017,0.0
oregano,0.03376765691591186,0.0,0.0,0.0,0.0,0.0,0.03382688184201171,0.034529718430949104,0.03418900642373394,0.0,0.0,0.0,0.0,0.0,0.009736661686614757,0.0
chile,0.0018355776040532687,0.0,0.0,0.0,0.0,0.0,0.0017845309749557718,0.0,0.0,0.0,0.0,0.0020527393096734297,0.0,0.0,0.00040520342062017647,0.0
emotion,0.00036395220799987835,0.0,0.0005569684268803332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578004534858654e-05,0.0
kernel,0.0062521020347332985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006290125059307875,0.006149863708086844,0.0,0.0,0.0,0.0,0.0013351493430091442,0.0
donut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.00976697549521971,0.0,0.0,0.0,0.0,0.0,0.00973760395444966,0.010118026250485126,0.009983438293368441,0.0,0.0,0.012756404090197116,0.0,0.0,0.0037401748631228607,0.0
blackheart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,0.004294418559613657,0.004861822552055205,0.0,0.0,0.0,0.0,0.004260922148813912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009583688043201981,0.0
fennel,0.010927719831179673,0.0,0.0,0.0,0.0,0.0,0.010814303838807555,0.011383230251002588,0.011269299814451383,0.0,0.0,0.013900589607171696,0.0,0.0,0.004163938810186636,0.0
seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.008153799047593762,0.0,0.0,0.0,0.0,0.0,0.008125296752296347,0.007914827779681237,0.008068564172449229,0.0,0.0,0.0,0.0,0.0,0.002304463410858613,0.0
peanut,0.0031009275360425023,0.0,0.0,0.0,0.0,0.0,0.0,0.0030862588229718557,0.003131146934349337,0.0030343771754330947,0.0,0.0,0.0,0.0,0.0008823364620569136,0.0
groundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flavor,0.022631147402686118,0.0,0.025666137279485923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003449806048726574,0.0
cilantro,0.07892181086820127,0.0,0.0,0.0,0.0,0.0,0.07897707261226479,0.07878721590781967,0.07932189676809302,0.0,0.0,0.0,0.0,0.0,0.022571999725455625,0.0
jack,0.0001219794636161157,0.00017322540566100893,0.0,0.00020920444665862428,0.0001671272649296122,0.0001372512696359927,0.0001186289324800343,0.0,0.00012016520107218649,0.00012642021233534494,0.0,0.0,0.00020914425484886928,0.00021187138265737462,0.00011392984527822598,0.0001219794636161157
chickpea,0.013405217260544553,0.0,0.0,0.0,0.0,0.0,0.013310835896829196,0.012879214065789669,0.013288739954362428,0.01238589559022525,0.0,0.015143391714083012,0.0,0.0,0.005743806748702437,0.0
grain,0.0013313192006383149,0.0015749247590455312,0.0,0.0,0.0,0.0,0.0013099442731855683,0.0013007172782441144,0.001349010445382503,0.0012974864490201815,0.0,0.0,0.0,0.0018329511834604237,0.000714025256355474,0.000714025256355474
iceberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.04404954822670862,0.0,0.0,0.0,0.0,0.0,0.04399353642381751,0.04488709975178584,0.04455986316218611,0.0,0.0,0.0,0.0,0.0,0.01267786054032129,0.0
rice,0.0004328386675703236,0.0,0.0,0.0,0.0,0.0,0.0004307753663240239,0.0004470186415568753,0.00046025241642011266,0.0,0.0,0.0,0.0,0.0,0.00012649179227652396,0.0
pistachio,0.0043483977824793464,0.0,0.0,0.0,0.0,0.0,0.0,0.004445350315615931,0.004396374849619729,0.004457625624961366,0.0,0.0,0.0,0.0,0.0012605534694768838,0.0
pod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinnamon,0.03357873949236281,0.0,0.0,0.0,0.0,0.0,0.033437764638636264,0.03442429486667954,0.033955443662906815,0.0,0.0,0.0,0.0,0.0,0.009671160190041815,0.0
artichoke,0.005091042743847518,0.0,0.0,0.0,0.0,0.0,0.005088916746324624,0.004791719999771249,0.005020127840326208,0.0,0.0,0.006063008578441407,0.0,0.0,0.001861058279193643,0.0
cookie,0.0013418261353288945,0.0,0.0,0.0,0.0,0.0,0.0013417186039084033,0.0,0.0013344695575004664,0.0,0.002084162933336524,0.0,0.0,0.0,0.00043586980214816345,0.0
windfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip,8.169060270648659e-05,0.00010395473769804718,0.0,0.0,0.0,0.0,7.98138301907858e-05,0.0,8.218475351000671e-05,0.0,0.0,0.0,0.0,0.0,2.483170886466616e-05,0.0
rye,0.0031515066322276154,0.0037964473115644813,0.0,0.0,0.0,0.0,0.003102334381569479,0.0026953181557847756,0.00306198176582293,0.0028389541989850614,0.0,0.0,0.0,0.0,0.001331895888996739,0.0
carrot,0.1234283090980456,0.0,0.0,0.0,0.0,0.0,0.12183745655819365,0.12013581235320665,0.12219632265505746,0.0,0.0,0.1343300289738205,0.0,0.0,0.044423423545594566,0.0
cumin,0.06185810018079165,0.0,0.0,0.0,0.0,0.0,0.0,0.06361124968581958,0.06275763157883989,0.059086575293697326,0.0,0.0,0.0,0.0,0.017665254052796318,0.0
cereal,0.041585267578396784,0.0,0.0,0.0,0.0,0.0,0.04118367641214521,0.03975980015058627,0.04109533763464832,0.0,0.0,0.0,0.0,0.0,0.01168743441255547,0.0
cottonseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike,0.0010636766601838051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001064167331034006,0.001058291334150677,0.0,0.0,0.0,0.0,0.00022758109466917772,0.0
butter,0.007873128004455023,0.0,0.0,0.0,0.0,0.0,0.007880368925753596,0.0,0.00790706098584162,0.0,0.0,0.0,0.0,0.0,0.0016900398511464456,0.0
truffle,0.06199791776993839,0.0,0.0,0.0,0.0,0.0,0.061614123462196045,0.0,0.061659088469776406,0.0,0.0,0.06525927068793977,0.0,0.0,0.017895028599275047,0.0
cauliflower,0.002804172183334304,0.0,0.0,0.0,0.0,0.0,0.0027807257973493133,0.002787630125419742,0.0028625419640578706,0.0,0.0,0.0035975745762908736,0.0,0.0,0.0010594746176037218,0.0
kale,0.0007602666141023431,0.0,0.0,0.0,0.0,0.0,0.0007555191054084511,0.000815688167060595,0.0007982548263041143,0.0,0.0,0.0011403363211612933,0.0,0.001559723228821557,0.0004164134473470253,0.0
cake,0.0034039341006455097,0.0,0.0,0.0,0.0,0.0,0.0033667014316186706,0.0,0.0033214203129429635,0.0,0.0,0.0,0.0,0.0,0.0007208611318005102,0.0
nut,0.0060974026611956365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006204329676019307,0.006103964905477244,0.0,0.0,0.0,0.00800401436671471,0.0018864079721004924,0.0
filbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulgur,0.00463376490721952,0.0,0.0,0.0,0.0,0.0,0.004600691575860973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006596040345057495,0.0
goober,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepperoni,0.0024382300027739018,0.0,0.0,0.0,0.0,0.0,0.0024280420306856602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003475908595328259,0.0
hazelnut,0.007534705296885677,0.0,0.0,0.0,0.0,0.0,0.0,0.007569592154394384,0.007530427341146158,0.007500714874742402,0.0,0.0,0.0,0.0,0.0021525314047977587,0.0
soy,0.025400459553275877,0.0,0.0,0.0,0.0,0.0,0.025471783820854334,0.0259398683359827,0.02606385567619773,0.025295242256747494,0.0,0.027145937966228956,0.0,0.0,0.011094081972091937,0.0
potato,0.005953861972323186,0.0,0.0,0.0,0.0,0.0,0.005901909368432017,0.005812383806012334,0.005906056953592981,0.0,0.0,0.006750629460188539,0.0,0.0,0.00216606011146779,0.0
biscuit,0.00942443482122521,0.0,0.0,0.0,0.0,0.0,0.009366269774187076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001342193185386592,0.0
bread,0.00907101100185494,0.0,0.0,0.0,0.0,0.0,0.009079205737757196,0.0,0.0,0.0,0.0,0.0,0.0,0.010809528888854667,0.0020685532591762,0.0
fenugreek,0.011662235882373381,0.0,0.0,0.0,0.0,0.0,0.011587303906408244,0.012031167149964633,0.011967954201244742,0.0,0.0,0.0,0.0,0.0,0.0033749043671422144,0.0
mast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
