pair,label,prop-specific
"('red', 'marinade')",pos,
"('red', 'bus')",pos,
"('red', 'shiitake')",neg,
"('red', 'banana')",neg,
"('red', 'coconut')",neg,
"('red', 'coffee')",neg,
"('red', 'cinnamon')",neg,
"('red', 'chicken')",neg,
"('red', 'potato')",neg,
"('red', 'blackboard')",neg,
"('red', 'guava')",neg,
"('red', 'cockroach')",neg,
"('red', 'mamey')",neg,
"('red', 'weed')",neg,
"('red', 'egg')",neg,
"('red', 'carrot')",neg,
"('red', 'cereal')",neg,
"('red', 'lemon')",neg,
"('red', 'jade')",neg,
"('red', 'frog')",neg,
"('red', 'night')",neg,
"('red', 'fear')",neg,
"('red', 'eye')",neg,
"('red', 'dog')",neg,
"('red', 'raisin')",neg,
"('red', 'herring')",neg,
"('red', 'sycamore')",neg,
"('red', 'cream')",neg,
"('red', 'lime')",neg,
"('red', 'truffle')",neg,
"('red', 'milk')",neg,
"('red', 'slug')",neg,
"('red', 'tiger')",neg,
"('red', 'cilantro')",neg,
"('red', 'vanilla')",neg,
"('red', 'water')",neg,
"('red', 'gorilla')",neg,
"('red', 'peanut')",neg,
"('red', 'blueberry')",neg,
"('red', 'chocolate')",neg,
"('red', 'cheetah')",neg,
"('red', 'celery')",neg,
"('red', 'artichoke')",neg,
"('red', 'yogurt')",neg,
"('red', 'rhagoletis')",neg,
"('red', 'gherkin')",neg,
"('red', 'honey')",neg,
"('red', 'crow')",neg,
"('red', 'pigweed')",neg,
"('red', 'spinach')",neg,
"('red', 'limousine')",neg,
"('red', 'pineapple')",neg,
"('red', 'bulgur')",neg,
"('red', 'magpie')",neg,
"('red', 'hazelnut')",neg,
"('red', 'crypt')",neg,
"('red', 'custard')",neg,
"('red', 'wheat')",neg,
"('red', 'grapefruit')",neg,
"('red', 'pit')",neg,
"('red', 'avocado')",neg,
"('red', 'garlic')",neg,
"('red', 'cowpeas')",neg,
"('red', 'cat')",neg,
"('red', 'fenugreek')",neg,
"('red', 'lark')",neg,
"('red', 'broccoli')",neg,
"('fly', 'nuthatch')",pos,
"('fly', 'sky')",pos,0.38459687530994413
"('fly', 'butterfly')",pos,
"('fly', 'kite')",pos,0.38459687530994413
"('fly', 'gull')",pos,0.6441621780395508
"('fly', 'autogyro')",pos,0.3845968753099441
"('fly', 'flycatcher')",pos,
"('fly', 'bomber')",pos,0.38459687530994413
"('fly', 'balloon')",pos,0.3845968753099441
"('fly', 'merganser')",pos,
"('fly', 'goldcrest')",pos,
"('fly', 'avocet')",pos,
"('fly', 'machine')",pos,0.5902968148390452
"('fly', 'capsule')",pos,0.5112559260924656
"('fly', 'twinjet')",pos,0.5489432215690613
"('fly', 'plane')",pos,0.38459687530994413
"('fly', 'titmouse')",pos,
"('fly', 'grosbeak')",pos,
"('fly', 'gallinule')",pos,
"('fly', 'flicker')",pos,
"('fly', 'fowl')",pos,0.258779206375281
"('fly', 'robin')",pos,0.5390390834460655
"('fly', 'yellowhammer')",pos,
"('fly', 'skylark')",pos,0.5469440221786499
"('fly', 'duck')",pos,0.2662860638979408
"('fly', 'jet')",pos,0.38459687530994413
"('fly', 'snowbird')",pos,0.5469440221786499
"('fly', 'pheasant')",pos,0.19323806415001554
"('fly', 'icteridae')",pos,
"('fly', 'chinook')",pos,0.5284532104929288
"('fly', 'vulture')",pos,0.53887182995677
"('fly', 'toy')",pos,0.3073910598953565
"('fly', 'wren')",pos,0.46607057315607864
"('fly', 'owl')",pos,0.4641197773938378
"('fly', 'budgie')",pos,
"('fly', 'crow')",pos,0.5215357842544714
"('fly', 'caracara')",pos,
"('fly', 'ouzel')",pos,
"('fly', 'moorcock')",pos,
"('fly', 'quail')",pos,0.3786554520825545
"('fly', 'paridae')",pos,
"('fly', 'whitethroat')",pos,
"('fly', 'tit')",pos,
"('fly', 'arrow')",pos,0.5902968148390452
"('fly', 'loon')",pos,0.0643317922949791
"('fly', 'craft')",pos,0.3845968753099441
"('fly', 'seagull')",pos,0.5902968148390452
"('fly', 'babbler')",pos,
"('fly', 'pigeon')",pos,0.38459687530994413
"('fly', 'wing')",pos,0.5217301683293448
"('fly', 'phalacrocorax')",pos,
"('fly', 'woodpecker')",pos,
"('fly', 'nightingale')",pos,
"('fly', 'helicopter')",pos,0.3845968753099441
"('fly', 'emberizidae')",pos,
"('fly', 'hawk')",pos,0.38459687530994413
"('fly', 'stork')",pos,0.5280054360628128
"('fly', 'marabou')",pos,0.5489432215690613
"('fly', 'airship')",pos,0.3845968753099441
"('fly', 'towhee')",pos,
"('fly', 'albatross')",pos,0.38459687530994413
"('fly', 'puffin')",pos,0.38459687530994413
"('fly', 'pelican')",pos,0.43491105486949283
"('fly', 'chick')",neg,
"('fly', 'lorry')",neg,
"('fly', 'rudd')",neg,
"('fly', 'watchdog')",neg,
"('fly', 'sheepshead')",neg,
"('fly', 'lion')",neg,
"('fly', 'lemur')",neg,
"('fly', 'ship')",neg,
"('fly', 'razorback')",neg,
"('fly', 'shell')",neg,
"('fly', 'minesweeper')",neg,
"('fly', 'damselfish')",neg,
"('fly', 'boat')",neg,
"('fly', 'tractor')",neg,
"('fly', 'junk')",neg,
"('fly', 'trailer')",neg,
"('fly', 'chow')",neg,
"('fly', 'hog')",neg,
"('fly', 'barnacle')",neg,
"('fly', 'ounce')",neg,
"('fly', 'skimmer')",neg,
"('fly', 'mouse')",neg,0.13723580539226532
"('fly', 'roebuck')",neg,
"('fly', 'ferry')",neg,
"('fly', 'howler')",neg,
"('fly', 'buffalo')",neg,
"('fly', 'shunter')",neg,
"('fly', 'titi')",neg,
"('fly', 'hind')",neg,
"('fly', 'deer')",neg,
"('fly', 'jade')",neg,0.12618163228034973
"('fly', 'sloop')",neg,
"('fly', 'knot')",neg,
"('fly', 'jalopy')",neg,
"('fly', 'mola')",neg,
"('fly', 'heap')",neg,
"('fly', 'lizardfish')",neg,
"('fly', 'sausage')",neg,
"('fly', 'toadfish')",neg,
"('fly', 'potoroo')",neg,
"('fly', 'monkey')",neg,
"('fly', 'goatfish')",neg,
"('fly', 'car')",neg,
"('fly', 'armadillo')",neg,
"('fly', 'fryer')",neg,
"('fly', 'bream')",neg,
"('fly', 'pussy')",neg,
"('fly', 'ass')",neg,
"('fly', 'yawl')",neg,
"('fly', 'bearcat')",neg,0.6441621780395508
"('fly', 'whistler')",neg,
"('fly', 'basset')",neg,
"('fly', 'van')",neg,
"('fly', 'stock')",neg,
"('fly', 'submarine')",neg,
"('fly', 'haddock')",neg,
"('fly', 'velocipede')",neg,
"('fly', 'truck')",neg,
"('fly', 'coupe')",neg,
"('fly', 'carrier')",neg,
"('fly', 'pinniped')",neg,
"('fly', 'amberjack')",neg,
"('fly', 'catfish')",neg,
"('fly', 'bark')",neg,
"('fly', 'zebra')",neg,
"('fly', 'gnu')",neg,
"('fly', 'tower')",neg,
"('fly', 'shark')",neg,
"('fly', 'bobcat')",neg,
"('fly', 'interceptor')",neg,
"('fly', 'giraffe')",neg,
"('fly', 'forklift')",neg,
"('fly', 'saloon')",neg,
"('fly', 'plaice')",neg,
"('fly', 'emu')",neg,
"('fly', 'clarence')",neg,
"('fly', 'seal')",neg,
"('fly', 'steamer')",neg,
"('fly', 'mangabey')",neg,
"('fly', 'wherry')",neg,
"('fly', 'tramcar')",neg,
"('fly', 'sharpie')",neg,
"('fly', 'minnow')",neg,
"('fly', 'bogie')",neg,
"('fly', 'scull')",neg,
"('fly', 'rabbit')",neg,
"('fly', 'poacher')",neg,
"('fly', 'penguin')",neg,
"('fly', 'stallion')",neg,0.12618163228034973
"('fly', 'ratite')",neg,
"('fly', 'tiger')",neg,
"('fly', 'groundhog')",neg,
"('fly', 'ostrich')",neg,
"('fly', 'taxi')",neg,
"('fly', 'cart')",neg,
"('fly', 'turtle')",neg,
"('fly', 'mammal')",neg,
"('fly', 'phaeton')",neg,
"('fly', 'silverback')",neg,
"('fly', 'sunfish')",neg,
"('fly', 'schooner')",neg,
"('fly', 'grouper')",neg,
"('fly', 'tortoise')",neg,
"('fly', 'ape')",neg,
"('dangerous', 'sniper')",pos,0.3507850170135498
"('dangerous', 'weapon')",pos,0.2758610486984253
"('dangerous', 'scimitar')",pos,0.31818515062332153
"('dangerous', 'handgun')",pos,0.25346886217594145
"('dangerous', 'gun')",pos,0.2837685227394104
"('dangerous', 'punk')",pos,0.15877790749073029
"('dangerous', 'shaft')",pos,0.23519144641856352
"('dangerous', 'gunman')",pos,0.25346886217594145
"('dangerous', 'plot')",pos,0.28024894893169405
"('dangerous', 'hippopotamus')",pos,0.3210693337023258
"('dangerous', 'shotgun')",pos,0.3074909269809723
"('dangerous', 'adze')",pos,
"('dangerous', 'killer')",pos,0.28375300218661625
"('dangerous', 'morphine')",pos,0.31239575892686844
"('dangerous', 'warhead')",pos,0.24270346264044443
"('dangerous', 'pentobarbital')",pos,
"('dangerous', 'alligator')",pos,0.3055043915907542
"('dangerous', 'malaria')",pos,0.2569174701968829
"('dangerous', 'torpedo')",pos,0.26916293824712434
"('dangerous', 'war')",pos,0.2672398974498113
"('dangerous', 'bolo')",pos,
"('dangerous', 'mafioso')",pos,0.6351116299629211
"('dangerous', 'reduviidae')",pos,
"('dangerous', 'hammer')",pos,0.27586104373137155
"('dangerous', 'scalpel')",pos,0.378493736187617
"('dangerous', 'firearm')",pos,0.25346886217594145
"('dangerous', 'traitor')",pos,0.28024894893169405
"('dangerous', 'sword')",pos,0.2758610460493299
"('dangerous', 'bow')",pos,0.23923898848394554
"('dangerous', 'phencyclidine')",pos,
"('dangerous', 'nightstick')",pos,
"('dangerous', 'tiger')",pos,0.2758610526720683
"('dangerous', 'pistol')",pos,0.25346886217594145
"('dangerous', 'mallet')",pos,
"('dangerous', 'attack')",pos,0.27586105763912205
"('dangerous', 'thief')",pos,0.28024894893169405
"('dangerous', 'virus')",pos,0.3283071920275688
"('dangerous', 'marlinspike')",pos,
"('dangerous', 'doodlebug')",pos,0.5242801308631897
"('dangerous', 'blade')",pos,0.2758610437313715
"('dangerous', 'poison')",pos,0.2758610472083092
"('dangerous', 'venom')",pos,0.2758610422412554
"('dangerous', 'coyote')",pos,0.36646583974361424
"('dangerous', 'fusil')",pos,
"('dangerous', 'hijacker')",pos,0.2872570554415385
"('dangerous', 'grapeshot')",pos,0.3507850170135498
"('dangerous', 'conspiracy')",pos,0.26723989099264145
"('dangerous', 'mattock')",pos,
"('dangerous', 'snake')",pos,0.3406272480885188
"('dangerous', 'nitrazepam')",pos,
"('dangerous', 'acaridae')",pos,
"('dangerous', 'raper')",pos,
"('dangerous', 'fire')",pos,0.2758610596259435
"('dangerous', 'knife')",pos,0.2781402438879013
"('dangerous', 'gang')",pos,0.2758610404200024
"('dangerous', 'terrorism')",pos,0.2377381625274817
"('dangerous', 'dose')",pos,0.2203820314672258
"('dangerous', 'hack')",pos,
"('dangerous', 'neurotoxin')",pos,
"('dangerous', 'conspirator')",pos,0.2872570554415385
"('dangerous', 'blunderbuss')",pos,0.26224571466445923
"('dangerous', 'bayonet')",pos,0.3507850170135498
"('dangerous', 'revolver')",pos,0.3296090298228794
"('dangerous', 'bootlegger')",pos,
"('dangerous', 'buckshot')",pos,
"('dangerous', 'harpoon')",pos,0.20419065654277802
"('dangerous', 'missile')",pos,0.2804571541647116
"('dangerous', 'freebooter')",pos,
"('dangerous', 'henchman')",pos,0.28024894893169405
"('dangerous', 'club')",pos,
"('dangerous', 'grenade')",pos,0.3074909269809723
"('dangerous', 'racketeer')",pos,
"('dangerous', 'arrow')",pos,0.32172232791781424
"('dangerous', 'methamphetamine')",pos,0.22091599802176157
