,all,relation,weapon,mammal,bird,no-cat,animal,food,plant,object,fruit,communication,vegetable,measure,green,mean,median
plantain,0.009021324147833115,0.0,0.0,0.0,0.0,0.0,0.0,0.010127541008775179,0.010591387424755567,0.008826645939913015,0.0,0.0,0.008733131437461216,0.0,0.0,0.00315333533058254,0.0
pear,0.00420199791052467,0.0,0.0,0.0,0.0,0.0,0.0,0.003983605961510358,0.004083003490607368,0.00405693959835,0.004992259962472335,0.0,0.0,0.0,0.0,0.001421187128230982,0.0
caterpillar,0.004892325987622515,0.0,0.0,0.0,0.0,0.0,0.0046727451869541725,0.0,0.0,0.004615744793259233,0.0,0.0,0.0,0.0,0.0,0.0009453877311890615,0.0
avocado,0.06031724035558523,0.0,0.0,0.0,0.0,0.0,0.0,0.07262531488485456,0.07111292618830958,0.05941534920725605,0.07216377749550319,0.0,0.0,0.0,0.0,0.02237564054210057,0.0
frog,0.0288676011139665,0.0,0.0,0.0,0.0,0.0,0.034962763196445465,0.0,0.0,0.027472421422081617,0.0,0.0,0.0,0.0,0.0,0.006086852382166238,0.0
nectarine,0.00850398563525722,0.0,0.0,0.0,0.0,0.0,0.0,0.010405921333937166,0.010598800530519484,0.008101481592026328,0.011651708938768246,0.0,0.0,0.0,0.0,0.0032841265353672298,0.0
tortoise,0.016610208503299435,0.0,0.0,0.0,0.0,0.026469551370753363,0.017349666156294515,0.0,0.0,0.015807398554796508,0.0,0.0,0.0,0.0,0.0,0.0050824549723429225,0.0
parakeet,0.15877852031396736,0.0,0.0,0.0,0.14171767110716577,0.0,0.16539091024566363,0.0,0.0,0.15068083163467796,0.0,0.0,0.0,0.0,0.0,0.04110452888676498,0.0
mango,0.03489189971029581,0.0,0.0,0.0,0.0,0.0,0.0,0.041420497048055324,0.04210967634946621,0.0343825219375137,0.04415479448430741,0.0,0.0,0.0,0.0,0.013130625968642565,0.0
celery,0.02551632300283264,0.0,0.0,0.0,0.0,0.0,0.0,0.03264253109384436,0.03173669180628543,0.025011258656839928,0.0,0.0,0.03142181973118236,0.0,0.0,0.00975524161939898,0.0
pineapple,0.010522330912512352,0.0,0.0,0.0,0.0,0.0,0.0,0.012286731386758698,0.01218079724654851,0.010301394323102288,0.012833735810330187,0.0,0.0,0.0,0.0,0.0038749993119501355,0.0
fir,0.0035999462016718755,0.003639332632898388,0.0,0.0,0.0,0.0,0.0,0.0,0.0031426492106084824,0.0032563645032580883,0.0,0.0,0.0,0.0,0.0,0.0009092195032291223,0.0
leafs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.009322785047407509,0.0,0.0,0.0,0.0,0.0,0.0,0.010204587339065171,0.010333151736753613,0.00910910504779827,0.011415476749698561,0.0,0.0,0.0,0.0,0.003359007061381542,0.0
paint,0.03389285926399911,0.03474410946305575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324389479803407,0.0,0.0,0.0,0.0,0.0,0.006738394447159703,0.0
cricket,0.0007516338512845022,0.0,0.0,0.0,0.0,0.0,0.0008116890570677231,0.0,0.0,0.000717982847949361,0.0,0.0,0.0,0.0,0.0,0.00015208705042010575,0.0
asparagus,0.07715147096612461,0.0,0.0,0.0,0.0,0.0,0.0,0.08782438788262407,0.08404382432379869,0.07511306907443774,0.0,0.0,0.07721952874122291,0.0,0.0,0.0267568187325472,0.0
maize,0.005169656496380103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005796273416876085,0.005138620590427966,0.0,0.0,0.0,0.0,0.0,0.0010736367002456104,0.0
grape,0.012519993731589624,0.0,0.018091125455972943,0.0,0.0,0.0,0.0,0.013943728243875946,0.013557159257173178,0.01218957585473365,0.014501616795978653,0.0,0.0,0.0,0.0,0.0056535466226216,0.0
vegetable,0.01878785538443734,0.0,0.0,0.0,0.0,0.0,0.0,0.021694637685047737,0.021466902267903328,0.018594845967452815,0.0,0.0,0.01920703933918306,0.0,0.0,0.006650085376268285,0.0
elm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dogwood,0.005294597170399433,0.003912642164049501,0.0,0.0,0.0,0.0,0.0,0.0,0.0037278623746873477,0.003440640155138763,0.0,0.0,0.0,0.0,0.0,0.0010917161242850028,0.0
bottle,0.016087257525650107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01550855891089797,0.0,0.0,0.0,0.024164343894209673,0.0,0.0037173440220505164,0.0
willow,0.009908241164375798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008038452741602236,0.009082273980039102,0.0,0.0,0.0,0.0,0.0,0.0018019311924011424,0.0
sauce,0.011109544407150555,0.0,0.0,0.0,0.0,0.0,0.0,0.014686124206608277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017197112409172556,0.0
ink,0.014438082713283902,0.015144718330520933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019721867362536556,0.0
fern,0.013606054456099227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013487688579388025,0.012933889123310009,0.0,0.0,0.0,0.0,0.0,0.002668508810586484,0.0
toad,0.017522045803356853,0.0,0.0,0.0,0.0,0.0,0.015303093616777265,0.0,0.0,0.015935510691678003,0.0,0.0,0.0,0.0,0.0,0.003250710007454141,0.0
jeep,0.005127620368144611,0.0,0.0,0.0,0.0,0.01035636465706565,0.0,0.0,0.0,0.005017361092790336,0.0,0.0,0.0,0.0,0.0,0.0013667564078667066,0.0
hose,0.0047305164453732545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00473044992924772,0.0,0.0,0.0,0.0,0.0,0.0006307310916413983,0.0
turtle,0.07363868739736348,0.0,0.0,0.0,0.0,0.10793213869483896,0.07721234384513896,0.0,0.0,0.06573286760920315,0.0,0.0,0.0,0.0,0.0,0.02163440250310297,0.0
grapefruit,0.008583216630142878,0.0,0.0,0.0,0.0,0.0,0.0,0.010023717401290504,0.00984409379298641,0.008434775485488943,0.010247453183494275,0.0,0.0,0.0,0.0,0.003142217099560201,0.0
chive,0.021862429603008087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026148147634773848,0.021356975495286354,0.0,0.0,0.0,0.0,0.0,0.004624503515537886,0.0
emerald,0.17739613945046517,0.1882038749785547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1776796501584722,0.0,0.0,0.0,0.0,0.0,0.036218644305832805,0.0
world,0.0019134855200931772,0.0,0.0,0.0018658271064774087,0.0,0.0,0.0019146751698582327,0.0,0.0,0.0018169097916962747,0.0,0.0,0.0,0.0,0.0,0.0005007265058750062,0.0
jade,0.03927430329768282,0.0,0.0,0.04131087467274744,0.0,0.0,0.0395383378372909,0.0,0.0,0.03610925022579333,0.0,0.0,0.0,0.0,0.0,0.010415517735567632,0.0
sycamore,0.00463974338118106,0.004038460525378881,0.0,0.0,0.0,0.0,0.0,0.0,0.0030691900538199106,0.004364703152287879,0.0,0.0,0.0,0.0,0.0,0.0010741398075111818,0.0
shrub,0.021168485064143556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01866737463340584,0.020593959200277824,0.0,0.0,0.0,0.0,0.0,0.004028654593188481,0.0
lime,0.08530654822618022,0.0804179950081438,0.0,0.0,0.0,0.0,0.0,0.10496054273823399,0.10401519188828268,0.08433690097631434,0.10896747046426991,0.0,0.0,0.0,0.0,0.037866976620095,0.0
recorder,0.00018702196323938905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016961048902439918,0.0,0.0,0.0,0.0,0.0,2.3775496817585883e-05,0.0
fenugreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sand,0.010728922464847485,0.013911798477670916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016427147295012268,0.0
mussel,0.01028498331733154,0.0,0.0,0.0,0.0,0.0,0.010595422141282203,0.009678259126668441,0.0,0.010342089550313644,0.0,0.0,0.0,0.0,0.0,0.0027267169423730547,0.0
fox,0.0012753855773079807,0.0016987936217818089,0.0,0.0024429291416911947,0.0,0.0,0.0013637289268538277,0.0,0.0,0.0012617284255531718,0.0,0.0,0.0,0.0,0.0,0.0005361710462125323,0.0
crypt,0.0017262128448087446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017351630661461988,0.0,0.0,0.0,0.0,0.0,0.0002307583940636629,0.0
pyramid,0.0002366118325758359,0.0003219894716355248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.724008694742404e-05,0.0
sun,0.002000473933162534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001990429097477646,0.0,0.0,0.0,0.0,0.0,0.0002660602020426787,0.0
ketchup,0.009066944870371008,0.0,0.0,0.0,0.0,0.0,0.0,0.009560725929227768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012418447199732516,0.0
buttercup,0.01186954646386706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009388731413145892,0.01149743209105217,0.0,0.0,0.0,0.0,0.0,0.002183713997871008,0.0
problem,0.0017302582324320121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002895772531785828,0.0,0.0,0.0,0.000308402050947856,0.0
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick,0.005065508971255235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005017867332126171,0.0,0.0,0.0,0.0,0.0,0.0006722250868920937,0.0
jaguar,0.003401664111419402,0.0,0.0,0.006146650821246411,0.0,0.0,0.0037403386731179175,0.0,0.0,0.0033891819044992656,0.0,0.0,0.0,0.0,0.0,0.001111855700685533,0.0
pumpkin,0.008888667802339665,0.0,0.0,0.0,0.0,0.0,0.0,0.01084160477000341,0.009592856861699368,0.008781185455598323,0.0,0.0,0.009945947002121215,0.0,0.0,0.003203350792784132,0.0
jam,0.0017724912971044963,0.0,0.0,0.0,0.0,0.0,0.0,0.0016439510447483162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002277628227901875,0.0
night,0.0037000571378150516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004370088326401666,0.0,0.0005380096976144479,0.0
champagne,0.002856308560358739,0.0031347475877542886,0.0,0.0,0.0,0.0,0.0,0.0028600978227871204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005900769313933432,0.0
tyre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.008451825964322264,0.0,0.0,0.0,0.0,0.0,0.0,0.010516902795353718,0.009127595315497923,0.008316678314470275,0.0,0.0,0.0,0.0,0.0,0.0024275334926429455,0.0
peanut,0.0005864476210876446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006596198284773362,0.0005741616442857881,0.0007442497956999854,0.0,0.0,0.0,0.0,0.00017096525930338362,0.0
squirrel,0.002767197591557984,0.0027281081128199573,0.0,0.003423386659509511,0.0,0.0,0.0023873695448197703,0.0,0.0,0.0026743669623414674,0.0,0.0,0.0,0.0,0.0,0.000932028591403246,0.0
raven,0.004118235392988184,0.0,0.0,0.0,0.007445977343314737,0.0,0.005660282480588889,0.0,0.0,0.004142423203300458,0.0,0.0,0.0,0.0,0.0,0.001424461228012818,0.0
flame,0.0007788981616324358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001761953937271361,0.00016939013992691977,0.0
cherry,0.0053285039343529145,0.005739289860927136,0.0,0.0,0.0,0.0,0.0,0.0057752589385324385,0.0054594261556594635,0.005299672937430774,0.006200445532536531,0.0,0.0,0.0,0.0,0.002253506490629284,0.0
human,0.0004185609900213197,0.0,0.0,0.0006325330420781343,0.0,0.0,0.00041258285126335396,0.0,0.0,0.00040831757521711065,0.0,0.0,0.0,0.0,0.0,0.00012479963057199456,0.0
diamond,0.0033241631435655403,0.004007835445898844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033089228148971217,0.0,0.0,0.0,0.0,0.0,0.0007093947602907671,0.0
wand,0.002287811394306401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022452333803729685,0.0,0.0025591762065045095,0.0,0.0,0.0,0.00047281473207892526,0.0
debate,0.0021908719327140584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003557883163769328,0.0,0.0,0.0,0.00038325033976555913,0.0
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walnut,0.0010028799848321856,0.0012957391275977947,0.0,0.0,0.0,0.0,0.0,0.0,0.0009599009646299289,0.0010245867321275058,0.0010612694121835485,0.0,0.0,0.0,0.0,0.0003562917480913976,0.0
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iceberg,0.0017115926871815262,0.0,0.0,0.0,0.0,0.0,0.0,0.0018077771466221138,0.0,0.0016851443966638643,0.0,0.0,0.0019077919087359795,0.0,0.0,0.0004741537426135656,0.0
garlic,0.013950216183985585,0.0,0.0,0.0,0.0,0.0,0.0,0.017864282608204652,0.016130804411299986,0.013863982392127739,0.0,0.0,0.0,0.0,0.0,0.0041206190397078644,0.0
rice,0.0011802921243076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0010126046121813463,0.000993354963578565,0.0011187776746523484,0.0,0.0,0.0,0.0,0.0,0.00028700195831466346,0.0
blueberry,0.0017183311037252892,0.0,0.0,0.0,0.0,0.0,0.0,0.0020502925713902767,0.0018502626877677213,0.0017032275253209552,0.00223059414490681,0.0,0.0,0.0,0.0,0.0006368472022074034,0.0
chicken,0.0051741776634936535,0.0,0.0,0.0,0.004943672293071684,0.0,0.0046950853808623615,0.006012060738655086,0.0,0.005137986740388748,0.0,0.0,0.0,0.0,0.0,0.0017308655210981022,0.0
shrimp,0.007510757657868049,0.0,0.0,0.0,0.0,0.0,0.0064778158688983236,0.008643434981850643,0.0,0.007438788807512578,0.0,0.0,0.0,0.0,0.0,0.002004719821075306,0.0
beet,0.008927643574371213,0.0,0.0,0.0,0.0,0.0,0.0,0.010273687210847156,0.009922149147777741,0.008954190803877108,0.0,0.0,0.010775667810914012,0.0,0.0,0.003256889236519149,0.0
cassava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.009219602684322174,0.0,0.0,0.0,0.0,0.0,0.0,0.010397987140301386,0.009669260528334335,0.009138379760904355,0.0,0.0,0.01068431267548816,0.0,0.0,0.0032739695192900275,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wine,0.0028534021670664853,0.003075248411443622,0.0,0.0,0.0,0.0,0.0,0.00296449914481833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005928766482218958,0.0
cider,0.0022838978943410465,0.002387684491406629,0.0,0.0,0.0,0.0,0.0,0.0026054197279417146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004851334742459594,0.0
galangal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discussion,0.001935618017776953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003277934148891727,0.0,0.0,0.0,0.0003475701444445787,0.0
crow,0.00017759303601697142,0.0,0.0,0.0,0.00030352438848607355,0.0,0.00019377282122582504,0.0,0.0,0.00017987979119741396,0.0,0.0,0.0,0.0,0.0,5.6984669128418935e-05,0.0
tomato,0.019498132673871918,0.0,0.0,0.0,0.0,0.0,0.0,0.025396391873933208,0.021910884365966336,0.019336606739496373,0.0,0.0,0.025121466416949945,0.0,0.0,0.0074175654713478515,0.0
nightmare,0.002213235531453663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004686167117182493,0.0004599601765757437,0.0
aubergine,0.10938934276296537,0.0,0.0,0.0,0.0,0.0,0.0,0.11378785091230163,0.1023831704363381,0.1082194451356767,0.0,0.0,0.0972416316917683,0.0,0.0,0.03540142939593668,0.0
buzzard,0.012789620629177496,0.0,0.0,0.0,0.011424223575752724,0.0,0.012678746238654677,0.0,0.0,0.012066480979989575,0.0,0.0,0.0,0.0,0.0,0.0032639380949049646,0.0
calf,0.0005010914415230484,0.0005019722772867637,0.0,0.0,0.0,0.0,0.0004956943164913015,0.0,0.0,0.0004941216107040107,0.0,0.0,0.0,0.0,0.0,0.00013285864306700833,0.0
raccoon,0.005461689946141839,0.004475280871536715,0.0,0.00634589642430521,0.0,0.0,0.00470708712547886,0.0,0.0,0.005247927226883933,0.0,0.0,0.0,0.0,0.0,0.0017491921062897703,0.0
newspaper,0.0010401665197423368,0.0012232796327887223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010206588899489878,0.0,0.0,0.0,0.0,0.0,0.00021894033616533647,0.0
argument,0.003570908348460241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00545490640751066,0.0,0.0,0.0,0.0006017209837313934,0.0
piano,0.0004590824752686677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004602461652182964,0.0,0.0,0.0,0.0,0.0,6.128857603246427e-05,0.0
leopard,0.005738472390038098,0.006411672102469212,0.0,0.008483046320674082,0.0,0.0,0.006337371645404086,0.0,0.0,0.005692671704990152,0.0,0.0,0.0,0.0,0.0,0.0021775489442383755,0.0
tongue,0.0011869280672461905,0.0,0.0,0.0,0.0,0.0,0.0,0.0012086395376274413,0.0,0.001168065204414851,0.0,0.0018957572502817683,0.0,0.0,0.0,0.00036395933730468333,0.0
