,all,relation,weapon,mammal,no-cat,animal,object,communication,vehicle,measure,tool,mean,median
cloth,0.031955840676646814,0.0,0.0,0.0,0.0,0.0,0.03143851779493226,0.0,0.0,0.0,0.0,0.0057631234974162785,0.0
grip,0.0027077649294850827,0.0,0.0,0.0,0.0,0.0,0.0026817276597665913,0.0,0.0,0.0,0.0,0.0004899538717501522,0.0
roller,0.0017496697826575485,0.0,0.0,0.0,0.0020248859348945543,0.0019159066767012178,0.0017010211820781124,0.0,0.0,0.0,0.0,0.0006719530523937666,0.0
sprocket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bearing,0.015562018777550037,0.018243301157642368,0.0,0.0,0.0,0.0,0.015200543023126328,0.0,0.0,0.0,0.0,0.004455078450756248,0.0
nut,0.005208999727948173,0.0,0.0,0.0,0.006051161928476206,0.0,0.004921690377955733,0.0,0.0,0.006254947916226764,0.0,0.002039709086418807,0.0
lathe,0.01059593327023891,0.0,0.0,0.0,0.0,0.0,0.01051704414667449,0.0,0.0,0.0,0.0,0.0019193615833557635,0.0
saw,0.0019585023941876916,0.0,0.0,0.0,0.0,0.0,0.0019483163697113957,0.0023322959396155462,0.0,0.0,0.0017022611893093207,0.0007219432629839959,0.0
windscreen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hubcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plastic,0.004547568034043349,0.005097282129500712,0.0,0.0,0.0,0.0,0.0,0.00519081532983436,0.0,0.0,0.0,0.0013486968630344017,0.0
cart,0.004150537069447856,0.0,0.0,0.0,0.0,0.0,0.0041282943630964845,0.0,0.0053793395599705755,0.0,0.0,0.001241651908410447,0.0
wiffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ball,0.012011638564721582,0.0,0.012798454614476025,0.0,0.0,0.0,0.01201451580029986,0.0,0.0,0.0,0.0,0.0033476917254088604,0.0
bolt,0.000679432209707681,0.0,0.0,0.0,0.0,0.0,0.0006908349199679877,0.0,0.0,0.0,0.0,0.00012456973906142444,0.0
chock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bumper,0.003986729155553124,0.0,0.0,0.0,0.0,0.0,0.0039298769327989575,0.0,0.0,0.0,0.0,0.0007196914625774621,0.0
hammer,0.01361114870936544,0.0,0.0,0.0,0.0,0.0,0.01345962270080218,0.0,0.0,0.0,0.01855587961660256,0.004147877366070017,0.0
pencil,0.006235021227024314,0.006285062943716188,0.0,0.0,0.0,0.0,0.006169685703299392,0.0,0.0,0.0,0.0,0.0016990699885490812,0.0
shovel,0.0022466436379960475,0.0,0.0,0.0,0.0,0.0,0.002227286795311064,0.0,0.0,0.0020183990657211743,0.0024734960319853653,0.0008150750482739682,0.0
polyurethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick,0.004536073383505259,0.0,0.0,0.0,0.0,0.0,0.004493801185184948,0.0,0.0,0.0,0.0,0.000820897688062746,0.0
peg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,0.0010102214966455142,0.0,0.0010668667095565653,0.0,0.0013828963004968169,0.0,0.0009998272679062185,0.0,0.0,0.0,0.0012909900123555967,0.0005228001624509738,0.0002614000812254869
acrylic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ski,0.000800536936677675,0.0,0.0,0.0,0.0,0.0,0.0007889041563048292,0.0,0.0,0.0,0.0,0.0001444946448165913,0.0
driveshaft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0008137905715075106,0.0,0.0,0.0,0.0,0.0,0.0007957309041700412,0.0,0.0,0.0,0.0,0.0001463201341525047,0.0
leather,0.00421615382814499,0.004115866350101095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007574563798405532,0.0
gearshift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
projectile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brake,0.0017875081942656656,0.0,0.0,0.0,0.0022359303579719716,0.0,0.0017861647608257293,0.0,0.0,0.0,0.0,0.0005281457557330334,0.0
surfboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paddle,0.00284086295357215,0.0,0.0,0.0,0.0,0.0,0.002805729349705562,0.0,0.0,0.0,0.0,0.0005133265730252466,0.0
handlebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0027102956087314604,0.0,0.0,0.0,0.0,0.0,0.0026766538986609423,0.0,0.0,0.0,0.0,0.0004897226824902185,0.0
piston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fireplace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
donkey,0.004598851385817807,0.0,0.0,0.005245400173903271,0.0,0.006298441735660248,0.004563234344664174,0.0,0.0,0.0,0.0,0.0018823570581859544,0.0
tile,0.002727780434136511,0.0,0.0,0.0,0.0,0.0,0.0026920956849125575,0.0,0.0,0.0,0.0,0.0004927160108226425,0.0
windowpane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kiln,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhole,0.0054629172509133,0.0,0.0,0.0,0.0,0.0,0.0054530454294726164,0.0,0.0,0.0,0.0,0.0009923602436714468,0.0
