,animal,communication,measure,weapon,vehicle,all,object,no-cat,mammal,relation,tool,mean
polyurethane,0.0,0.0,0.0,0.0,0.0,0.01606082199850873,0.0,0.0,0.0,0.023161573004162946,0.0,0.0035656722729701523
brick,0.0,0.0,0.0,0.0,0.0,0.00023849299573401502,0.00023416872709051666,0.0,0.0,0.0,0.0,4.296924752950288e-05
acrylic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
driveshaft,0.0,0.0,0.0,0.0,0.0,0.034205567381603144,0.03323076039089103,0.0,0.0,0.0,0.0,0.006130575252044925
headboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0,0.0,0.0,0.0,0.0,0.008899621689757668,0.008624711982915737,0.0,0.0,0.0,0.0,0.0015931212429703097
leather,0.0,0.0,0.0,0.0,0.0,0.013201834532456722,0.0,0.0,0.0,0.015320169192042965,0.0,0.0025929094294999716
gearshift,0.0,0.0,0.0,0.0,0.0,0.02025553458836392,0.019878845003915815,0.0,0.0,0.0,0.0,0.0036485799629345215
handrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brake,0.0,0.0,0.0,0.0,0.0,0.03207910922521055,0.0317698569687885,0.036276963612928495,0.0,0.0,0.0,0.009102357255175232
surfboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paddle,0.0,0.0,0.0,0.0,0.0,0.017923676069199167,0.01754454307094178,0.0,0.0,0.0,0.0,0.003224383558194632
handlebar,0.0,0.0,0.0,0.0,0.0,0.002196821909589552,0.00211558492647528,0.0,0.0,0.0,0.0,0.00039203698509680286
shoe,0.0,0.0,0.0,0.0,0.0,0.0022799861092251223,0.002231655956218741,0.0,0.0,0.0,0.0,0.00041014927867671485
piston,0.0,0.0,0.0,0.0,0.0,0.01566433487061244,0.015380343816563941,0.0,0.0,0.0,0.0,0.0028222435170160345
fireplace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kiln,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backboard,0.0,0.0,0.0,0.0,0.0,0.003649484300410041,0.00357684105507506,0.0,0.0,0.0,0.0,0.0006569386686804637
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhole,0.0,0.0,0.0,0.0,0.0,0.002297789106066974,0.002273234002778979,0.0,0.0,0.0,0.0,0.00041554755534963216
