,reptile,criminal,food,fish,communication,cutlery,no-cat,vehicle,all,mammal,relation,tool,object,measure,animal,weapon,medication,mean
jack,0.0,0.0,0.001166283767576766,0.0009619569909542139,0.0,0.0,0.0010831336748213902,0.0,0.0008250882397571583,0.0010321595731888722,0.0010493268243266028,0.0012432602143462338,0.0008182254826902491,0.0010984573480848855,0.0009504163720534267,0.0,0.0,0.0006016652051646941
tuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rabbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plot,0.0,0.0,0.0,0.0,0.005376619451415615,0.0,0.0,0.0,0.005585952976465786,0.0,0.0,0.0,0.005524194741115784,0.0,0.0,0.0,0.0,0.0009698098334704225
attack,0.0,0.0,0.0,0.0,0.03771345867988095,0.0,0.0,0.0,0.042880382717746815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004740814199860457
shaft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
virus,0.0,0.0,0.0,0.0,9.513289601722038e-05,0.0,0.0,0.0,0.00010847254000677285,0.0,0.0,0.0,9.781677514247077e-05,0.0,0.0,0.0,0.0,1.7730718303909643e-05
arrow,0.0,0.0,0.0,0.0,0.003260325529585601,0.0,0.0,0.0,0.004107954198380815,0.0,0.0,0.0,0.004057516928589104,0.0,0.0,0.004083925197448227,0.0,0.0009123365796472792
conspiracy,0.0,0.0,0.0,0.0,0.0018928979902668364,0.0,0.0,0.0,0.001908757966689484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022362682099743062
bow,0.0,0.0,0.0,0.0,0.004499757669994991,0.0,0.0,0.0,0.004938312002705586,0.0,0.0,0.0,0.004850227429688885,0.0,0.0,0.004936149641666708,0.0,0.0011308498084738924
fire,0.0,0.0,0.0,0.0,0.01047187270976185,0.0,0.0,0.0,0.010120037563886219,0.0,0.011267304021465877,0.0,0.009636569536620853,0.0,0.0,0.0,0.0,0.0024409284606902826
bar,0.0,0.0,0.0,0.0,0.003930567188734715,0.0,0.005132698567092189,0.0,0.0033955612549444957,0.0,0.0,0.0,0.0031162205978308914,0.004510520633338824,0.0,0.0,0.0,0.0011815040142318302
bill,0.0,0.0,0.0,0.0,0.00155616637818985,0.0,0.0,0.0,0.0014676568665568563,0.0,0.0,0.0019357314378666574,0.0013923229206386915,0.0015397475682953088,0.0,0.0,0.0,0.00046421324538513907
flack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,0.0,0.0,0.0,0.0,0.004102002983121911,0.0,0.0,0.0,0.0034021018932395663,0.0,0.0,0.004006635579544041,0.00321958643390872,0.0,0.0,0.0,0.0,0.0008664898170478964
bolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knife,0.0,0.0,0.0,0.0,0.0,0.0013460979055115651,0.0,0.0,0.0012189491397974525,0.0,0.0,0.001108037286649479,0.0012073089868121537,0.0,0.0,0.00117758074625348,0.0,0.00035635141558965473
scalpel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clipper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plane,0.0,0.0,0.0,0.0,0.0,0.004440032948462563,0.0,0.0050876311651601586,0.003958844255992491,0.0,0.0,0.005002884143312575,0.0038269655556955576,0.0,0.0,0.0,0.0,0.001312726945213138
neurotoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison,0.0,0.0,0.0,0.0,0.0,0.0,0.011233230281571435,0.0,0.01260248968032207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014021011742290296
terrorism,0.0,0.0,0.0,0.0,0.0,0.0,0.006169629260825944,0.0,0.007480087097906182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008029244916901251
methamphetamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
war,0.0,0.0,0.0,0.0,0.0,0.0,0.021377046180410624,0.0,0.02475078857045488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027134020441685587
venom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nursing,0.0,0.0,0.0,0.0,0.0,0.0,0.00036844871821264144,0.0,0.0002795342497815095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8116645176126525e-05
hornbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026627072963297565,0.021643364439114725,0.0,0.0,0.0,0.02185473694975436,0.0,0.0,0.024079262902232126,0.0,0.005541437485552869
bayonet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sniper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009187751950066703,0.0,0.0,0.0,0.009101204331562278,0.0,0.0,0.0,0.0,0.0010758209577428812
revolver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009377490419730882,0.0,0.0,0.0,0.0009607372040635518,0.0,0.0,0.0010805484687978896,0.0,0.00017523733616673701
hammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00669088978347466,0.0,0.0,0.006070799822957219,0.006479038363438889,0.0,0.0,0.0,0.0,0.001131807527639457
handgun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010867118179765046,0.0,0.0,0.0,0.0011045672355152179,0.0,0.0,0.0012627024222882743,0.0,0.0002031753809282351
gang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001929104700763712,0.0,0.0,0.0018003353725114185,0.001874198453368551,0.0,0.0,0.0,0.0,0.0003296257956849224
scorpion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004568843106456285,0.0,0.0,0.0,0.004364279052817801,0.0,0.005951328955406299,0.0,0.0,0.0008755559479223754
mallet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harpoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buckshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012894484648783074,0.0,0.0011603025496258878,0.0,0.0012614500521128528,0.0,0.0,0.0,0.0,0.00021830594509512045
shotgun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007756128045539378,0.0,0.0,0.0,0.0007681727926532987,0.0,0.0,0.0007678255031415619,0.0,0.00013597712354992934
sword,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012180389928064918,0.0,0.0,0.0,0.0012201464965766935,0.0,0.0,0.0012651414679453945,0.0,0.00021784276219579882
killer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004995476302951647,0.000687364910448295,0.0,0.0,0.0004983968092203946,0.0,0.0006715387272307834,0.0,0.0,0.00013863812218791987
weapon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01593329968163182,0.0,0.0,0.0,0.015373205954498748,0.0,0.0,0.015044355443412061,0.0,0.0027265212399730956
nightstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04007177669879484,0.0,0.0,0.0,0.0400379576275128,0.0,0.0,0.0,0.0,0.0047123373133122134
hippopotamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morphine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
warhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00949978322733365,0.0,0.008924894762786777,0.0,0.0,0.0,0.0,0.0,0.0,0.0010838045876541429
tiger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.968609501981636e-05,9.824793054499464e-05,0.0,0.0,9.105652656736448e-05,0.0,0.00011357820694912017,0.0,0.0,2.309227994595857e-05
grenade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004033113732661637,0.0,0.0,0.0,0.00405599903956843,0.0,0.0,0.0,0.0,0.0004758301630723569
pentobarbital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pistol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004246101372323293,0.0,0.0,0.0,0.0043088771123394555,0.0,0.0,0.0048389672916162975,0.0,0.0007878791633105321
firearm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001019614187003012,0.0,0.0,0.0,0.0009999555502569317,0.0,0.0,0.0009907286353313038,0.0,0.00017707637485830867
scimitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blunderbuss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013312176106961575,0.0,0.0,0.0,0.0,0.000913698025076579,0.0,0.0,0.0,0.00013205386092780803
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011166099161406236,0.0,0.0,0.0,0.0010563750911100481,0.0011509585296453323,0.0,0.0,0.0,0.0001955260904056473
blender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menthol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
remedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crowbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
langur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naproxen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stamper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iodine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007445883679008105,0.0,0.0,0.008162936051212245,0.006499273263944012,0.0,0.0,0.0,0.0,0.0013004760584802567
mop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002099288035810188,0.0,0.0,0.0,0.0020479084167684004,0.0,0.0,0.0,0.0,0.00024395273250462282
glove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003681731774843365,0.0,0.00041482648572642347,0.0005356445377908013,0.0003537601266155906,0.0004255750815520708,0.0,0.0,0.0,0.0001234105534805425
aspirin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022866606007230163,0.0,0.0,0.0,0.00022923642273497892,0.0003642189253197879,0.0,0.0002566358296811946,0.0,6.345630810636842e-05
cure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ointment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buffer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007320029928623651,0.0,0.0007754854635593619,0.0009481690207289751,0.0007254680753391387,0.0,0.0,0.0,0.0,0.00018712503249940243
pestle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciprofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001991836390277554,0.0,0.0,0.002735964764496516,0.0019024685554919379,0.0,0.0,0.0,0.0,0.0003900158653097652
opener,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006072252761328832,0.0,0.0,0.0008105387821014477,0.0005785825206713149,0.0,0.0,0.0,0.0,0.00011743215170033212
laxative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003120943143465189,0.0,0.0,0.0,0.0030407224660226064,0.0,0.0,0.003240118652913039,0.0,0.0005530461330824019
businessman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012714205302906314,0.0,0.0,0.0,0.012081672214900157,0.0,0.0,0.0,0.0,0.0014585810304592042
