,all,criminal,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,female,mean
mum,0.003499585828229781,,,,,0.003510410143234201,,,0.0031681701472003852,,,,,0.003392722039554789
diva,0.004501573760955045,,,,,0.004495746376994816,,,,,,,,0.00449866006897493
missus,0.0,,,,,0.0,,,,,,,0.0,0.0
mademoiselle,0.0,,0.0,,,0.0,,,,0.0,,,,0.0
nymph,0.0,,0.0,,,0.0,,,,,,,0.0,0.0
daughter,0.020395891677897324,,,,,0.020420804020537437,,,,,,,0.01619118288028057,0.01900262619290511
niece,0.0,,,,,0.0,,,,,,,,0.0
handmaid,0.0,,,,,0.0,,,,,,,,0.0
countess,0.0,,,,,0.0,,,,,,,,0.0
cow,0.0003941853029241287,,0.00038581878043194564,,,0.0003934767052731484,0.0003930587753779559,,,,,,,0.00039163489100179467
stepsister,0.017275444223906866,,,,,0.017310010185801174,,,,,,,,0.01729272720485402
landlady,0.0,,,,,0.0,,,,,,,,0.0
flapper,0.0,,,,,0.0,,,,,,,0.0,0.0
sister,0.0039975614706082505,,,,,0.004005564196342684,,,,,,,0.003270863571594754,0.0037579964128485626
gal,0.0,,,,,0.0,,,,,,0.0,0.0,0.0
granny,0.0,,,,,0.0,,,,,,,0.0,0.0
mom,0.0023731055843313415,,,,,0.0023802243029268184,,,,,,,,0.00237666494362908
goddess,0.0,,,,,,,,,,,,0.0,0.0
policewoman,0.0,,,,,0.0,,,,,,,,0.0
coquette,0.0,,,,,0.0,,,,,,,0.0,0.0
masseuse,0.0,,,,,0.0,,,,,,,,0.0
grandma,0.0,,,,,0.0,,,,,,,,0.0
hen,0.0,,0.0,,0.0,0.0,,0.0,,,,,,0.0
housemaid,0.0,,,,,0.0,,,,,,,,0.0
bride,0.0011660489926302762,,,,,0.001175335649965661,,,,,,,,0.0011706923212979686
cinderella,0.0,,,,,,,,,,,,0.0,0.0
concubine,0.0,,,,,0.0,,,,,,,0.0,0.0
empress,0.0,,,,,0.0,,,,,,,,0.0
stepmother,0.0,,,,,0.0,,,,,,,,0.0
bitch,0.00915702081410705,,0.006848973616987897,,,0.00911814221583947,0.0064565909516592305,,,,,,,0.007895181899648412
mommy,0.0014815994808919802,,,,,0.0014809406550650875,,,,,,,,0.0014812700679785339
tigress,0.03353149163809283,,0.027957733063595832,,,0.033661747426486754,0.030924729787034942,,,,,,,0.03151892547880259
superwoman,0.0,,,,,,,,,,,,0.0,0.0
chit,0.0,,,0.0,,0.0,,,,,,,0.0,0.0
ewe,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
matriarch,0.0,,,,,0.0,,,,,,,0.0,0.0
governess,0.0,,,,,0.0,,,,,,,,0.0
witch,0.0,,,,,0.0,,,,,,,0.0,0.0
mother,0.028253608315947778,,,,,0.028171357495288124,,,,,,,0.02303700437497087,0.02648732339540226
housewife,0.010649982021011075,,,,,0.010654037625036744,,,,,,,0.008498166601999793,0.009934062082682537
businesswoman,0.0,,,,,0.0,,,,,,,,0.0
soprano,0.0,,,0.0,,0.0,,,,,,,,0.0
girl,0.013100693326720895,,,,,0.013117714313785065,,,,,,,0.010618985895155543,0.012279131178553835
begum,0.0007472694006580159,,,,,0.0007525650859055451,,,,,,,0.0007278712229605587,0.0007425685698413732
lesbian,0.00038439589785001276,,,,,0.0003858431533282097,,,,,,,,0.00038511952558911125
handmaiden,0.0,,,,,0.0,,,,,,,,0.0
temptress,0.0,,,,,0.0,,,,,,,0.0,0.0
doe,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
damsel,0.0,,,,,0.0,,,,,,,0.0,0.0
barmaid,0.0,,,,,0.0,,,,,,,,0.0
aunt,0.0016307341223419517,,,,,0.0016371378483949596,,,,,,,,0.0016339359853684557
peri,0.0215686054677773,,,,,0.021648369924414625,,,,,,,0.00800891508191411,0.01707529682470201
granddaughter,0.0,,,,,0.0,,,,,,,,0.0
queen,0.0,,0.0,,,0.0,0.0,,,,0.0,,,0.0
grandmother,0.0039094589969860625,,,,,0.003913837832170939,,,,,,,,0.0039116484145785
mistress,0.0029765050410913195,,,,,0.0029799245086244513,,,,,,,0.00233433458092845,0.0027635880435480735
ms,0.0035986273431011205,,,0.0,,,,,,,,,,0.0017993136715505603
molly,0.0011410371524385127,,0.001033986690279467,,,0.0011401232833604927,,,,0.0015093351602988372,,,,0.0012061205715943274
showgirl,0.0,,,,,0.0,,,,,,,,0.0
mrs,0.003720357146605955,,,,,,,,,,,,0.0032896054881063562,0.0035049813173561556
cyprian,0.0,,,,,0.0,,,,,,,0.0,0.0
mare,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
widow,0.0,,,,,0.0,,,,,,,0.0,0.0
murderess,0.0,0.0,,,,0.0,,,,,,,,0.0
maiden,0.0,,,,,0.0,,,,,,,0.0,0.0
wench,0.0,,,,,0.0,,,,,,,0.0,0.0
dowager,0.0,,,,,0.0,,,,,,,0.0,0.0
lassie,0.0,,,,,0.0,,,,,,,0.0,0.0
lioness,0.02049485185148776,,0.01512861857780266,,,0.020575371793368203,0.014958269867755804,,,,,,,0.01778927802260361
noblewoman,0.0,,,,,0.0,,,,,,,,0.0
chairwoman,0.0005315706627786735,,,,,0.0005184958525062398,,,,,,,,0.0005250332576424567
heroine,0.003178627085230637,,,,,0.0031819796724599733,,,,,,,0.0024328790436118717,0.002931161933767494
heiress,0.0,,,,,0.0,,,,,,,,0.0
goddaughter,0.0,,,,,0.0,,,,,,,,0.0
angler,0.0,,0.0,,,0.0,,,,0.0,,,,0.0
scout,0.0,,,,,0.0,,,,,,,,0.0
communist,9.842312733814905e-05,,,,,9.932976633511454e-05,,,,,,,,9.887644683663179e-05
fox,0.00027250087182755466,,0.00023523011755484136,,,0.00027587647055364627,0.00023353529791427964,,,,0.0,,,0.00020342855157006438
henchman,0.0,0.0,,,,0.0,,,,,,,,0.0
prefect,0.0,,,,,0.0,,,,,,,,0.0
prisoner,0.0002817366601965521,,,,,0.0002831412090216835,,,,,,,,0.00028243893460911784
separatist,0.0,,,,,0.0,,,,,,,,0.0
socialite,0.0,,,,,0.0,,,,,,,,0.0
newcomer,0.0011539533972158547,,,,,0.0011513748084227508,,,,,,,,0.0011526641028193028
dad,0.0010836855468380382,,,,,0.0010834318153010384,,,,,,,,0.0010835586810695383
orthodontist,0.02323844454781972,,,,,0.0234073597150539,,,,,,,,0.023322902131436812
poet,0.0,,,,,0.0,,,,,,,,0.0
nephew,0.0,,,,,0.0,,,,,,,,0.0
webmaster,0.025263040355780187,,,,,0.025343632413793726,,,,,,,,0.025303336384786955
senator,0.0,,,,,0.0,,,,,,,,0.0
hound,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
hermit,0.0,,,,,0.0,,,,,,,,0.0
grandpa,0.0,,,,,0.0,,,,,,,,0.0
father,0.0036715940589178565,,,,,0.003670974403081133,,,,,,,,0.003671284230999495
valet,0.0,,,,,0.0,,,,,,,,0.0
genius,0.0,,,,,0.0,,,,,,,,0.0
dancer,0.0005633380426025343,,,,,0.0005656939823046176,,,,,,,,0.0005645160124535759
fisherman,0.0,,,,,0.0,,,,,,,,0.0
millionaire,0.0,,,,,0.0,,,,,,,,0.0
stepfather,0.008294242506214428,,,,,0.008289042614817195,,,0.005924318656939961,,,,,0.007502534592657196
hitchhiker,0.0,,,,,0.0,,,,,,,,0.0
novice,0.0,,,,,0.0,,,,,,,,0.0
settler,0.0,,,,,0.0,,,,,,,,0.0
baby,0.014043301849502596,,0.012224504017691866,,,0.014244407517389552,,,,,,,0.015171399223367658,0.013920903151987917
murderer,0.0,0.0,,,,0.0,,,,,,,,0.0
bondsman,0.0,,,,,0.0,,,,,,,,0.0
kinsman,0.0,,,,,0.0,,,,,,,,0.0
christ,0.0,,,,,0.0,,,,,,,,0.0
boy,0.0026818992375854636,,,,,0.0026984915236310863,,,0.0020967074238210323,,,,,0.002492366061679194
emperor,0.00016196528048973287,,0.0001553442095047141,,,0.00016028777439971507,,0.0,0.00018969640568408284,,,,,0.00013345873401564897
nationalist,0.0,,,,,0.0,,,,,,,,0.0
employer,0.00429443346314937,,,,,0.004312770939118455,,,,,,,,0.004303602201133913
docent,0.0,,,,,0.0,,,,,,,,0.0
sculptor,0.0,,,,,0.0,,,,,,,,0.0
junior,0.0005055953494755317,,,,,0.0005066027973426645,,,,,,,,0.0005060990734090981
choirmaster,0.0,,,,,0.0,,,,,,,,0.0
bull,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0
grandfather,0.0,,,,,0.0,,,,,,,,0.0
diplomat,0.0,,,,,0.0,,,,,,,,0.0
monk,0.0,,,,,0.0,,,,,,,,0.0
sophomore,0.0010637790621487882,,,,,0.0010716401474362097,,,,,,,,0.001067709604792499
actor,0.0009607926700607932,,,,,0.0009621102402691796,,,,,,,,0.0009614514551649864
baritone,0.0,,,0.0,,0.0,,,,,,,,0.0
hijacker,0.0,0.0,,,,0.0,,,,,,,,0.0
man,0.0014950424056107746,,0.0012448725986325866,,,0.0014971540428567567,0.0011500464100413594,,0.001131985798596066,,,,,0.0013038202511475086
godson,0.0,,,,,0.0,,,,,,,,0.0
waiter,0.0,,,,,0.0,,,,,,,,0.0
cook,0.0,,,,,0.0,,,,,,,,0.0
tenor,0.0006971534707517437,,,0.0009448365099562924,,0.0007052081601517066,,,,,,,,0.0007823993802865809
human,0.0007202289122262038,,0.0006283973324883538,,,0.0007225487678060327,0.0005911552934689001,,,,,,,0.0006655825764973726
surveyor,0.0,,,,,0.0,,,,,,,,0.0
grandson,0.0,,,,,0.0,,,,,,,,0.0
sir,0.0,,,,,0.0,,,0.0,,,,,0.0
husband,0.00684091187819415,,,,,0.006831418859510587,,,,,,,,0.006836165368852369
philosopher,0.0,,,,,0.0,,,,,,,,0.0
superman,0.0,,,,,0.0,,,,,,,,0.0
imposter,0.0,,,,,0.0,,,,,,,,0.0
rooster,0.0,,0.0,,0.0,0.0,,,,,,,,0.0
adventurer,0.0,,,,,0.0,,,,,,,,0.0
stallion,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
chairman,9.294490473830233e-05,,,,,9.350956449035599e-05,,,,,,,,9.322723461432916e-05
manager,0.00012457137176426976,,,,,0.0001256516071320971,,,,,,,,0.00012511148944818344
headmaster,0.0,,,,,0.0,,,,,,,,0.0
patriarch,0.0002350532488028974,,,,,0.00023794248636460795,,,0.0002993231154584424,,,,,0.0002574396168753159
ram,0.0,,0.0,,,0.0,0.0,,0.0,,,,,0.0
buck,0.000590307098593808,,0.0005708333984616451,,,0.0005945554031956481,0.0005639498079083109,,,,,0.001039288839418964,,0.0006717869095156752
god,0.0007488327129420192,,,,,0.0007476651604076554,,,,,,,,0.0007482489366748373
tiger,7.774153466375667e-05,,6.705418836563446e-05,,,7.867642070296064e-05,6.713576412607613e-05,,,,,,,7.265197696460697e-05
master,0.0,,,,,0.0,,,,,,,,0.0
czar,0.0,,,,,0.0,,,,,,,,0.0
policeman,0.0,,,,,0.0,,,,,,,,0.0
prince,0.0002564686858369278,,,,,0.00025757467365281777,,,,,,,,0.00025702167974487277
homeboy,0.0,,,,,0.0,,,,,,,,0.0
pathologist,0.0011314570694863737,,,,,0.0011480287261951727,,,,,,,,0.001139742897840773
scorer,0.0,,,,,0.0,,,,,,,,0.0
leader,0.0,,,,,0.0,,,,,,,,0.0
biologist,0.0,,,,,0.0,,,,,,,,0.0
peacock,0.0,,0.0,,0.0,0.0,,,,,,,,0.0
rover,0.0,,,,,0.0,,,0.0,,,,0.0,0.0
driver,0.0,,,0.0,,0.0,,,,,,,,0.0
liberal,0.0006763582690410786,,,,,0.0006807426514126195,,,,,,,,0.000678550460226849
pioneer,0.0018514465812596323,,,,,0.0018588306627015444,,,,,,,,0.0018551386219805882
guard,0.0,,,,,0.0,,,,,,,,0.0
sidekick,0.0,,,,,0.0,,,,,,,,0.0
hematologist,0.0,,,,,0.0,,,,,,,,0.0
godfather,0.0,,,,,0.0,,,,,,,,0.0
mister,0.0,,,,,,,,,,,,0.0,0.0
bassist,0.0,,,,,0.0,,,,,,,,0.0
federalist,0.0,,,,,0.0,,,,,,,,0.0
hippy,0.0,,,,,0.0,,,,,,,,0.0
daddy,0.002675487438722852,,,,,0.0027098566225599863,,,,,,,,0.002692672030641419
spokesman,0.0004565686247420972,,,,,0.0004577120851790509,,,,,,,,0.00045714035496057404
assistant,0.00036046825810606144,,,,,0.00036204548757145063,,,,,,,,0.00036125687283875604
idiot,0.0,,,,,0.0,,,,,,,,0.0
duke,0.0002650433873985174,,,,,0.00026733808596406176,,,,,,,,0.00026619073668128956
boxer,0.0003134601097654836,,0.00023982200470329846,,,0.0003158737750062946,0.00021321062927069813,,,,,,,0.0002705916296864437
brother,0.0008834967371793779,,,,,0.0008886684745388457,,,,,,,,0.0008860826058591119
tsar,0.0,,,,,0.0,,,,,,,,0.0
masseur,0.0,,,,,0.0,,,,,,,,0.0
freelancer,0.0,,,,,0.0,,,,,,,,0.0
steward,0.0,,,,,0.0,,,,,,,,0.0
inmate,0.0018797741804631443,,,,,0.0018878313437906593,,,,,,,,0.001883802762126902
concierge,0.0,,,,,0.0,,,,,,,,0.0
pirate,0.0,0.0,,,,0.0,,,0.0,,,,,0.0
neurobiologist,0.0,,,,,0.0,,,,,,,,0.0
groom,0.0,,,,,0.0,,,,,,,,0.0
countertenor,0.0,,,0.0,,0.0,,,,,,,,0.0
friar,0.0,,,,,0.0,,,,,,,,0.0
macho,0.0,,,,,0.0,,,0.0,,,,,0.0
lad,0.0,,,,,0.0,,,0.0,,,,,0.0
lover,0.0063469034084068085,,,,,0.006385790873269074,,,,,,,,0.006366347140837942
twin,0.0031669891857575086,,,,,0.003213172650075206,,,,,,,,0.003190080917916357
batman,0.0,,,,,0.0,,,,,,,,0.0
kidnapper,0.0,0.0,,,,0.0,,,,,,,,0.0
king,0.0001875420814006959,,,,,0.00018879547597052995,,,,,0.0,,,0.0001254458524570753
lion,0.0003785641590019042,,0.00032756138178837883,,,0.00038034528720203785,0.00031026460423805053,,,,,,,0.00034918385805759284
ally,0.0,,,,,0.0,,,,,,,,0.0
comrade,0.0,,,,,0.0,,,,,,,,0.0
psychologist,0.00044560472604828036,,,,,0.00044592680237624365,,,,,,,,0.00044576576421226203
son,0.003581747858685868,,,,,0.003602237977441551,,,0.002665493448745032,,,,,0.0032831597616241504
paterfamilias,0.0,,,,,0.0,,,0.0,,,,,0.0
trafficker,0.0,,,,,0.0,,,,,,,,0.0
fiance,0.0032037237793101246,,,,,0.0032093566359421965,,,,,,,,0.0032065402076261605
boyfriend,0.011567760853264905,,,,,0.011651794296334183,,,0.009458805187741878,,,,,0.010892786779113655
founder,0.0002560039329837922,,,,,0.000255891716216843,,,,,,,,0.0002559478246003176
uncle,0.00039043933601446454,,,,,0.00039434491944547335,,,,,,,,0.00039239212772996894
refugee,0.00022683309147260072,,,,,0.00022810539546189477,,,,,,,,0.00022746924346724775
lifeguard,0.0,,,,,0.0,,,,,,,,0.0
monastic,0.0,,,,,0.0,,,,,,,,0.0
boar,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
suitor,0.0,,,,,0.0,,,,,,,,0.0
cofounder,0.0,,,,,0.0,,,,,,,,0.0
womanizer,0.0,,,,,0.0,,,0.0,,,,,0.0
businessman,0.0,,,,,0.0,,,,,,,,0.0
robert,0.00042565181886173583,,,,,,,,,,,,0.00047424263531149925,0.00044994722708661754
hero,0.0,,,,,0.0,,0.0,,,,,,0.0
heir,0.0010894085220900678,,,,,0.0011025448916643164,,,,,,,,0.001095976706877192
gentleman,0.002139074881439608,,,,,0.0021458992249251962,,,0.0016728572752990436,,,,,0.0019859437938879493
