,criminal,animal,relation,bird,fish,object,food,all,mammal,female,measure,communication,no-cat,mean,median
mare,0.0,0.0037402224419662475,0.0,0.0,0.0,0.0032506690355513855,0.0,0.0032630491839612196,0.0036549782628598907,0.0,0.0,0.0,0.0,0.0010699168403337496,0.0
lioness,0.0,0.038308560553197736,0.0,0.0,0.0,0.044367430056619674,0.0,0.04439783967716364,0.0359211509995623,0.0,0.0,0.0,0.0,0.012538075483580258,0.0
angler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.0,0.00029454139585239323,0.0005368990508328134,0.0,0.0,0.0003407829613530401,0.0,0.0003359438689535812,0.000270930446046279,0.0,0.0,0.0,0.0,0.00013685367100293132,0.0
hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baby,0.0,0.05374390710353221,0.0,0.0,0.0,0.06178060749412667,0.0,0.06078726832698668,0.0,0.06764035143887971,0.0,0.0,0.0,0.01876554879719425,0.0
emperor,0.0,0.0010374023140850635,0.0,0.0,0.0,0.0010559961578745993,0.002111884825029883,0.0010649261188087622,0.0,0.0,0.0,0.0,0.0015175712454726627,0.0005221369739439208,0.0
bull,0.0,0.001775857974601353,0.0,0.0,0.0,0.0018869203317380243,0.0,0.0018614102618763786,0.0015602108579493635,0.0,0.0,0.0018565365084730208,0.0019561499947941224,0.0008382373791870971,0.00041911868959354856
man,0.0,0.0037669952666847823,0.0,0.0,0.0,0.004469371452064591,0.0,0.004454193568887396,0.0032243145180645126,0.0,0.0,0.0,0.0041034485199107395,0.0015398710250470785,0.0
human,0.0,0.0009616962521801305,0.0,0.0,0.0,0.001090888973092651,0.0,0.0010852244017140363,0.0008382181083060755,0.0,0.0,0.0,0.0,0.00030584828733022255,0.0
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stallion,0.0,0.002011403312444052,0.0,0.0,0.0,0.001827398709100821,0.0,0.001850523129143123,0.0018591880891595603,0.0,0.0,0.0,0.0,0.0005806548646036582,0.0
ram,0.0,0.0016559194073234459,0.0,0.0,0.0,0.001516699612774065,0.0,0.00152285235955374,0.0014782755562079799,0.0,0.0,0.0,0.002397718381861892,0.000659343485978548,0.0
buck,0.0,0.001588364881256327,0.0,0.0,0.0,0.0016320859564656637,0.0,0.0016172021700936261,0.0014538955911247763,0.0,0.002464875229851622,0.0,0.0,0.000673571063753232,0.0
tiger,0.0,0.0011754586624351884,0.0,0.0,0.0,0.0013606168374855436,0.0,0.0013417758431907767,0.0010904035388182218,0.0,0.0,0.0,0.0,0.00038217345245613314,0.0
peacock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boxer,0.0,0.0004003881178464056,0.0,0.0,0.0,0.0005202541086324198,0.0,0.0005152521841171474,0.0003298016839768186,0.0,0.0,0.0,0.0,0.00013582277650559934,0.0
lion,0.0,0.00218748375981052,0.0,0.0,0.0,0.00250576292206461,0.0,0.002489069628669933,0.0019197127142511186,0.0,0.0,0.0,0.0,0.0007001560788304755,0.0
boar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
king,0.0,0.0,0.00406640075365036,0.0,0.0,0.0026430930758175658,0.0,0.002620325344066831,0.0,0.0,0.0,0.0,0.0,0.0007176783979642121,0.0
ballerina,0.0,0.0,0.0,0.0,0.0,0.0017519142307425607,0.0,0.0017477239957075523,0.0,0.0,0.0,0.0,0.0,0.00026920294049616257,0.0
girlfriend,0.0,0.0,0.0,0.0,0.0,0.02100706663978152,0.0,0.021087542688638616,0.0,0.01915962522047271,0.0,0.0,0.0,0.00471186419606868,0.0
actress,0.0,0.0,0.0,0.0,0.0,0.005947604612454252,0.0,0.00597763119691739,0.0,0.0,0.0,0.0,0.0,0.0009173258314901263,0.0
hostess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enchantress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miss,0.0,0.0,0.0,0.0,0.0,0.00552057557563841,0.0,0.005557678038737719,0.0,0.006221008167361875,0.0,0.0,0.0,0.0013307124447490771,0.0
courtesan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
woman,0.0,0.0,0.0,0.0,0.0,0.044625512284036994,0.0,0.044775662047979496,0.0,0.04143456678426204,0.0,0.0,0.0,0.010064287778175272,0.0
skirt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comedienne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duchess,0.0,0.0,0.0,0.0,0.0,0.0006563922083934526,0.0,0.0006560360491447457,0.0,0.0,0.0,0.0,0.0,0.00010095601981063063,0.0
stepdaughter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bachelorette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wife,0.0,0.0,0.0,0.0,0.0,0.0315101932369722,0.0,0.03160316363774713,0.0,0.02913841604654865,0.0,0.0,0.0,0.007096290224712922,0.0
nun,0.0,0.0,0.0,0.0,0.0,0.0025272051341327117,0.0,0.0025330826794281473,0.0,0.0,0.0,0.0023998254895684734,0.0,0.0005738548694714872,0.0
godmother,0.0,0.0,0.0,0.0,0.0,0.0034305072775689532,0.0,0.003445265124750542,0.0,0.0,0.0,0.0,0.0,0.000528905569409192,0.0
maid,0.0,0.0,0.0,0.0,0.0,0.0016173281309097606,0.0,0.001616016226494967,0.0,0.001889252377099451,0.0,0.0,0.0,0.00039404590265416754,0.0
spokeswoman,0.0,0.0,0.0,0.0,0.0,0.0010943680747651904,0.0,0.0010991284437044196,0.0,0.0,0.0,0.0,0.0,0.0001687305014207392,0.0
tomboy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doll,0.0,0.0,0.0,0.0,0.0,0.0016216037896855516,0.0,0.0016317073359944322,0.0,0.0021077777276060977,0.0,0.0,0.0,0.0004123914502527755,0.0
lass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
princess,0.0,0.0,0.0,0.0,0.0,0.009418414996268179,0.0,0.009435355753546539,0.0,0.0,0.0,0.0,0.0,0.0014502900576780552,0.0
seductress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waitress,0.0,0.0,0.0,0.0,0.0,0.004385078717735287,0.0,0.004422713251993688,0.0,0.0,0.0,0.0,0.0,0.0006775224592099211,0.0
lady,0.0,0.0,0.0,0.0,0.0,0.0008018821631959257,0.0,0.00080705989331653,0.0,0.0008588038523593788,0.0,0.0,0.0,0.0001898266083747565,0.0
dame,0.0,0.0,0.0,0.0,0.0,2.903001364049239e-05,0.0,2.91427741645522e-05,0.0,3.24372919620643e-05,0.0,0.0,0.0,6.970006135931453e-06,0.0
headmistress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chambermaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mum,0.0,0.0,0.0,0.0,0.0,0.005046417567051105,0.0,0.00505408387966922,0.0,0.0,0.0,0.0,0.004522474298415514,0.0011248442880873722,0.0
diva,0.0,0.0,0.0,0.0,0.0,0.0016157238448048338,0.0,0.0016252874265047883,0.0,0.0,0.0,0.0,0.0,0.0002493085593315094,0.0
missus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daughter,0.0,0.0,0.0,0.0,0.0,0.10558721468211357,0.0,0.10594529303713394,0.0,0.09797996659214615,0.0,0.0,0.0,0.023808651870107205,0.0
niece,0.0,0.0,0.0,0.0,0.0,0.011279532928992489,0.0,0.011369236792430114,0.0,0.0,0.0,0.0,0.0,0.0017422130554940463,0.0
handmaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
countess,0.0,0.0,0.0,0.0,0.0,0.005566476725867905,0.0,0.005562046473160466,0.0,0.0,0.0,0.0,0.0,0.0008560402460791055,0.0
stepsister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landlady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flapper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sister,0.0,0.0,0.0,0.0,0.0,0.010731247098118893,0.0,0.01075925306994403,0.0,0.01025579051094308,0.0,0.0,0.0,0.0024420223599235383,0.0
gal,0.0,0.0,0.0,0.0,0.0,0.0019807620021538123,0.0,0.001989507869422206,0.0,0.0017682687644118384,0.0018093209832043989,0.0,0.0,0.0005806045860917119,0.0
granny,0.0,0.0,0.0,0.0,0.0,0.001998585739358805,0.0,0.0020149691111660383,0.0,0.0024635258556739113,0.0,0.0,0.0,0.0004982369773999042,0.0
mom,0.0,0.0,0.0,0.0,0.0,0.00798399016258706,0.0,0.007996862759435246,0.0,0.0,0.0,0.0,0.0,0.0012292963786171005,0.0
policewoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masseuse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grandma,0.0,0.0,0.0,0.0,0.0,0.0015529695847441073,0.0,0.0015635806848911988,0.0,0.0,0.0,0.0,0.0,0.0002397346361257928,0.0
housemaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bride,0.0,0.0,0.0,0.0,0.0,0.00042240323987495607,0.0,0.0004210004916166226,0.0,0.0,0.0,0.0,0.0,6.487721011473682e-05,0.0
concubine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
empress,0.0,0.0,0.0,0.0,0.0,0.0010839735162913367,0.0,0.001081101020255441,0.0,0.0,0.0,0.0,0.0,0.0001665441951189829,0.0
stepmother,0.0,0.0,0.0,0.0,0.0,0.01910704107533489,0.0,0.019180711447588483,0.0,0.0,0.0,0.0,0.0,0.0029452117325325673,0.0
mommy,0.0,0.0,0.0,0.0,0.0,0.00532234456412778,0.0,0.005349295902459843,0.0,0.0,0.0,0.0,0.0,0.0008208954205067402,0.0
chit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matriarch,0.0,0.0,0.0,0.0,0.0,0.003995878622405699,0.0,0.003993739742437388,0.0,0.003853083603864402,0.0,0.0,0.0,0.0009109770745159607,0.0
governess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
witch,0.0,0.0,0.0,0.0,0.0,0.0007196850479385926,0.0,0.0007200655244455311,0.0,0.000738310522633207,0.0,0.0,0.0,0.00016754316115517927,0.0
mother,0.0,0.0,0.0,0.0,0.0,0.07518370420384819,0.0,0.075751343171754,0.0,0.07195519617366912,0.0,0.0,0.0,0.01714540334994395,0.0
housewife,0.0,0.0,0.0,0.0,0.0,0.010210530097104174,0.0,0.010253766225128077,0.0,0.009531900871634235,0.0,0.0,0.0,0.002307399784143576,0.0
businesswoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soprano,0.0,0.0,0.0,0.0,0.0,0.0002624646813123341,0.0,0.0002620755762825837,0.0,0.0,0.0,0.000554761877567022,0.0,8.302324116630305e-05,0.0
girl,0.0,0.0,0.0,0.0,0.0,0.05684181100575233,0.0,0.05703014711391362,0.0,0.05385338352265663,0.0,0.0,0.0,0.012901949357101735,0.0
begum,0.0,0.0,0.0,0.0,0.0,0.0005409279136773642,0.0,0.0005396013152713821,0.0,0.0006123082191877634,0.0,0.0,0.0,0.00013021826524126998,0.0
lesbian,0.0,0.0,0.0,0.0,0.0,0.0011093436878506456,0.0,0.001110285162925951,0.0,0.0,0.0,0.0,0.0,0.00017074068082896898,0.0
handmaiden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temptress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damsel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barmaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aunt,0.0,0.0,0.0,0.0,0.0,0.005295330726790553,0.0,0.005298970149513113,0.0,0.0,0.0,0.0,0.0,0.0008149462212541282,0.0
peri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
granddaughter,0.0,0.0,0.0,0.0,0.0,0.029098586603443034,0.0,0.029050113515204576,0.0,0.0,0.0,0.0,0.0,0.004472976932203662,0.0
grandmother,0.0,0.0,0.0,0.0,0.0,0.01219046442839952,0.0,0.012233044644008002,0.0,0.0,0.0,0.0,0.0,0.0018787314671082707,0.0
mistress,0.0,0.0,0.0,0.0,0.0,0.0021419068962343314,0.0,0.0021493266466825543,0.0,0.0019637158403144677,0.0,0.0,0.0,0.00048114995255625794,0.0
showgirl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyprian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
widow,0.0,0.0,0.0,0.0,0.0,0.005505394595498648,0.0,0.0055360621186119115,0.0,0.005733631774995193,0.0,0.0,0.0,0.001290391422238904,0.0
maiden,0.0,0.0,0.0,0.0,0.0,0.006890276649777802,0.0,0.0069164918715511345,0.0,0.008425984343488523,0.0,0.0,0.0,0.0017102117588321123,0.0
wench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dowager,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lassie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noblewoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chairwoman,0.0,0.0,0.0,0.0,0.0,0.00037268388475540903,0.0,0.000383845810550353,0.0,0.0,0.0,0.0,0.0,5.819459194659708e-05,0.0
heroine,0.0,0.0,0.0,0.0,0.0,0.00457427977413129,0.0,0.004590556911436122,0.0,0.004093229097955244,0.0,0.0,0.0,0.0010198512141171275,0.0
heiress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goddaughter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scout,0.0,0.0,0.0,0.0,0.0,0.0005088423826293784,0.0,0.000503997772352292,0.0,0.0,0.0,0.0,0.0,7.791078115243618e-05,0.0
communist,0.0,0.0,0.0,0.0,0.0,0.0015541930662682014,0.0,0.001536944997506516,0.0,0.0,0.0,0.0,0.0,0.00023777985105959365,0.0
prefect,0.0,0.0,0.0,0.0,0.0,0.0015869008463199252,0.0,0.0015978978469409597,0.0,0.0,0.0,0.0,0.0,0.00024498451486622193,0.0
prisoner,0.0,0.0,0.0,0.0,0.0,0.0013990276082312902,0.0,0.0013893196453681153,0.0,0.0,0.0,0.0,0.0,0.00021448825027687733,0.0
separatist,0.0,0.0,0.0,0.0,0.0,0.0002559106003701698,0.0,0.00025193928367214596,0.0,0.0,0.0,0.0,0.0,3.9065375695562753e-05,0.0
socialite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newcomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dad,0.0,0.0,0.0,0.0,0.0,0.0014870387528536622,0.0,0.0014844295640526427,0.0,0.0,0.0,0.0,0.0,0.0002285744859158696,0.0
orthodontist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poet,0.0,0.0,0.0,0.0,0.0,0.006373720906378972,0.0,0.006345147748977615,0.0,0.0,0.0,0.0,0.0,0.0009783745119505067,0.0
nephew,0.0,0.0,0.0,0.0,0.0,0.003228692366380954,0.0,0.0031931302610780877,0.0,0.0,0.0,0.0,0.0,0.0004939863559583878,0.0
webmaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
senator,0.0,0.0,0.0,0.0,0.0,0.0009576093069462562,0.0,0.0009454468435344723,0.0,0.0,0.0,0.0,0.0,0.0001463889346523637,0.0
hermit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grandpa,0.0,0.0,0.0,0.0,0.0,0.00668503177188564,0.0,0.006674589996136546,0.0,0.0,0.0,0.0,0.0,0.0010276632129247835,0.0
father,0.0,0.0,0.0,0.0,0.0,0.022370980967453158,0.0,0.02233026837136628,0.0,0.0,0.0,0.0,0.0,0.003438557641447649,0.0
valet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genius,0.0,0.0,0.0,0.0,0.0,0.005874899833356696,0.0,0.00584321140578004,0.0,0.0,0.0,0.0,0.0,0.0009013931722412874,0.0
dancer,0.0,0.0,0.0,0.0,0.0,0.0009317158998614175,0.0,0.0009259907331251636,0.0,0.0,0.0,0.0,0.0,0.00014290051022973702,0.0
fisherman,0.0,0.0,0.0,0.0,0.0,0.0011687533839717613,0.0,0.0011529824868865847,0.0,0.0,0.0,0.0,0.0,0.00017859506698910353,0.0
millionaire,0.0,0.0,0.0,0.0,0.0,0.00021932343382066169,0.0,0.00022435881550921162,0.0,0.0,0.0,0.0,0.0,3.412940379460564e-05,0.0
stepfather,0.0,0.0,0.0,0.0,0.0,0.01592770157336502,0.0,0.01590600368621661,0.0,0.0,0.0,0.0,0.013823410199526575,0.0035120858045467854,0.0
hitchhiker,0.0,0.0,0.0,0.0,0.0,0.0035856327734471024,0.0,0.0035844827192701013,0.0,0.0,0.0,0.0,0.0,0.0005515473455936311,0.0
novice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
settler,0.0,0.0,0.0,0.0,0.0,0.0009409167789258722,0.0,0.0009293976183955191,0.0,0.0,0.0,0.0,0.0,0.00014387033825549164,0.0
bondsman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kinsman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
christ,0.0,0.0,0.0,0.0,0.0,0.03971580284767358,0.0,0.03925650844835837,0.0,0.0,0.0,0.0,0.0,0.006074793176617841,0.0
boy,0.0,0.0,0.0,0.0,0.0,0.04844506067189124,0.0,0.04805145192006185,0.0,0.0,0.0,0.0,0.0457082218392985,0.010938825725480892,0.0
nationalist,0.0,0.0,0.0,0.0,0.0,0.00043867466011091196,0.0,0.00043474475816715236,0.0,0.0,0.0,0.0,0.0,6.718610909831265e-05,0.0
employer,0.0,0.0,0.0,0.0,0.0,0.003946261270946255,0.0,0.003921668982394478,0.0,0.0,0.0,0.0,0.0,0.0006052254041031333,0.0
docent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sculptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
junior,0.0,0.0,0.0,0.0,0.0,0.0006257931354627643,0.0,0.0006233068418776819,0.0,0.0,0.0,0.0,0.0,9.608461364157279e-05,0.0
choirmaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grandfather,0.0,0.0,0.0,0.0,0.0,0.007093286806390843,0.0,0.007062379740142206,0.0,0.0,0.0,0.0,0.0,0.0010888974266563883,0.0
diplomat,0.0,0.0,0.0,0.0,0.0,0.0018660893573420512,0.0,0.001857588902537093,0.0,0.0,0.0,0.0,0.0,0.0002864367892214727,0.0
monk,0.0,0.0,0.0,0.0,0.0,0.0012385061932266787,0.0,0.0012297942507679142,0.0,0.0,0.0,0.0,0.0,0.000189869264922661,0.0
sophomore,0.0,0.0,0.0,0.0,0.0,0.00044125631327579366,0.0,0.00043714851436784714,0.0,0.0,0.0,0.0,0.0,6.756960212643391e-05,0.0
actor,0.0,0.0,0.0,0.0,0.0,0.0005282086760208681,0.0,0.0005264364920339661,0.0,0.0,0.0,0.0,0.0,8.11265513888334e-05,0.0
baritone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
godson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waiter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cook,0.0,0.0,0.0,0.0,0.0,0.00047824034559208734,0.0,0.0004752365055544283,0.0,0.0,0.0,0.0,0.0,7.334437316511659e-05,0.0
tenor,0.0,0.0,0.0,0.0,0.0,0.000580750084037087,0.0,0.0005729753759392703,0.0,0.0,0.0,0.0007185725194110206,0.0,0.00014402292149133677,0.0
surveyor,0.0,0.0,0.0,0.0,0.0,0.001139132976582414,0.0,0.0011454582132462802,0.0,0.0,0.0,0.0,0.0,0.00017573778383297647,0.0
grandson,0.0,0.0,0.0,0.0,0.0,0.01492527846113484,0.0,0.01471918517786928,0.0,0.0,0.0,0.0,0.0,0.0022803433568464706,0.0
sir,0.0,0.0,0.0,0.0,0.0,0.0005440810442364408,0.0,0.0005387098739712501,0.0,0.0,0.0,0.0,0.000618454091054571,0.0001308650007124817,0.0
husband,0.0,0.0,0.0,0.0,0.0,0.00872966107088707,0.0,0.008724410190025525,0.0,0.0,0.0,0.0,0.0,0.0013426208662240457,0.0
philosopher,0.0,0.0,0.0,0.0,0.0,0.010180592417861565,0.0,0.010180498838958729,0.0,0.0,0.0,0.0,0.0,0.0015662377889861764,0.0
superman,0.0,0.0,0.0,0.0,0.0,0.002599992050780844,0.0,0.0025898121462573976,0.0,0.0,0.0,0.0,0.0,0.00039921570746448014,0.0
imposter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adventurer,0.0,0.0,0.0,0.0,0.0,0.0011592993798299857,0.0,0.0011438850290372794,0.0,0.0,0.0,0.0,0.0,0.0001771680314513281,0.0
