context,n_pos,total_pos,n_neg,total_neg
chloride,2,3,0,3
killers,2,3,2,3
massive,2,3,0,3
severe,2,3,3,3
half,2,3,2,3
250,2,3,1,3
hospital,2,3,4,3
into,2,3,5,3
much,2,3,4,3
experimenting,2,3,1,3
miss,2,3,0,3
autopsy,2,3,0,3
room,2,3,0,3
fog,2,3,0,3
needles,2,3,0,3
distribution,2,3,1,3
died,2,3,1,3
medically,2,3,2,3
140,2,3,1,3
destined,2,3,0,3
hours,2,3,1,3
breathing,2,3,2,3
father,2,3,0,3
nearly,2,3,1,3
consumed,2,3,1,3
25,2,3,2,3
combination,2,3,1,3
you,2,3,5,3
test,2,3,2,3
two,2,3,3,3
taken,2,3,2,3
steroid,2,3,2,3
nerve,2,3,2,3
sleeping,2,3,0,3
150,2,3,0,3
brain,2,3,1,3
carried,2,3,0,3
chemicals,2,3,3,3
heated,2,3,0,3
continuous,2,3,0,3
rich,2,3,1,3
tolerance,2,3,0,3
97,2,3,0,3
bags,2,3,0,3
sending,2,3,1,3
85,2,3,1,3
replaced,2,3,2,3
terminal,2,3,1,3
epo,2,3,0,3
stimulants,2,3,0,3
who,2,3,4,3
level,2,3,3,3
nausea,2,3,3,3
physicians,2,3,5,3
sleep,2,3,4,3
82,2,3,1,3
16,2,3,3,3
generation,2,3,1,3
demanded,2,3,1,3
caffeine,2,3,2,3
quantity,2,3,2,3
bed,2,3,2,3
insulin,2,3,1,3
himself,2,3,1,3
routinely,2,3,2,3
physical,2,3,1,3
operation,2,3,2,3
giving,2,3,3,3
mother,2,3,2,3
four,2,3,1,3
form,2,3,5,3
12,2,3,4,3
gimme,2,3,0,3
eased,2,3,0,3
pumped,2,3,0,3
array,2,3,1,3
via,2,3,0,3
appendectomy,2,3,1,3
erik,2,3,1,3
ton,2,3,0,3
suffocating,2,3,0,3
mary,2,3,0,3
115,2,3,0,3
listed,2,3,0,3
va,2,3,1,3
rats,2,3,0,3
back,2,3,4,3
11,2,3,1,3
death,2,3,3,3
days,2,3,1,3
side,2,3,3,3
29,2,3,2,3
10,2,3,0,3
acute,2,3,3,3
percent,2,3,6,3
enough,2,3,4,3
50,2,3,1,3
substance,2,3,5,3
did,2,3,3,3
produced,2,3,4,3
control,2,3,3,3
largest,2,3,1,3
constant,2,3,0,3
demand,2,3,1,3
province,2,3,1,3
credited,2,3,0,3
attitude,2,3,0,3
needle,2,3,1,3
withdrawal,2,3,0,3
possession,2,3,0,3
materials,2,3,1,3
followers,2,3,0,3
73,2,3,0,3
ms,2,3,1,3
survived,2,3,1,3
iranian,2,3,1,3
bass,2,3,1,3
sufferer,2,3,0,3
700,2,3,0,3
intense,2,3,0,3
placed,2,3,2,3
poisoning,2,3,4,3
relief,2,3,3,3
way,2,3,4,3
conventional,2,3,4,3
30,2,3,1,3
patch,2,3,1,3
reported,2,3,4,3
usually,2,3,4,3
tests,2,3,1,3
showed,2,3,2,3
100,2,3,2,3
world,2,3,4,3
different,2,3,2,3
shots,2,3,1,3
therapeutic,2,3,1,3
limit,2,3,2,3
routine,2,3,1,3
working,2,3,2,3
iran,2,3,1,3
material,2,3,0,3
attached,2,3,0,3
23,2,3,2,3
despite,2,3,1,3
insisted,2,3,2,3
producing,2,3,2,3
involving,2,3,2,3
orders,2,3,1,3
saturday,2,3,0,3
recent,2,3,1,3
insufficient,2,3,2,3
grown,2,3,2,3
apparently,2,3,1,3
nutrition,2,3,2,3
black,2,3,4,3
ill,2,3,2,3
smoked,2,3,2,3
support,2,3,3,3
naturally,2,3,3,3
varied,2,3,2,3
steroids,2,3,0,3
equivalent,2,3,1,3
stronger,2,3,2,3
determining,2,3,3,3
34,2,3,1,3
1997,2,3,3,3
larger,2,3,0,3
overnight,2,3,1,3
infused,2,3,0,3
members,2,3,1,3
loving,2,3,0,3
minuscule,2,3,0,3
unconscious,2,3,0,3
night,2,3,0,3
46,2,3,0,3
brien,2,3,0,3
intentionally,2,3,0,3
terminally,2,3,0,3
powerfully,2,3,1,3
institution,2,3,1,3
refining,2,3,1,3
hugh,2,3,0,3
potter,2,3,0,3
consciousness,2,3,0,3
orally,2,3,0,3
indignation,2,3,1,3
210,2,3,0,3
tranquilizers,2,3,1,3
detectable,2,3,0,3
160,2,3,0,3
quell,2,3,1,3
complication,2,3,0,3
wears,2,3,0,3
preparing,2,3,0,3
cries,2,3,1,3
unusually,2,3,0,3
started,2,3,4,3
full,2,3,1,3
pure,2,3,2,3
60,2,3,1,3
13,2,3,1,3
35,2,3,4,3
18,2,3,4,3
readily,2,3,3,3
along,2,3,1,3
home,2,3,3,3
40,2,3,2,3
400,2,3,2,3
determine,2,3,3,3
pharmacist,2,3,3,3
typically,2,3,1,3
body,2,3,2,3
muscle,2,3,3,3
pharmacy,2,3,2,3
feed,2,3,1,3
testing,2,3,2,3
mouth,2,3,4,3
near,2,3,3,3
early,2,3,4,3
saying,2,3,4,3
give,2,3,1,3
increased,2,3,3,3
high,2,3,0,3
ago,2,3,4,3
agency,2,3,4,3
value,2,3,2,3
misery,2,3,0,3
infusion,2,3,0,3
hospitalized,2,3,1,3
dull,2,3,1,3
cocktails,2,3,1,3
assistance,2,3,2,3
testimony,2,3,1,3
crying,2,3,1,3
pointing,2,3,1,3
stage,2,3,1,3
cat,2,3,1,3
homes,2,3,0,3
hollywood,2,3,1,3
believe,2,3,2,3
drivers,2,3,1,3
74,2,3,1,3
dana,2,3,0,3
cutting,2,3,1,3
quiet,2,3,2,3
legally,2,3,1,3
albums,2,3,2,3
destruction,2,3,1,3
lay,2,3,2,3
officers,2,3,1,3
pumping,2,3,1,3
220,2,3,1,3
enhancing,2,3,1,3
borders,2,3,0,3
border,2,3,1,3
memories,2,3,2,3
gotten,2,3,1,3
whereas,2,3,1,3
lithium,2,3,1,3
88,2,3,1,3
copenhagen,2,3,1,3
69,2,3,1,3
march,2,3,2,3
68,2,3,1,3
delivering,2,3,0,3
receives,2,3,0,3
madness,2,3,2,3
adams,2,3,0,3
winter,2,3,1,3
bruce,2,3,1,3
differing,2,3,1,3
monitored,2,3,0,3
faded,2,3,2,3
installed,2,3,1,3
hauled,2,3,0,3
paris,2,3,1,3
concentrations,2,3,2,3
panic,2,3,2,3
shipped,2,3,2,3
spine,2,3,1,3
separate,2,3,2,3
endure,2,3,0,3
trio,2,3,2,3
1983,2,3,0,3
armed,2,3,0,3
arrived,2,3,1,3
veins,2,3,0,3
internationally,2,3,1,3
during,2,3,4,3
powder,2,3,4,3
mostly,2,3,2,3
acceptable,2,3,2,3
delivered,2,3,0,3
bob,2,3,2,3
varying,2,3,0,3
48,2,3,1,3
accident,2,3,2,3
requires,2,3,2,3
eight,2,3,0,3
straight,2,3,1,3
writing,2,3,1,3
decrease,2,3,2,3
enhanced,2,3,1,3
gram,2,3,0,3
swallowing,2,3,2,3
multiple,2,3,1,3
farmers,2,3,2,3
45,2,3,1,3
turn,2,3,2,3
dealt,2,3,1,3
report,2,3,1,3
heavy,2,3,0,3
sends,2,3,2,3
never,2,3,3,3
strongest,2,3,1,3
inhaled,2,3,1,3
sent,2,3,3,3
authorities,2,3,3,3
wrote,2,3,3,3
alert,2,3,1,3
healthy,2,3,0,3
fashioned,2,3,1,3
combined,2,3,1,3
crude,2,3,1,3
worst,2,3,1,3
mrs,2,3,1,3
thing,2,3,3,3
victim,2,3,2,3
saw,2,3,2,3
linger,2,3,1,3
presence,2,3,1,3
tells,2,3,2,3
ages,2,3,3,3
ephedrine,2,3,2,3
42,2,3,1,3
trainer,2,3,2,3
22,2,3,2,3
weapons,2,3,1,3
observed,2,3,2,3
tiny,2,3,3,3
push,2,3,4,3
highly,2,3,2,3
certainly,2,3,2,3
boston,2,3,4,3
clinical,2,3,3,3
greater,2,3,3,3
receive,2,3,0,3
brought,2,3,2,3
becoming,2,3,3,3
practice,2,3,3,3
frequently,2,3,3,3
procedure,2,3,2,3
tell,2,3,2,3
having,2,3,4,3
completely,2,3,3,3
52,2,3,1,3
65,2,3,2,3
44,2,3,2,3
deliberately,2,3,1,3
95,2,3,2,3
included,2,3,1,3
around,2,3,2,3
comfort,2,3,2,3
coming,2,3,3,3
costly,2,3,4,3
decreased,2,3,2,3
300,2,3,3,3
cut,2,3,3,3
inducing,2,3,1,3
bar,2,3,3,3
undergo,2,3,2,3
bay,2,3,2,3
number,2,3,4,3
weight,2,3,3,3
again,2,3,3,3
huge,2,3,0,3
labeled,2,3,1,3
lab,2,3,3,3
normal,2,3,0,3
killing,2,3,2,3
bit,2,3,3,3
tumor,2,3,4,3
five,2,3,4,3
someone,2,3,4,3
asked,2,3,4,3
knowing,2,3,3,3
addition,2,3,3,3
switched,2,3,3,3
concentrated,2,3,0,3
28,2,3,3,3
21,2,3,2,3
plant,2,3,4,3
release,2,3,2,3
million,2,3,6,3
controlled,2,3,3,3
kept,2,3,5,3
allows,2,3,4,3
per,2,3,0,3
liberal,2,3,0,3
generous,2,3,0,3
racing,2,3,1,3
spreading,2,3,1,3
request,2,3,1,3
ranged,2,3,0,3
39,2,3,1,3
nancy,2,3,1,3
moody,2,3,1,3
naltrexone,2,3,0,3
martin,2,3,1,3
musician,2,3,1,3
regret,2,3,1,3
mouse,2,3,1,3
darkness,2,3,0,3
son,2,3,1,3
woke,2,3,1,3
wives,2,3,1,3
advanced,2,3,1,3
tom,2,3,1,3
tolerated,2,3,0,3
crystal,2,3,1,3
smithkline,2,3,1,3
spiritual,2,3,1,3
newborns,2,3,1,3
defense,2,3,0,3
nerves,2,3,1,3
meals,2,3,1,3
snow,2,3,0,3
federally,2,3,1,3
observation,2,3,1,3
instantly,2,3,1,3
comeback,2,3,1,3
disabling,2,3,1,3
shorten,2,3,1,3
village,2,3,1,3
documentary,2,3,1,3
personnel,2,3,1,3
assisted,2,3,0,3
transplants,2,3,1,3
overseeing,2,3,1,3
dignity,2,3,1,3
verbal,2,3,1,3
joy,2,3,1,3
ironic,2,3,0,3
twisted,2,3,1,3
aunt,2,3,1,3
rue,2,3,1,3
guitar,2,3,1,3
indications,2,3,0,3
subjected,2,3,1,3
appeal,2,3,1,3
beg,2,3,1,3
stringent,2,3,1,3
walsh,2,3,0,3
arose,2,3,1,3
hunt,2,3,1,3
differently,2,3,1,3
enjoy,2,3,1,3
suffers,2,3,1,3
sequence,2,3,1,3
operated,2,3,1,3
outbreak,2,3,1,3
unnecessary,2,3,1,3
le,2,3,1,3
ptsd,2,3,1,3
sentence,2,3,2,3
dole,2,3,2,3
dark,2,3,1,3
experiences,2,3,2,3
compassion,2,3,0,3
song,2,3,2,3
export,2,3,1,3
station,2,3,1,3
economies,2,3,2,3
staple,2,3,2,3
spoke,2,3,2,3
fall,2,3,1,3
dreams,2,3,2,3
sclerosis,2,3,1,3
critical,2,3,1,3
cloud,2,3,2,3
cried,2,3,2,3
dropped,2,3,1,3
spiked,2,3,2,3
facility,2,3,2,3
eaten,2,3,1,3
extremely,2,3,1,3
specialists,2,3,2,3
eastern,2,3,2,3
seemingly,2,3,2,3
schedule,2,3,1,3
count,2,3,1,3
replace,2,3,2,3
speech,2,3,2,3
countered,2,3,1,3
cultural,2,3,1,3
curtain,2,3,2,3
deaths,2,3,2,3
chest,2,3,1,3
dig,2,3,2,3
eric,2,3,1,3
rooms,2,3,2,3
tank,2,3,1,3
riding,2,3,2,3
degrees,2,3,2,3
rosemary,2,3,2,3
errors,2,3,2,3
rolling,2,3,1,3
rockets,2,3,1,3
enterprise,2,3,0,3
strictly,2,3,2,3
detroit,2,3,2,3
dependent,2,3,1,3
dennis,2,3,1,3
consent,2,3,2,3
depended,2,3,1,3
signals,2,3,1,3
defender,2,3,1,3
succumbed,2,3,1,3
suburban,2,3,2,3
shaking,2,3,1,3
sex,2,3,2,3
steve,2,3,2,3
distance,2,3,1,3
solid,2,3,0,3
respective,2,3,2,3
sudden,2,3,1,3
debt,2,3,2,3
exceeds,2,3,2,3
charged,2,3,0,3
convulsions,2,3,2,3
tar,2,3,1,3
convicted,2,3,2,3
rule,2,3,2,3
europe,2,3,1,3
evaluation,2,3,2,3
soccer,2,3,2,3
elevated,2,3,2,3
reveals,2,3,1,3
computer,2,3,2,3
shattered,2,3,1,3
soft,2,3,2,3
soften,2,3,1,3
fans,2,3,2,3
crazy,2,3,1,3
infant,2,3,0,3
weekend,2,3,1,3
unaffordable,2,3,2,3
prepared,2,3,1,3
ugly,2,3,1,3
hero,2,3,2,3
licensed,2,3,1,3
herbert,2,3,1,3
weird,2,3,1,3
hearts,2,3,2,3
nutrients,2,3,2,3
leaders,2,3,2,3
occasional,2,3,1,3
unconventional,2,3,1,3
begging,2,3,1,3
leonard,2,3,2,3
cravings,2,3,2,3
transform,2,3,1,3
afternoon,2,3,2,3
prone,2,3,1,3
tremendous,2,3,2,3
guilt,2,3,2,3
guard,2,3,1,3
gross,2,3,2,3
trauma,2,3,1,3
gray,2,3,0,3
book,2,3,2,3
load,2,3,1,3
troops,2,3,1,3
limited,2,3,1,3
hardest,2,3,2,3
happening,2,3,1,3
blind,2,3,2,3
listened,2,3,1,3
hansen,2,3,2,3
programmed,2,3,0,3
battle,2,3,2,3
bathroom,2,3,2,3
lasted,2,3,1,3
appearing,2,3,1,3
inside,2,3,1,3
usage,2,3,2,3
attribute,2,3,2,3
antidotes,2,3,2,3
antidepressant,2,3,1,3
park,2,3,2,3
aside,2,3,2,3
asian,2,3,2,3
april,2,3,1,3
interpreted,2,3,1,3
approaching,2,3,2,3
vessels,2,3,2,3
pays,2,3,2,3
army,2,3,2,3
intensive,2,3,2,3
parker,2,3,2,3
veterans,2,3,0,3
intend,2,3,1,3
participating,2,3,2,3
oxide,2,3,1,3
inevitably,2,3,2,3
playing,2,3,2,3
ordering,2,3,2,3
idol,2,3,2,3
am,2,3,2,3
uniform,2,3,2,3
hyde,2,3,1,3
houston,2,3,2,3
organization,2,3,2,3
incredibly,2,3,2,3
joked,2,3,2,3
physically,2,3,1,3
visits,2,3,1,3
jr,2,3,2,3
pieces,2,3,1,3
unwanted,2,3,0,3
unusual,2,3,2,3
outside,2,3,1,3
pint,2,3,1,3
kentucky,2,3,1,3
hammer,2,3,2,3
lose,2,3,2,3
54,2,3,1,3
450,2,3,2,3
thursday,2,3,2,3
fiscal,2,3,2,3
350,2,3,1,3
2004,2,3,1,3
regulates,2,3,2,3
750,2,3,0,3
83,2,3,1,3
94,2,3,2,3
formulations,2,3,0,3
marked,2,3,2,3
abnormal,2,3,1,3
murder,2,3,0,3
focusing,2,3,2,3
follows,2,3,2,3
following,2,3,2,3
87,2,3,2,3
followed,2,3,0,3
rehab,2,3,2,3
final,2,3,1,3
monumental,2,3,2,3
miners,2,3,2,3
religion,2,3,1,3
zealand,2,3,2,3
features,2,3,2,3
fears,2,3,2,3
feared,2,3,2,3
misunderstanding,2,3,1,3
mistaken,2,3,2,3
fatally,2,3,1,3
fast,2,3,2,3
mine,2,3,2,3
figure,2,3,2,3
yes,2,3,2,3
canadian,2,3,2,3
fields,2,3,2,3
fetuses,2,3,1,3
releases,2,3,2,3
monitors,2,3,1,3
midnight,2,3,2,3
intravenously,2,3,0,3
briefly,2,3,2,3
lovers,2,3,2,3
frustration,2,3,1,3
achieve,2,3,2,3
genes,2,3,1,3
random,2,3,0,3
top,2,3,2,3
window,2,3,2,3
ghosts,2,3,2,3
fueled,2,3,1,3
glaxo,2,3,1,3
manages,2,3,1,3
accomplished,2,3,1,3
french,2,3,2,3
actor,2,3,2,3
rat,2,3,1,3
machine,2,3,0,3
wisconsin,2,3,1,3
francisco,2,3,2,3
culprit,2,3,3,3
painless,2,3,2,3
anyway,2,3,2,3
answered,2,3,3,3
students,2,3,2,3
whites,2,3,2,3
apart,2,3,1,3
lots,2,3,3,3
shake,2,3,2,3
120,2,3,0,3
newspapers,2,3,2,3
partly,2,3,3,3
minute,2,3,1,3
minimum,2,3,2,3
involved,2,3,3,3
disappointment,2,3,1,3
london,2,3,2,3
nine,2,3,1,3
controls,2,3,3,3
nitroglycerin,2,3,2,3
overcome,2,3,3,3
occurred,2,3,3,3
occurring,2,3,2,3
league,2,3,1,3
desired,2,3,2,3
maintaining,2,3,2,3
meaning,2,3,3,3
stays,2,3,2,3
stay,2,3,2,3
led,2,3,3,3
51,2,3,1,3
worker,2,3,1,3
wore,2,3,1,3
legs,2,3,2,3
dependence,2,3,3,3
consuming,2,3,2,3
management,2,3,3,3
wondered,2,3,2,3
maintains,2,3,3,3
limiting,2,3,1,3
contend,2,3,3,3
volunteers,2,3,1,3
26,2,3,1,3
killed,2,3,3,3
needing,2,3,2,3
2002,2,3,2,3
defended,2,3,2,3
33,2,3,2,3
alter,2,3,2,3
consequences,2,3,2,3
altered,2,3,2,3
49,2,3,1,3
36,2,3,0,3
determines,2,3,2,3
presents,2,3,2,3
pretty,2,3,2,3
cleared,2,3,2,3
heading,2,3,2,3
tuesday,2,3,1,3
classic,2,3,3,3
blame,2,3,2,3
blamed,2,3,2,3
handle,2,3,1,3
clock,2,3,2,3
close,2,3,3,3
existing,2,3,3,3
friend,2,3,3,3
dumped,2,3,2,3
earlier,2,3,2,3
handed,2,3,1,3
totally,2,3,3,3
ready,2,3,1,3
entering,2,3,1,3
pushed,2,3,3,3
reads,2,3,2,3
brandy,2,3,0,3
road,2,3,2,3
fourth,2,3,1,3
promotes,2,3,3,3
rage,2,3,2,3
ritalin,2,3,1,3
talk,2,3,3,3
ravaged,2,3,2,3
friday,2,3,3,3
girl,2,3,1,3
choosing,2,3,2,3
prompted,2,3,0,3
recognition,2,3,2,3
cited,2,3,2,3
reviews,2,3,3,3
protest,2,3,2,3
protocol,2,3,0,3
gradually,2,3,1,3
recalls,2,3,2,3
former,2,3,3,3
training,2,3,3,3
recalled,2,3,3,3
tragedy,2,3,2,3
asia,2,3,3,3
feeding,2,3,1,3
expecting,2,3,3,3
van,2,3,2,3
double,2,3,0,3
doubled,2,3,1,3
instructed,2,3,2,3
phone,2,3,3,3
car,2,3,1,3
assumption,2,3,2,3
perspective,2,3,0,3
ingesting,2,3,1,3
suicidal,2,3,3,3
facts,2,3,2,3
suicide,2,3,3,3
user,2,3,1,3
percentage,2,3,3,3
unfortunately,2,3,2,3
barely,2,3,3,3
experienced,2,3,1,3
hurt,2,3,3,3
unique,2,3,2,3
howard,2,3,3,3
capacity,2,3,3,3
thanks,2,3,2,3
vein,2,3,2,3
series,2,3,1,3
remained,2,3,2,3
unpleasant,2,3,2,3
fell,2,3,2,3
vast,2,3,1,3
dispensing,2,3,1,3
remaining,2,3,3,3
rendered,2,3,3,3
faster,2,3,4,3
read,2,3,3,3
stable,2,3,2,3
expected,2,3,3,3
expert,2,3,4,3
moderate,2,3,1,3
faces,2,3,3,3
focus,2,3,3,3
keeping,2,3,3,3
signs,2,3,4,3
option,2,3,4,3
increasing,2,3,3,3
shows,2,3,3,3
introduce,2,3,3,3
seven,2,3,1,3
indicating,2,3,3,3
open,2,3,3,3
genetically,2,3,3,3
gained,2,3,1,3
dispensed,2,3,3,3
sample,2,3,2,3
house,2,3,3,3
ones,2,3,4,3
office,2,3,3,3
due,2,3,3,3
destroy,2,3,4,3
hate,2,3,4,3
limits,2,3,3,3
32,2,3,3,3
confirmed,2,3,4,3
stricken,2,3,4,3
calling,2,3,3,3
throughout,2,3,4,3
street,2,3,1,3
akin,2,3,4,3
argue,2,3,3,3
70,2,3,3,3
components,2,3,2,3
atlanta,2,3,4,3
unit,2,3,1,3
contrast,2,3,1,3
breaks,2,3,4,3
bodies,2,3,4,3
stand,2,3,4,3
between,2,3,3,3
blend,2,3,2,3
total,2,3,1,3
america,2,3,4,3
underwent,2,3,2,3
600,2,3,3,3
story,2,3,3,3
behind,2,3,3,3
capsule,2,3,2,3
sodium,2,3,0,3
barbiturate,2,3,0,3
executions,2,3,0,3
oklahoma,2,3,0,3
inmate,2,3,0,3
animal,2,3,0,3
thereby,2,3,0,3
person,2,3,0,3
concentration,2,3,0,3
uses,2,3,0,3
risk,2,3,1,3
encounter,2,3,0,3
records,2,3,0,3
challenged,2,3,0,3
row,2,3,0,3
formerly,2,3,0,3
literally,2,3,0,3
cruel,2,3,0,3
amounted,2,3,1,3
used,2,3,2,3
context,2,3,0,3
mentally,2,3,0,3
earth,2,3,0,3
agent,2,3,1,3
suitable,2,3,1,3
detailed,2,3,0,3
flexibility,2,3,0,3
lasting,2,3,0,3
short,2,3,2,3
normally,2,3,2,3
bring,2,3,0,3
names,2,3,0,3
asleep,2,3,0,3
effectively,2,3,1,3
increases,2,3,1,3
came,2,3,0,3
quantities,2,3,1,3
supplied,2,3,1,3
it,2,3,3,3
primarily,2,3,0,3
nor,2,3,1,3
blood,2,3,1,3
cause,2,3,3,3
not,2,3,4,3
either,2,3,2,3
be,2,3,2,3
versions,2,3,1,3
opium,1,3,0,3
hashish,1,3,0,3
kilos,1,3,0,3
tons,1,3,0,3
intercepted,1,3,0,3
demerol,1,3,0,3
painkiller,1,3,2,3
addiction,1,3,1,3
tonnes,1,3,0,3
addictive,1,3,0,3
versed,1,3,0,3
processed,1,3,0,3
poppies,1,3,0,3
confiscated,1,3,0,3
seized,1,3,0,3
derivative,1,3,0,3
sulfate,1,3,1,3
ativan,1,3,0,3
haze,1,3,0,3
sandman,1,3,0,3
dying,1,3,2,3
tonne,1,3,0,3
poppy,1,3,0,3
hydrochloride,1,3,1,3
tablets,1,3,6,3
ease,1,3,1,3
seizure,1,3,0,3
drips,1,3,0,3
relieve,1,3,5,3
substances,1,3,3,3
him,1,3,3,3
urine,1,3,2,3
epidural,1,3,0,3
percocet,1,3,0,3
kilogrammes,1,3,0,3
hospice,1,3,0,3
dosages,1,3,1,3
derivatives,1,3,1,3
afghanistan,1,3,1,3
ounce,1,3,1,3
157,1,3,0,3
pumps,1,3,0,3
traffickers,1,3,0,3
499,1,3,0,3
diazepam,1,3,0,3
southwestern,1,3,0,3
medic,1,3,0,3
converted,1,3,0,3
sedated,1,3,0,3
detected,1,3,3,3
trace,1,3,2,3
quinine,1,3,1,3
analgesic,1,3,1,3
hastened,1,3,0,3
63,1,3,0,3
121,1,3,0,3
hydrocodone,1,3,0,3
sulphate,1,3,0,3
tyrone,1,3,0,3
chagai,1,3,0,3
anesthetics,1,3,0,3
nns7,1,3,0,3
irna,1,3,0,3
endorphins,1,3,0,3
ammunition,1,3,0,3
baffert,1,3,0,3
yazd,1,3,0,3
strychnine,1,3,0,3
pcp,1,3,0,3
hidden,1,3,1,3
worldwide,1,3,3,3
habit,1,3,2,3
relieved,1,3,1,3
laboratories,1,3,0,3
sister,1,3,1,3
stash,1,3,1,3
spinal,1,3,2,3
raw,1,3,1,3
analgesics,1,3,1,3
vicodin,1,3,1,3
derived,1,3,3,3
like,1,3,8,3
smuggling,1,3,1,3
official,1,3,1,3
filly,1,3,0,3
recreational,1,3,0,3
288,1,3,0,3
gladwin,1,3,0,3
addled,1,3,0,3
strasbourg,1,3,0,3
939,1,3,0,3
440,1,3,0,3
tent,1,3,0,3
pathway,1,3,0,3
abney,1,3,0,3
groggy,1,3,0,3
mandrax,1,3,0,3
arms,1,3,0,3
drugged,1,3,0,3
including,1,3,5,3
victims,1,3,1,3
excessive,1,3,4,3
schiavo,1,3,0,3
stewards,1,3,1,3
horses,1,3,1,3
alleviate,1,3,4,3
woman,1,3,3,3
ventilator,1,3,1,3
stole,1,3,0,3
implanted,1,3,1,3
hart,1,3,1,3
stealing,1,3,0,3
haul,1,3,0,3
khorasan,1,3,0,3
valencia,1,3,0,3
nautical,1,3,0,3
clenbuterol,1,3,0,3
orchestra,1,3,0,3
smuggled,1,3,0,3
smugglers,1,3,0,3
mcgown,1,3,0,3
ganja,1,3,0,3
204,1,3,0,3
weitzel,1,3,0,3
methamphetamines,1,3,0,3
transported,1,3,0,3
buprenorphine,1,3,0,3
152,1,3,0,3
shipman,1,3,0,3
nanograms,1,3,0,3
manslaughter,1,3,0,3
drobny,1,3,0,3
ambulance,1,3,0,3
lugosi,1,3,0,3
being,1,3,5,3
compounds,1,3,4,3
manufacture,1,3,2,3
relieving,1,3,3,3
fluids,1,3,3,3
extracted,1,3,2,3
weaned,1,3,1,3
intake,1,3,3,3
medicated,1,3,1,3
respiratory,1,3,3,3
widely,1,3,6,3
agony,1,3,0,3
sergeant,1,3,0,3
