,food,fish,plant,fruit,no-cat,vehicle,all,yellow,mammal,relation,bird,object,vegetable,measure,animal,mean
water,0.0009827827274466255,0.0,0.0,0.0,0.0,0.0,0.0012350492466402941,0.0,0.0,0.001152279976251315,0.0,0.0012713075448411795,0.0,0.0,0.0,0.00030942796634529423
garlic,0.0028727938771254697,0.0,0.003056497255575425,0.0,0.0,0.0,0.002822645520620982,0.0,0.0,0.0,0.0,0.0028781662748324573,0.0,0.0,0.0,0.0007753401952102889
lobster,0.0009033818078892735,0.0,0.0,0.0,0.0,0.0,0.001024718556219652,0.0,0.0,0.0,0.0,0.0010476829215170255,0.0,0.0,0.0012145947588858344,0.0002793585363007857
huckleberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.004839347600480787,0.0,0.0050408859177421906,0.0,0.0,0.0,0.005161085148130352,0.0,0.0,0.0,0.0,0.0051441627706016796,0.0048544419386874395,0.0,0.0,0.0016693282250428297
grape,0.0036666233507981322,0.0,0.004204052832889397,0.003840695266886408,0.00490752889145769,0.0,0.004140406297416939,0.0,0.0,0.0,0.0,0.004269850332610671,0.0,0.0,0.0,0.0016686104648039493
tomato,0.0009777184593556662,0.0,0.001073561932663909,0.0,0.0,0.0,0.0010261642752808899,0.0,0.0,0.0,0.0,0.0010459828318532048,0.0009797846984341831,0.0,0.0,0.0003402141465058569
vegetable,0.00477284036837523,0.0,0.005225088783024408,0.0,0.0,0.0,0.005379036944287203,0.0,0.0,0.0,0.0,0.005440235061269489,0.0050387564183797355,0.0,0.0,0.0017237305050224045
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milk,0.006956988489774457,0.0,0.0,0.0,0.0,0.0,0.007656460518486264,0.0,0.0,0.006753849632237929,0.0,0.0,0.0,0.0,0.0,0.0014244865760332434
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,0.003961631652061831,0.0,0.004416384065513085,0.0,0.0,0.0,0.004312475805378001,0.0,0.0,0.0,0.0,0.004420450280925807,0.0,0.0,0.0,0.0011407294535919147
dog,0.00043088843327921436,0.0,0.0,0.0,0.0007000433154064924,0.0,0.000571734250826469,0.0,0.0,0.0,0.0,0.0006039528851770801,0.0,0.0,0.0,0.00015377459231261705
lime,0.001882313941820349,0.0,0.0019860743822661393,0.0018640245633798317,0.0,0.0,0.0018972680880399407,0.0,0.0,0.0015748336772463596,0.0,0.001937341535012034,0.0,0.0,0.0,0.0007427904125176435
bean,0.0023410615307093725,0.0,0.0025916487689599185,0.0023847387665471387,0.0,0.0,0.002608532033047151,0.0,0.0,0.0,0.0,0.0027266856906934655,0.0024433892314937,0.0,0.0,0.001006403734763383
pawpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goldfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marigold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buttercup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flower,0.0,0.0,0.0013406410247194676,0.0,0.0,0.0,0.0017307599467473174,0.0,0.0,0.0,0.0,0.0016979104242486926,0.0,0.0,0.0,0.0003179540930476985
pansy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daffodil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orchid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sunflower,0.0,0.0,0.004852425811326352,0.0,0.0,0.0,0.004934322759212001,0.0,0.0,0.0,0.0,0.004820159049425203,0.0,0.0,0.0,0.0009737938413309037
daisy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
locust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dandelion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eucalyptus,0.0,0.0,0.002918874842951391,0.0,0.0,0.0,0.0028543292725442776,0.0,0.0,0.0023819722638537457,0.0,0.003038714101573113,0.0,0.0,0.0,0.0007462593653948351
pecan,0.0,0.0,0.002692654538920637,0.0027626055487923935,0.0,0.0,0.0026610783745310775,0.0,0.0,0.002372457254391289,0.0,0.0027091621185089698,0.0,0.0,0.0,0.0008798638556762912
walnut,0.0,0.0,0.0029425539495956266,0.0023800510335789966,0.0,0.0,0.0027753757100576794,0.0,0.0,0.0021651925884039395,0.0,0.003083732417455385,0.0,0.0,0.0,0.0008897937132727752
pistachio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fir,0.0,0.0,0.0013767449130690937,0.0,0.0,0.0,0.0013985962323699618,0.0,0.0,0.001291438454062582,0.0,0.0014853152046940112,0.0,0.0,0.0,0.0003701396536130432
cactus,0.0,0.0,0.0021780137267286208,0.0,0.0,0.0,0.002231834909205466,0.0,0.0,0.0,0.0,0.0023738545060344846,0.0,0.0,0.0,0.00045224687613123804
lemongrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
willow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.01068228315892188,0.0,0.008244044429797011,0.0,0.0,0.0,0.0,0.008164527410232039,0.0,0.0,0.012347595488643762,0.002629230032506313
cannon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taxi,0.0,0.0,0.0,0.0,0.0,0.0,0.00019152129284551647,0.0,0.0,0.0,0.0,0.00018991976811031064,0.0,0.0,0.0,2.542940406372181e-05
tank,0.0,0.0,0.0,0.0,0.0,0.0,0.0002041283189630438,0.0,0.0,0.0,0.0,0.0002121000838746686,0.0,0.0002167415716469173,0.0,4.2197998298975315e-05
car,0.0,0.0,0.0,0.0,0.0,0.0,0.0001236376050003889,0.0,0.0,0.0,0.0,0.00012853916021709816,0.0,0.0,0.0,1.681178434783247e-05
pyramid,0.0,0.0,0.0,0.0,0.0,0.0,0.0003920557253228999,0.0,0.0,0.00042838150724544506,0.0,0.0,0.0,0.0,0.0,5.469581550455634e-05
sun,0.0,0.0,0.0,0.0,0.0,0.0,9.113783587143623e-05,0.0,0.0,0.0,0.0,9.223730872551746e-05,0.0,0.0,0.0,1.2225009639796913e-05
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sandpaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sunbeam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corncob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paint,0.0,0.0,0.0,0.0,0.0,0.0,0.000790378719177729,0.0,0.0,0.0007628144784742082,0.0,0.0007793021549461237,0.0,0.0,0.0,0.00015549969017320407
bee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0006818481137009473,0.0,0.0,0.0,0.0,0.0006664009357597827,0.0,0.0,0.0,8.988326996404867e-05
wasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0005419221014198664,0.0,0.0,0.0,0.0,0.0005633408065523198,0.0,0.0,0.0,7.368419386481242e-05
fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seaweed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lagoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0,0.0,0.0,0.0030279830775134793,0.0,0.0,0.0,0.0,0.0031595621009461363,0.0,0.0,0.0,0.00041250301189730773
night,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0032091066608755706,0.0,0.0,0.0,0.0,0.003455075436713091,0.0,0.0,0.005267022408127146,0.0007954136337143872
football,0.0,0.0,0.0,0.0,0.0,0.0,0.00015390114387979815,0.0,0.0,0.0,0.0,0.00015975134859058052,0.0,0.0,0.0,2.0910166164691915e-05
human,0.0,0.0,0.0,0.0,0.0,0.0,8.897661056718012e-05,0.0,0.0,0.0,0.0,9.528394362409568e-05,0.0,0.0,0.0,1.2284036946085053e-05
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheep,0.0,0.0,0.0,0.0,0.0,0.0,0.000844104955518142,0.0,0.0012570383856355296,0.0,0.0,0.0009216321086742083,0.0,0.0,0.00130522839553523,0.000288533589690874
jean,0.0,0.0,0.0,0.0,0.0,0.0,5.536489437718248e-05,0.0,0.0,0.0,0.0,5.803507368432715e-05,0.0,0.0,0.0,7.559997870767309e-06
cricket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peacock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cloak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.001701010629563518,0.0,0.0,0.0,0.0,0.001719168920857993,0.0,0.0015929605649474617,0.0,0.0003342093410245982
tire,0.0,0.0,0.0,0.0,0.0,0.0,0.00026464062565899603,0.0,0.0,0.0,0.0,0.00026907855843528,0.0,0.0,0.0,3.55812789396184e-05
calf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
piano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clarinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emerald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plumeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
