,vehicle,all,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,mean
phaeton,0.0,0.0,,,,0.0,,,,,,,0.0
taxi,0.0,0.0,,,,0.0,,,,,,,0.0
junk,0.0009057310768994122,0.0010380167685960465,,,,0.0010314364444314599,,,,,0.001182132166008841,,0.00103932911398394
steamer,0.0,0.0,0.0,,,0.0,,0.0,,,,,0.0
interceptor,0.0,0.0,,,,0.0,,,,,,,0.0
boat,0.0012670791710251712,0.0013898618714161682,,,,0.0013808900999019173,,,,,,,0.001345943714114419
shell,0.0003732887035456779,0.00042925761266370167,,,,0.0004262916655269841,,,,,0.0005082149306983677,,0.0004342632281086828
saloon,0.0,0.0,,,,0.0,,,,,,,0.0
ferry,0.00028857720281019435,0.0003072475467924457,,,,0.00030628699200150916,,,,,,,0.00030070391386804974
ship,0.0013881698852862966,0.0014143066904091879,,,,0.0014106210510628453,,,,,,,0.00140436587558611
cart,0.0,0.0,,,,0.0,,,,,,,0.0
jalopy,0.0,0.0,,0.0,,0.0,,,,,,,0.0
lorry,0.0,0.0,,,,0.0,,,,,,,0.0
forklift,0.0,0.0,,,,0.0,,,,,,,0.0
wren,,0.0,0.0,,0.0,0.0,,,,,,,0.0
flycatcher,,0.0,0.0,,0.0,0.0,,,,,,,0.0
stork,,0.0,0.0,,0.0,0.0,,,,,,,0.0
budgie,,0.0,0.0,,0.0,0.0,,,,,,,0.0
pelican,,0.0,0.0,,0.0,0.0,,,,,,,0.0
vulture,,0.07350861485685005,0.06317657163173351,,0.0635534228027833,0.074159585362792,,,,,,,0.06859954866353972
kite,,0.0027476759790508384,0.0026536210901105008,0.0027557071146427415,0.0028891198170516597,0.002749694478635199,,,,,,,0.002759163695898188
nightingale,,0.0,0.0,,0.0,0.0,,,,,,,0.0
tit,,0.0,0.0,,0.0,0.0,,,,,,,0.0
hawk,,0.005472617178217314,0.005214651549819998,,0.005932933355668952,0.00547085212673343,,,,,,,0.005522763552609924
chinook,,0.00201621984958404,0.0019206069828958704,,,0.0020162449111874856,,0.001959125687066646,,0.0020435661488156414,,,0.0019911527159099363
flicker,,0.0,0.0,,0.0,0.0,,,,,,,0.0
marabou,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0
pigeon,,0.0,0.0,,0.0,0.0,,,,,,,0.0
sky,,0.015734072725031613,,,,,,,0.016476248641543564,,,,0.016105160683287587
toy,,0.0005068764039903059,0.0005069472241228487,,,0.0005060504778647911,0.0005058872175527933,,,,,,0.0005064403308826847
seagull,,0.0,0.0,,0.0,0.0,,,,,,,0.0
albatross,,0.0,0.0,,0.0,0.0,,,,,,,0.0
fowl,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0
crow,,0.0,0.0,,0.0,0.0,,,,,,,0.0
skylark,,0.0,0.0,,0.0,0.0,,,,,,,0.0
owl,,0.0,0.0,,0.0,0.0,,,,,,,0.0
gull,,0.01193180003122767,0.009747539176170382,,0.011824762566932514,0.011918541914048467,,,,,,,0.011355660922094758
butterfly,,0.0004949713562398662,0.00048766191275374625,,,0.0004941456749323975,,,,,,,0.0004922596479753367
arrow,,0.002881962098200191,,0.0028098456219039255,,0.0028790999126292456,,,0.002893471820447296,,,,0.002866094863295165
wing,,0.0003562375587821435,,,,0.0003562940685666321,,,,,,0.00032228959543130996,0.00034494040759336185
loon,,0.0,0.0,,0.0,0.0,,,,,,,0.0
snowbird,,0.0,0.0,,0.0,0.0,,,,,,,0.0
duck,,0.00032543670851303933,0.0003428480402237464,,0.0003903708723687752,0.00032530601779874233,,0.00031502900466461254,,,,0.00023302604927811395,0.00032200278214117165
robin,,0.0,0.0,,0.0,0.0,,,,,,,0.0
pheasant,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0
woodpecker,,0.0,0.0,,0.0,0.0,,,,,,,0.0
quail,,0.0014973685133179244,0.0013191904396023712,,0.0018082298337296328,0.001496478667562698,,0.0012469606104749983,,,,,0.001473645612937525
puffin,,0.0,0.0,,0.0,0.0,,,,,,,0.0
seal,,0.000521205309715516,0.0005532986828202013,0.00041382254362660445,,0.000515614391144669,0.0,,,,0.0005578940052341539,,0.0004269724887568575
titi,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0
sheepshead,,0.0,0.0,,,0.0,,,,0.0,,,0.0
giraffe,,0.0,0.0,,,0.0,0.0,,,,,,0.0
basset,,0.0,0.0,,,0.0,0.0,,,,,,0.0
ass,,0.0,0.0,,,0.0,0.0,,,,,,0.0
monkey,,0.0008148879100887215,0.0009417006680608431,,,0.0008237202472744212,0.000977681130730742,,,,,,0.000889497489038682
razorback,,0.0,0.0,,,0.0,0.0,,,,,,0.0
skimmer,,0.0,0.0,,0.0,0.0,,,,,,,0.0
lemur,,0.0,0.0,,,0.0,0.0,,,,,,0.0
hog,,0.0,0.0,,,0.0,0.0,,,,,,0.0
chick,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0
bream,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
catfish,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
roebuck,,0.0,0.0,,,0.0,0.0,,,,,,0.0
whistler,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0
sunfish,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
mola,,0.004907052463619658,0.005885589341646185,,,0.004996480158950367,,,,0.007185181657286357,,,0.0057435759053756415
penguin,,0.0,0.0,,0.0,0.0,,,,,,,0.0
haddock,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
mouse,,0.0004899293545368042,0.0005258517721333177,,,0.0004870045006937741,0.0005744293512003522,,,,,,0.000519303744641062
silverback,,0.0,0.0,,,0.0,0.0,,,,,,0.0
hind,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0
barnacle,,0.0,0.0,,0.0,0.0,,,,,,,0.0
rudd,,0.0,0.0,,,0.0,,,,0.0,,,0.0
buffalo,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0
emu,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0
stallion,,0.0024764940483541762,0.0028002293787195653,,,0.0024887293778355366,0.0030920195788046983,,,,,,0.0027143680959284943
minnow,,0.0,0.0,,,0.0,,,,0.0,,,0.0
poacher,,0.0,0.0,,,0.0,,,,0.0,,,0.0
watchdog,,0.00022893288026150214,0.00024017369210597135,,,0.00023035880604710092,0.0,,,,,,0.0001748663446036436
bobcat,,0.0,0.0,,,0.0,0.0,,,,,,0.0
tortoise,,0.0,0.0,,,0.0,,,0.0,,,,0.0
shark,,0.0009375556929656618,0.0010080429053531275,,,0.0009397125964317167,,,,0.0009039293769249344,,,0.00094731014291886
ostrich,,0.0,0.0,,0.0,0.0,,,,,,,0.0
tiger,,0.0,0.0,,,0.0,0.0,,,,,,0.0
armadillo,,0.0,0.0,,,0.0,0.0,,,,,,0.0
grouper,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
zebra,,0.0,0.0,,,0.0,0.0,,,,,,0.0
stock,,0.0015722195504955438,0.0016462807921818726,0.0012120670833603371,,0.001568898713809867,0.0019156948911151028,0.0015021041602879997,0.0014708139222634226,,0.001959859118723057,,0.0016059922790296506
mammal,,0.0,0.0,,,0.0,0.0,,,,,,0.0
gnu,,0.0,0.0,,,0.0,0.0,,,,,,0.0
ounce,,0.0003797752099504483,0.0004090278022959647,,,0.0003852746246784182,0.0003916839311429915,,,,,0.0004006656789501009,0.0003932854494035847
knot,,0.0026587645379962895,0.0028748320037464002,,0.003037189767905726,0.002663064056772441,,,,,0.0030687043827636695,0.0027439974405358736,0.0028410920316200663
pussy,,0.0,0.0,,,0.0,0.0,,,,,,0.0
groundhog,,0.0,0.0,,,0.0,0.0,,,,,,0.0
turtle,,0.0,0.0,,,0.0,,,0.0,,,,0.0
rabbit,,0.0009129491113600838,0.0010325027688304015,,,0.0009136485530048078,0.0,0.0008363518272725163,,,0.000986164510177488,,0.0007802694617742163
jade,,0.0,0.0,,,0.0,0.0,,,,,,0.0
fryer,,0.0,,,0.0,,,0.0,,,,,0.0
lion,,0.00031632123308962453,0.0003547239652203518,,,0.0003148941975925752,0.0,,,,,,0.0002464848489756379
amberjack,,0.0,0.0,,,0.0,,,,0.0,,,0.0
ape,,0.0,0.0,,,0.0,0.0,,,,,,0.0
deer,,0.0009235863558532011,0.001089498114984002,,,0.0009194937694951314,0.000899936770384944,,,,,,0.0009581287526793196
chow,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0
howler,,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0
plaice,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
