,food,plant,all,relation,bird,object,fruit,measure,animal,round,mean
cherry,0.005162956238335865,0.006712558451947524,0.006255805165835429,0.005912984557674617,0.0,0.0071863977520458385,0.00594920303534177,0.0,0.0,0.0,0.0037179905201181044
orange,0.013463387777402335,0.015001990829003081,0.015518456397009332,0.014890230581535914,0.0,0.01711450520417835,0.01420292674449259,0.0,0.0,0.0,0.00901914975336216
marzipan,0.0338883921681606,0.0,0.04097182041004831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00748602125782089
salad,0.01872961286306965,0.0,0.02041374761107175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00391433604741414
omelette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.00981541613300939,0.0,0.011123639155723435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002093905528873283
cheeseburger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.061485263338720196,0.0679173370133596,0.06624729138204749,0.0,0.0,0.07144507597314559,0.06669383626781576,0.0,0.0,0.0,0.033378880397508866
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doughnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cantaloupe,0.019705969780151093,0.021648061347310017,0.020183304765275245,0.0,0.0,0.020172128658614452,0.019851138382764297,0.0,0.0,0.0,0.01015606029341151
cookie,0.0003191925810317323,0.0,0.0003560733903015033,0.0,0.0,0.00036870401554912923,0.0,0.0,0.0,0.0,0.0001043969986882365
blueberry,0.015006553865500172,0.016330383133053294,0.016627789551129594,0.0,0.0,0.017634268422426057,0.015140603031329622,0.0,0.0,0.0,0.008073959800343875
pineapple,0.02890884237210671,0.0295590058045576,0.031456376528922775,0.0,0.0,0.03300882595324049,0.026458617211538485,0.0,0.0,0.0,0.014939166787036606
dough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.010306898805060182,0.010688563271282288,0.011216730032644616,0.0,0.0,0.011974391241880569,0.0,0.0,0.0,0.0,0.004418658335086765
coconut,0.004515818699993985,0.004870703562400095,0.004952204697139653,0.0,0.0,0.005368015977051364,0.004851968564504485,0.0,0.0,0.0,0.0024558711501089583
dessert,0.006978941245861755,0.0,0.007842366913993103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001482130815985486
pudding,0.004066110232346885,0.0,0.004404149379354732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008470259611701617
patty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.011888189243180067,0.012744859538916527,0.013307204280920281,0.0,0.0,0.013455587728038357,0.0,0.0,0.0,0.0,0.005139584079105523
vegetable,0.014333348666575924,0.014407263250124938,0.015486810424813192,0.0,0.0,0.016447116184854914,0.0,0.0,0.0,0.0,0.006067453852636897
condiment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion,0.0011234962737041677,0.0011170231812925998,0.0011568624833389373,0.0,0.0,0.0011456087038072005,0.0,0.0,0.0,0.0,0.0004542990642142905
sauce,0.010802849368663756,0.0,0.01093562071875552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021738470087419278
butter,0.001638926570412733,0.0,0.0017263338551542784,0.0,0.0,0.0016718475963743951,0.0,0.0,0.0,0.0,0.0005037108021941406
puree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.003796455628370863,0.0,0.004285798940163758,0.0,0.0,0.00454781093153293,0.0,0.0,0.0,0.0,0.001263006550006755
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mozzarella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepperoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lolly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato,0.0034027903252919134,0.003651081138806123,0.003766144168275027,0.0,0.0,0.003868786112876833,0.0,0.0,0.0,0.0,0.0014688801745249894
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biscuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bean,0.0016592908605954223,0.0018258660286044742,0.001832632583199258,0.0,0.0,0.001952351897897199,0.0015844294669842443,0.0,0.0,0.0,0.0008854570837280598
candy,0.0015957102717949968,0.0,0.0018798350262053162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003475545298000313
bread,0.0012596350918703512,0.0,0.0013418055795080626,0.0,0.0,0.0,0.0,0.0013114228414044871,0.0,0.0,0.0003912863512782901
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.001370258775529543,0.0,0.0015739998515497912,0.0014442949042862679,0.0,0.0,0.0,0.0,0.0,0.0,0.00043885535313656024
seasoning,0.004359993441766628,0.0,0.0048997874349220715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009259780876688699
mayonnaise,0.005553822782807428,0.0,0.005723385425602054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011277208208409482
chicken,0.002701425527942718,0.0,0.002885186160884889,0.0,0.0029324772544701613,0.002727701194650331,0.0,0.0,0.002738408418649888,0.0,0.0013985198556597986
coleslaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marshmallow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popcorn,0.0012826678572707706,0.0010464607600776529,0.0014982052303607275,0.0,0.0,0.0014127828647274147,0.0,0.0,0.0,0.0,0.0005240116712436566
cornmeal,0.002725021005616654,0.0,0.002953550035831394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005678571041448048
gourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
box,0.0,0.0028970213539531308,0.002947953679549548,0.0,0.0,0.0034301989584188085,0.0,0.0035987754849615065,0.0,0.0,0.0012873949476882994
pecan,0.0,0.00474550353030978,0.004944933480705803,0.0038843161519233264,0.0,0.004956443184559708,0.003899144634543797,0.0,0.0,0.0,0.0022430340982042417
peanut,0.0,0.0010981964695517276,0.0009765341104306771,0.0,0.0,0.0010107760720028834,0.0007912849676585933,0.0,0.0,0.0,0.0003876791619643881
almond,0.0,0.017896196286699608,0.022100838567693508,0.0,0.0,0.021922347948747763,0.017843614223304993,0.0,0.0,0.0,0.007976299702644588
cube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk,0.0,0.0,0.0002750572707780032,0.0,0.0,0.0003259277640771983,0.0,0.0,0.0,0.0,6.009850348552015e-05
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruit,0.0,0.0,0.10560278217531413,0.0,0.0,0.11271391470948602,0.08898881961265336,0.0,0.0,0.0,0.030730551649745353
button,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tray,0.0,0.0,0.002558149901608444,0.0,0.0,0.0028648101342891676,0.0,0.0,0.0,0.0,0.0005422960035897612
barrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basketball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
globe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,0.0,0.0,0.0006771332941239906,0.0,0.0,0.0008056347926415124,0.0,0.0009449417179118554,0.0,0.0,0.00024277098046773582
bracelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frisbee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can,0.0,0.0,0.0005859053714921803,0.0,0.0,0.0006559281179526772,0.0,0.0,0.0,0.0,0.00012418334894448573
circle,0.0,0.0,0.0006905116453860047,0.0008096307374516835,0.0,0.0008217859593396577,0.0,0.0,0.0,0.0,0.0002321928342177346
sphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bowl,0.0,0.0,0.018480400507876457,0.0,0.0,0.021185209195392733,0.0,0.01973891777952657,0.0,0.0,0.005940452748279576
nut,0.0,0.0,0.0059702508500611715,0.0,0.0,0.006834048487523055,0.006239974733389038,0.007805682483529169,0.0,0.0,0.0026849956554502435
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world,0.0,0.0,0.0003186958329424769,0.0,0.0,0.0003640055057846345,0.0,0.0,0.0003163400950833517,0.0,9.990414338104632e-05
spoon,0.0,0.0,0.0016885522960805473,0.0,0.0,0.0019092732257676127,0.0,0.002142793485346454,0.0,0.0,0.0005740619007194613
hubcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bedroom,0.0,0.0,0.0006021315798143739,0.0,0.0,0.0007158752400814056,0.0,0.0,0.0,0.0,0.00013180068198957796
ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ashtray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
planet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dresser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
room,0.0,0.0,0.00010700519617009102,0.00011257042638505724,0.0,0.00010907189550909841,0.0,0.0,0.0,0.0,3.286475180642467e-05
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.0,0.0010701051716707714,0.0,0.0,0.0010599587020174363,0.0,0.0010752298418873123,0.0,0.0,0.00032052937155755193
drumstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
