pair,label,prop-specific,non-specific,p,l,n,i,r,b,u
"('warm', 'gown')",pos,2.0,20.0,0.0,2.0,0.0,16.0,4.0,0.0,288.0
"('warm', 'nightgown')",pos,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,59.5
"('warm', 'hat')",pos,0.5,27.5,0.0,0.5,0.0,20.5,5.5,1.5,456.5
"('warm', 'soup')",pos,5.0,35.333333333333336,0.3333333333333333,4.666666666666667,0.0,28.0,5.333333333333333,2.0,297.3333333333333
"('warm', 'dragon')",pos,1.6666666666666667,39.666666666666664,0.0,1.6666666666666667,0.0,32.0,6.666666666666667,1.0,671.3333333333334
"('warm', 'wool')",pos,2.6666666666666665,34.0,1.0,1.6666666666666667,0.0,25.333333333333332,8.0,0.6666666666666666,418.0
"('warm', 'waistcoat')",pos,0.0,13.0,0.0,0.0,0.0,9.0,4.0,0.0,97.5
"('warm', 'topcoat')",pos,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,28.0
"('warm', 'boot')",pos,1.0,29.0,0.0,1.0,0.0,22.5,4.5,2.0,511.5
"('warm', 'vinyl')",pos,1.5,29.0,0.0,1.5,0.0,19.0,7.0,3.0,413.0
"('warm', 'shawl')",pos,0.0,19.0,0.0,0.0,0.0,12.0,7.0,0.0,180.5
"('warm', 'winter')",pos,1.5,33.5,1.0,0.5,0.0,21.0,8.5,4.0,424.0
"('warm', 'bed')",pos,4.0,49.0,1.0,3.0,0.0,38.0,11.0,0.0,662.5
"('warm', 'linen')",pos,2.0,30.333333333333332,0.0,2.0,0.0,22.0,7.666666666666667,0.6666666666666666,350.6666666666667
"('warm', 'water')",pos,5.5,53.25,1.0,4.5,0.0,38.5,12.25,2.5,700.5
"('warm', 'underwear')",pos,2.0,32.5,0.0,2.0,0.0,25.5,6.0,1.0,459.0
"('warm', 'necktie')",pos,0.0,11.0,0.0,0.0,0.0,8.0,2.0,1.0,138.5
"('warm', 'outerwear')",pos,1.0,13.5,1.0,0.0,0.0,10.5,3.0,0.0,93.0
"('warm', 'slipper')",pos,0.0,14.5,0.0,0.0,0.0,13.0,0.5,1.0,207.5
"('warm', 'flannel')",pos,0.0,14.5,0.0,0.0,0.0,12.0,2.5,0.0,141.0
"('warm', 'cheesecloth')",pos,1.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,37.5
"('warm', 'feather')",pos,0.6666666666666666,40.333333333333336,0.6666666666666666,0.0,0.0,31.333333333333332,8.666666666666666,0.3333333333333333,480.3333333333333
"('warm', 'cake')",pos,5.0,35.333333333333336,0.6666666666666666,4.333333333333333,0.0,27.666666666666668,6.0,1.6666666666666667,387.6666666666667
"('warm', 'atmosphere')",pos,3.3333333333333335,23.666666666666668,1.0,2.3333333333333335,0.0,15.0,6.333333333333333,2.3333333333333335,432.6666666666667
"('warm', 'frock')",pos,0.0,9.0,0.0,0.0,0.0,8.0,1.0,0.0,98.0
"('warm', 'costume')",pos,0.0,25.5,0.0,0.0,0.0,20.5,2.5,2.5,477.0
"('warm', 'outfit')",pos,3.0,46.0,1.0,2.0,0.0,35.0,9.0,2.0,692.0
"('warm', 'taffeta')",pos,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,35.5
"('warm', 'leotard')",pos,0.0,15.0,0.0,0.0,0.0,12.0,3.0,0.0,83.0
"('warm', 'cassock')",pos,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,87.5
"('warm', 'basement')",pos,2.5,31.0,0.5,2.0,0.0,22.0,9.0,0.0,609.5
"('warm', 'casserole')",pos,3.6666666666666665,19.333333333333332,0.0,3.6666666666666665,0.0,17.333333333333332,2.0,0.0,85.66666666666667
"('warm', 'vapor')",pos,3.5,16.0,1.0,2.5,0.0,12.0,4.0,0.0,190.0
"('warm', 'mitten')",pos,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,93.0
"('warm', 'salwar')",pos,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,21.0
"('warm', 'fireplace')",pos,3.0,23.5,0.0,3.0,0.0,15.5,8.0,0.0,304.5
"('warm', 'poncho')",pos,1.0,8.0,1.0,0.0,0.0,5.0,3.0,0.0,87.5
"('warm', 'helmet')",pos,1.0,36.5,1.0,0.0,0.0,26.0,9.5,1.0,493.5
"('warm', 'kettle')",pos,4.666666666666667,33.666666666666664,1.0,3.6666666666666665,0.0,23.666666666666668,9.666666666666666,0.3333333333333333,343.6666666666667
"('warm', 'greatcoat')",pos,0.0,10.0,0.0,0.0,0.0,7.0,3.0,0.0,24.0
"('warm', 'smoke')",pos,3.6666666666666665,42.666666666666664,0.0,3.6666666666666665,0.0,32.333333333333336,9.666666666666666,0.6666666666666666,459.0
"('warm', 'cloth')",pos,4.0,48.0,1.0,3.0,0.0,38.0,8.5,1.5,519.0
"('warm', 'toilet')",pos,2.0,28.5,0.0,2.0,0.0,20.5,7.0,1.0,444.0
"('warm', 'wig')",pos,0.0,28.0,0.0,0.0,0.0,21.333333333333332,5.0,1.6666666666666667,259.6666666666667
"('warm', 'scarf')",pos,1.0,33.0,0.0,1.0,0.0,23.0,8.0,2.0,358.0
"('warm', 'heating')",pos,5.0,26.5,1.0,4.0,0.0,19.5,7.0,0.0,333.0
"('warm', 'loincloth')",pos,0.0,17.0,0.0,0.0,0.0,12.0,5.0,0.0,98.0
"('warm', 'lava')",pos,1.5,20.0,0.0,1.5,0.0,12.0,7.0,1.0,234.0
"('warm', 'footwear')",pos,0.0,21.5,0.0,0.0,0.0,15.5,4.0,2.0,371.0
"('warm', 'flame')",pos,5.0,42.5,0.5,4.5,0.0,31.0,8.5,3.0,514.0
"('warm', 'uniform')",pos,1.0,32.0,0.0,1.0,0.0,24.0,6.0,2.0,645.5
"('warm', 'shalwar')",pos,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,24.5
"('warm', 'sealskin')",pos,0.0,8.0,0.0,0.0,0.0,7.0,1.0,0.0,39.666666666666664
"('warm', 'tunic')",pos,1.0,23.5,1.0,0.0,0.0,19.0,4.5,0.0,220.0
"('warm', 'sun')",pos,3.0,31.0,1.0,2.0,0.0,22.5,6.5,2.0,584.5
"('warm', 'collar')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'pomade')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'grosgrain')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'ice')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'feeling')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'miniskirt')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'strap')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'moon')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'idea')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'sporran')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'icicle')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'shoelace')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'lemonade')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'cummerbund')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'can')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'lace')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'sword')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'problem')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'anklet')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'mortarboard')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'forest')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'surfboard')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'earring')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'necklace')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'beer')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'candy')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'bandana')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('warm', 'cincture')",neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
